Mean_Goodput(Mbps),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,SimulationTime(s)
167.257,1,2.4,40,4,20
712.948,5,2.4,40,4,20
555.101,10,2.4,40,4,20
1234.15,15,2.4,40,4,20
1545.02,20,2.4,40,4,20
1841.71,25,2.4,40,4,20
1846.57,30,2.4,40,4,20
2081.87,35,2.4,40,4,20
2676.82,40,2.4,40,4,20
2146.66,45,2.4,40,4,20
3456.24,50,2.4,40,4,20
3770.52,55,2.4,40,4,20
3325.99,60,2.4,40,4,20
3710.97,65,2.4,40,4,20
3680.01,70,2.4,40,4,20
3949.53,75,2.4,40,4,20
4232.87,80,2.4,40,4,20
5604.71,85,2.4,40,4,20
4407.97,90,2.4,40,4,20
5394.94,95,2.4,40,4,20
4363.68,100,2.4,40,4,20
5312.47,105,2.4,40,4,20
5057.81,110,2.4,40,4,20
7332.77,115,2.4,40,4,20
5026.05,120,2.4,40,4,20
6371.61,125,2.4,40,4,20
5260.07,130,2.4,40,4,20
8200.9,135,2.4,40,4,20
8397.22,140,2.4,40,4,20
9589.15,145,2.4,40,4,20
10444.1,150,2.4,40,4,20
