Mean_Goodput(Mbps),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,SimulationTime(s)
310.586,1,6,160,8,20
669.869,5,6,160,8,20
705.766,10,6,160,8,20
850.885,15,6,160,8,20
1576.43,20,6,160,8,20
1585.32,25,6,160,8,20
1318.18,30,6,160,8,20
2483.53,35,6,160,8,20
2245.73,40,6,160,8,20
2261.42,45,6,160,8,20
1827.88,50,6,160,8,20
3363.38,55,6,160,8,20
2845.22,60,6,160,8,20
3081.97,65,6,160,8,20
2677.67,70,6,160,8,20
2949.36,75,6,160,8,20
3881.57,80,6,160,8,20
4788.15,85,6,160,8,20
2949.48,90,6,160,8,20
4930.87,95,6,160,8,20
3503.37,100,6,160,8,20
5006.69,105,6,160,8,20
4442.77,110,6,160,8,20
4650.23,115,6,160,8,20
5239.99,120,6,160,8,20
