Mean_Goodput(Mbps),NumSTAs,FrequencyBand(Hz),ChannelWidth(GHz),Seed,SimulationTime(s)
1174.24,60,2.4,40,41,20
1006.23,65,2.4,40,41,20
1086.54,70,2.4,40,41,20
1352.32,75,2.4,40,41,20
1698.9,80,2.4,40,41,20
1473.09,85,2.4,40,41,20
1412.65,90,2.4,40,41,20
1939.05,95,2.4,40,41,20
1599.25,100,2.4,40,41,20
2572.25,105,2.4,40,41,20
1998.6,110,2.4,40,41,20
2203.17,115,2.4,40,41,20
2527.15,120,2.4,40,41,20
2308.7,125,2.4,40,41,20
1693.43,130,2.4,40,41,20
1947.77,135,2.4,40,41,20
2067.41,140,2.4,40,41,20
426.9,45,5,160,41,20
371.421,50,5,160,41,20
476.835,55,5,160,41,20
524.062,60,5,160,41,20
434.565,65,5,160,41,20
597.557,70,5,160,41,20
644.994,75,5,160,41,20
667.535,80,5,160,41,20
697.056,85,5,160,41,20
677.971,90,5,160,41,20
924.271,95,5,160,41,20
770.942,100,5,160,41,20
918.488,105,5,160,41,20
960.396,110,5,160,41,20
1094.67,115,5,160,41,20
1040.71,120,5,160,41,20
1017.78,125,5,160,41,20
1001.19,130,5,160,41,20
