Mean_Goodput(Mbps),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,SimulationTime(s)
164.328,1,2.4,40,9,20
698.479,5,2.4,40,9,20
555.292,10,2.4,40,9,20
1263.57,15,2.4,40,9,20
1462.92,20,2.4,40,9,20
1867.92,25,2.4,40,9,20
1843.13,30,2.4,40,9,20
2045.22,35,2.4,40,9,20
2527.84,40,2.4,40,9,20
2434.64,45,2.4,40,9,20
3442.43,50,2.4,40,9,20
3970.75,55,2.4,40,9,20
3422.8,60,2.4,40,9,20
3673.71,65,2.4,40,9,20
3514.09,70,2.4,40,9,20
3674.59,75,2.4,40,9,20
3950.22,80,2.4,40,9,20
5952.44,85,2.4,40,9,20
4594.42,90,2.4,40,9,20
4959.98,95,2.4,40,9,20
4276.49,100,2.4,40,9,20
5003.89,105,2.4,40,9,20
5076.24,110,2.4,40,9,20
6313.99,115,2.4,40,9,20
5132.54,120,2.4,40,9,20
5925.47,125,2.4,40,9,20
5165.68,130,2.4,40,9,20
7626.94,135,2.4,40,9,20
8017.73,140,2.4,40,9,20
9136.9,145,2.4,40,9,20
9618.3,150,2.4,40,9,20
