Mean_Goodput(Mbps),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,SimulationTime(s)
273.955,1,6,160,3,20
814.811,5,6,160,3,20
686.101,10,6,160,3,20
1225.08,15,6,160,3,20
1595.2,20,6,160,3,20
1408.6,25,6,160,3,20
1215.26,30,6,160,3,20
1306.48,35,6,160,3,20
2062.1,40,6,160,3,20
1756.3,45,6,160,3,20
3028.89,50,6,160,3,20
4171.93,55,6,160,3,20
3025.81,60,6,160,3,20
2505.35,65,6,160,3,20
2991.35,70,6,160,3,20
2600.01,75,6,160,3,20
3527.82,80,6,160,3,20
2754.71,85,6,160,3,20
2659.21,90,6,160,3,20
4007.82,95,6,160,3,20
3418.3,100,6,160,3,20
5374.11,105,6,160,3,20
