Mean_Goodput(Mbps),NumSTAs,FrequencyBand(Hz),ChannelWidth(GHz),Seed,SimulationTime(s)
164.355,1,2.4,40,43,20
95.3265,2,2.4,40,43,20
106.509,3,2.4,40,43,20
118.569,4,2.4,40,43,20
175.09,5,2.4,40,43,20
124.078,6,2.4,40,43,20
238.158,7,2.4,40,43,20
289.748,8,2.4,40,43,20
284.369,9,2.4,40,43,20
206.255,10,2.4,40,43,20
481.219,11,2.4,40,43,20
293.893,12,2.4,40,43,20
464.983,13,2.4,40,43,20
334.041,14,2.4,40,43,20
321.592,15,2.4,40,43,20
370.246,16,2.4,40,43,20
264.833,17,2.4,40,43,20
419.501,18,2.4,40,43,20
633.452,19,2.4,40,43,20
396.728,20,2.4,40,43,20
497.845,21,2.4,40,43,20
499.62,22,2.4,40,43,20
368.452,23,2.4,40,43,20
564.727,24,2.4,40,43,20
396.939,25,2.4,40,43,20
758.398,26,2.4,40,43,20
553.623,27,2.4,40,43,20
448.032,28,2.4,40,43,20
484.403,29,2.4,40,43,20
633.834,30,2.4,40,43,20
660.191,31,2.4,40,43,20
800.218,32,2.4,40,43,20
705.34,33,2.4,40,43,20
1017.17,34,2.4,40,43,20
913.716,35,2.4,40,43,20
466.38,36,2.4,40,43,20
666.575,37,2.4,40,43,20
674.066,38,2.4,40,43,20
589.208,39,2.4,40,43,20
820.49,40,2.4,40,43,20
1032.68,41,2.4,40,43,20
747.384,42,2.4,40,43,20
854.807,43,2.4,40,43,20
818.766,44,2.4,40,43,20
1152.07,45,2.4,40,43,20
761.591,46,2.4,40,43,20
727.193,47,2.4,40,43,20
868.66,48,2.4,40,43,20
920.639,49,2.4,40,43,20
732.28,50,2.4,40,43,20
857.476,51,2.4,40,43,20
793.15,52,2.4,40,43,20
1006.96,53,2.4,40,43,20
873.616,54,2.4,40,43,20
893.896,55,2.4,40,43,20
837.459,56,2.4,40,43,20
1029.75,57,2.4,40,43,20
1168.26,58,2.4,40,43,20
1226.38,59,2.4,40,43,20
1337.5,60,2.4,40,43,20
274.108,1,5,160,43,20
23.0712,2,5,160,43,20
29.7665,3,5,160,43,20
50.7344,4,5,160,43,20
81.7487,5,5,160,43,20
65.2171,6,5,160,43,20
58.8983,7,5,160,43,20
96.7316,8,5,160,43,20
110.885,9,5,160,43,20
82.8984,10,5,160,43,20
125.336,11,5,160,43,20
96.7749,12,5,160,43,20
224.637,13,5,160,43,20
98.5381,14,5,160,43,20
88.0701,15,5,160,43,20
153.857,16,5,160,43,20
125.4,17,5,160,43,20
128.944,18,5,160,43,20
149.662,19,5,160,43,20
161.752,20,5,160,43,20
208.39,21,5,160,43,20
148.046,22,5,160,43,20
159.863,23,5,160,43,20
188.98,24,5,160,43,20
176.079,25,5,160,43,20
219.164,26,5,160,43,20
213.732,27,5,160,43,20
140.313,28,5,160,43,20
205.088,29,5,160,43,20
200.727,30,5,160,43,20
206.484,31,5,160,43,20
247.486,32,5,160,43,20
313.257,33,5,160,43,20
304.654,34,5,160,43,20
375.657,35,5,160,43,20
215.156,36,5,160,43,20
278.651,37,5,160,43,20
293.712,38,5,160,43,20
284.599,39,5,160,43,20
311.78,40,5,160,43,20
357.962,41,5,160,43,20
368.103,42,5,160,43,20
400.908,43,5,160,43,20
