QueueDropPackets,PacketsInQueue,PacketsDropPhyRx,PacketsDropPhyRxInterferences,Time(s),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,TotalSimulationTime(s)
0,0,0,0,0,150,2.4,40,10,60
0,0,132092,28087,1,150,2.4,40,10,60
191815,27,321426,79725,2,150,2.4,40,10,60
400029,57,499754,135243,3,150,2.4,40,10,60
607844,45,613631,171959,4,150,2.4,40,10,60
815294,9,774190,222521,5,150,2.4,40,10,60
1022121,27,924214,272462,6,150,2.4,40,10,60
1225780,34,1051225,314617,7,150,2.4,40,10,60
1429314,37,1140475,346181,8,150,2.4,40,10,60
1632836,33,1240899,384174,9,150,2.4,40,10,60
1836300,12,1359035,428528,10,150,2.4,40,10,60
2039831,56,1471389,472731,11,150,2.4,40,10,60
2243302,48,1540099,500504,12,150,2.4,40,10,60
2446612,55,1636571,538945,13,150,2.4,40,10,60
2650594,29,1722380,575180,14,150,2.4,40,10,60
2853976,56,1788224,602800,15,150,2.4,40,10,60
3057784,48,1842917,627068,16,150,2.4,40,10,60
3261406,56,1888899,649093,17,150,2.4,40,10,60
3465458,58,1930789,669678,18,150,2.4,40,10,60
3669610,54,1968651,685294,19,150,2.4,40,10,60
3873171,36,1979336,692510,20,150,2.4,40,10,60
4075849,22,1979336,692510,21,150,2.4,40,10,60
4278604,64,1979336,692510,22,150,2.4,40,10,60
4481698,56,1979336,692510,23,150,2.4,40,10,60
4684606,25,1979336,692510,24,150,2.4,40,10,60
4887321,4,1979336,692510,25,150,2.4,40,10,60
5088950,26,1979336,692510,26,150,2.4,40,10,60
5290342,53,1979336,692510,27,150,2.4,40,10,60
5491552,56,1979336,692510,28,150,2.4,40,10,60
5692971,47,1979336,692510,29,150,2.4,40,10,60
5894181,27,1979336,692510,30,150,2.4,40,10,60
6095567,46,1979336,692510,31,150,2.4,40,10,60
6296997,56,1979336,692510,32,150,2.4,40,10,60
6498330,24,1979336,692510,33,150,2.4,40,10,60
6699306,56,1979336,692510,34,150,2.4,40,10,60
6900252,56,1979336,692510,35,150,2.4,40,10,60
7101083,7,1979336,692510,36,150,2.4,40,10,60
7301723,14,1979336,692510,37,150,2.4,40,10,60
7502282,17,1979336,692510,38,150,2.4,40,10,60
7702828,46,1979336,692510,39,150,2.4,40,10,60
7903544,46,1979336,692510,40,150,2.4,40,10,60
8104162,2,1979336,692510,41,150,2.4,40,10,60
8304824,54,1979336,692510,42,150,2.4,40,10,60
8505282,38,1979336,692510,43,150,2.4,40,10,60
8705807,25,1979336,692510,44,150,2.4,40,10,60
8906378,25,1979336,692510,45,150,2.4,40,10,60
9106902,60,1979336,692510,46,150,2.4,40,10,60
9307491,5,1979336,692510,47,150,2.4,40,10,60
9507378,2,1979336,692510,48,150,2.4,40,10,60
9707369,56,1979336,692510,49,150,2.4,40,10,60
9907410,23,1979336,692510,50,150,2.4,40,10,60
10107339,56,1979336,692510,51,150,2.4,40,10,60
10307234,23,1979336,692510,52,150,2.4,40,10,60
10507043,48,1979336,692510,53,150,2.4,40,10,60
10706951,0,1979336,692510,54,150,2.4,40,10,60
10906904,56,1979336,692510,55,150,2.4,40,10,60
11106685,56,1979336,692510,56,150,2.4,40,10,60
11306365,12,1979336,692510,57,150,2.4,40,10,60
11506116,56,1979336,692510,58,150,2.4,40,10,60
11705964,52,1979336,692510,59,150,2.4,40,10,60
11905709,2,1979336,692510,60,150,2.4,40,10,60
