QueueDropPackets,PacketsInQueue,PacketsDropPhyRx,PacketsDropPhyRxInterferences,Time(s),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,TotalSimulationTime(s)
0,0,0,0,0,150,5,160,2,60
0,0,99970,28630,1,150,5,160,2,60
1446522,34,464569,307178,2,150,5,160,2,60
3057363,32,676163,458373,3,150,5,160,2,60
4667956,44,821827,572889,4,150,5,160,2,60
6278461,40,979691,698650,5,150,5,160,2,60
7888909,39,1112633,807711,6,150,5,160,2,60
9498993,37,1220051,912535,7,150,5,160,2,60
11109055,46,1321217,1013701,8,150,5,160,2,60
12718948,54,1427863,1120347,9,150,5,160,2,60
14328950,56,1534576,1227060,10,150,5,160,2,60
15938810,32,1642535,1335019,11,150,5,160,2,60
17548563,38,1757169,1449653,12,150,5,160,2,60
19158118,56,1878686,1571170,13,150,5,160,2,60
20767613,32,2003989,1696473,14,150,5,160,2,60
22376931,42,2130520,1823004,15,150,5,160,2,60
23986531,48,2251720,1944204,16,150,5,160,2,60
25596091,52,2372712,2065196,17,150,5,160,2,60
27205648,52,2493284,2185768,18,150,5,160,2,60
28815185,42,2618694,2311178,19,150,5,160,2,60
30424498,31,2748081,2440565,20,150,5,160,2,60
32033744,41,2877731,2570215,21,150,5,160,2,60
33642273,56,3027969,2720453,22,150,5,160,2,60
35250714,56,3185275,2877759,23,150,5,160,2,60
36858815,52,3356931,3049415,24,150,5,160,2,60
38466773,35,3530063,3222547,25,150,5,160,2,60
40074770,31,3705312,3397796,26,150,5,160,2,60
41682654,45,3880177,3572661,27,150,5,160,2,60
43290509,30,4060830,3753314,28,150,5,160,2,60
44898275,35,4242227,3934711,29,150,5,160,2,60
46505983,46,4422618,4115102,30,150,5,160,2,60
48111628,56,4671784,4364268,31,150,5,160,2,60
49715755,56,4972038,4664522,32,150,5,160,2,60
51319107,56,5301567,4994051,33,150,5,160,2,60
52922236,56,5638194,5330678,34,150,5,160,2,60
54524807,2,5994731,5687215,35,150,5,160,2,60
56125709,56,6411297,6103781,36,150,5,160,2,60
57725592,56,6863142,6555626,37,150,5,160,2,60
59324323,46,7356062,7048546,38,150,5,160,2,60
60922270,36,7877538,7570022,39,150,5,160,2,60
62519955,56,8409085,8101569,40,150,5,160,2,60
64117172,56,8956724,8649208,41,150,5,160,2,60
65714431,56,9502477,9194961,42,150,5,160,2,60
67311635,46,10053705,9746189,43,150,5,160,2,60
68908326,56,10618124,10310608,44,150,5,160,2,60
70505101,47,11181240,10873724,45,150,5,160,2,60
72101792,3,11749539,11442023,46,150,5,160,2,60
73698634,56,12311573,12004057,47,150,5,160,2,60
75295242,56,12880132,12572616,48,150,5,160,2,60
76891728,31,13456050,13148534,49,150,5,160,2,60
78488278,56,14027815,13720299,50,150,5,160,2,60
80084776,56,14601220,14293704,51,150,5,160,2,60
81681252,56,15175449,14867933,52,150,5,160,2,60
83276959,56,15779072,15471556,53,150,5,160,2,60
84872308,56,16393872,16086356,54,150,5,160,2,60
86467851,40,17004728,16697212,55,150,5,160,2,60
88062863,56,17632876,17325360,56,150,5,160,2,60
89657848,56,18259276,17951760,57,150,5,160,2,60
91252875,56,18887278,18579762,58,150,5,160,2,60
92847782,12,19523469,19215953,59,150,5,160,2,60
94442609,56,20153197,19845681,60,150,5,160,2,60
