QueueDropPackets,PacketsInQueue,PacketsDropPhyRx,PacketsDropPhyRxInterferences,Time(s),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,TotalSimulationTime(s)
0,0,0,0,0,150,5,160,8,60
0,0,100538,16779,1,150,5,160,8,60
1211252,48,510029,313411,2,150,5,160,8,60
2969329,30,838390,558259,3,150,5,160,8,60
4727071,44,1003803,678048,4,150,5,160,8,60
6485189,34,1182976,810814,5,150,5,160,8,60
8242979,52,1349579,950370,6,150,5,160,8,60
10000869,47,1486843,1082510,7,150,5,160,8,60
11758619,62,1619378,1214130,8,150,5,160,8,60
13516339,67,1745870,1340622,9,150,5,160,8,60
15273890,42,1872043,1466795,10,150,5,160,8,60
17031402,32,1995982,1590734,11,150,5,160,8,60
18788826,48,2122070,1716822,12,150,5,160,8,60
20546137,33,2281522,1876274,13,150,5,160,8,60
22303337,31,2441104,2035856,14,150,5,160,8,60
24060461,33,2618304,2213056,15,150,5,160,8,60
25817595,35,2803395,2398147,16,150,5,160,8,60
27574352,38,3010096,2604848,17,150,5,160,8,60
29330772,46,3247227,2841979,18,150,5,160,8,60
31087063,42,3476386,3071138,19,150,5,160,8,60
32843102,30,3755467,3350219,20,150,5,160,8,60
34599172,46,4013916,3608668,21,150,5,160,8,60
36355291,56,4278479,3873231,22,150,5,160,8,60
38111113,56,4559864,4154616,23,150,5,160,8,60
39865906,31,4916999,4511751,24,150,5,160,8,60
41620643,35,5279254,4874006,25,150,5,160,8,60
43375302,39,5654023,5248775,26,150,5,160,8,60
45129625,57,6066511,5661263,27,150,5,160,8,60
46884105,39,6470994,6065746,28,150,5,160,8,60
48638217,56,6918660,6513412,29,150,5,160,8,60
50392536,55,7345809,6940561,30,150,5,160,8,60
52146666,56,7784174,7378926,31,150,5,160,8,60
53900377,56,8240055,7834807,32,150,5,160,8,60
55653986,35,8714912,8309664,33,150,5,160,8,60
57407423,56,9204428,8799180,34,150,5,160,8,60
59161034,41,9677444,9272196,35,150,5,160,8,60
60914437,41,10172611,9767363,36,150,5,160,8,60
62667849,42,10685752,10280504,37,150,5,160,8,60
64421110,47,11208232,10802984,38,150,5,160,8,60
66174502,31,11730951,11325703,39,150,5,160,8,60
67927574,40,12287528,11882280,40,150,5,160,8,60
69680429,25,12917785,12512537,41,150,5,160,8,60
71433083,56,13572112,13166864,42,150,5,160,8,60
73185892,45,14219484,13814236,43,150,5,160,8,60
74937939,56,14929435,14524187,44,150,5,160,8,60
76689866,35,15658110,15252862,45,150,5,160,8,60
78441638,35,16411255,16006007,46,150,5,160,8,60
80193440,45,17144804,16739556,47,150,5,160,8,60
81945018,52,17902979,17497731,48,150,5,160,8,60
83696655,38,18670377,18265129,49,150,5,160,8,60
85448387,56,19419414,19014166,50,150,5,160,8,60
87199936,56,20182925,19777677,51,150,5,160,8,60
88951613,56,20931847,20526599,52,150,5,160,8,60
90703208,56,21699308,21294060,53,150,5,160,8,60
92454739,47,22464762,22059514,54,150,5,160,8,60
94206361,56,23216993,22811745,55,150,5,160,8,60
95957959,36,23946437,23541189,56,150,5,160,8,60
97709036,31,24741568,24336320,57,150,5,160,8,60
99459566,56,25605638,25200390,58,150,5,160,8,60
101210036,56,26463878,26058630,59,150,5,160,8,60
102960602,46,27322271,26917023,60,150,5,160,8,60
