PacketsInQueue,Time(ms),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,TotalSimulationTime(s)
0,1,150,6,160,2,1.5
0,1.001,150,6,160,2,1.5
0,1.002,150,6,160,2,1.5
0,1.003,150,6,160,2,1.5
0,1.004,150,6,160,2,1.5
0,1.005,150,6,160,2,1.5
80,1.006,150,6,160,2,1.5
97,1.007,150,6,160,2,1.5
93,1.008,150,6,160,2,1.5
88,1.009,150,6,160,2,1.5
85,1.01,150,6,160,2,1.5
82,1.011,150,6,160,2,1.5
79,1.012,150,6,160,2,1.5
76,1.013,150,6,160,2,1.5
72,1.014,150,6,160,2,1.5
69,1.015,150,6,160,2,1.5
66,1.016,150,6,160,2,1.5
62,1.017,150,6,160,2,1.5
58,1.018,150,6,160,2,1.5
52,1.019,150,6,160,2,1.5
48,1.02,150,6,160,2,1.5
46,1.021,150,6,160,2,1.5
42,1.022,150,6,160,2,1.5
40,1.023,150,6,160,2,1.5
40,1.024,150,6,160,2,1.5
40,1.025,150,6,160,2,1.5
40,1.026,150,6,160,2,1.5
40,1.027,150,6,160,2,1.5
40,1.028,150,6,160,2,1.5
56,1.029,150,6,160,2,1.5
56,1.03,150,6,160,2,1.5
56,1.031,150,6,160,2,1.5
56,1.032,150,6,160,2,1.5
56,1.033,150,6,160,2,1.5
56,1.034,150,6,160,2,1.5
56,1.035,150,6,160,2,1.5
56,1.036,150,6,160,2,1.5
56,1.037,150,6,160,2,1.5
56,1.038,150,6,160,2,1.5
56,1.039,150,6,160,2,1.5
56,1.04,150,6,160,2,1.5
56,1.041,150,6,160,2,1.5
56,1.042,150,6,160,2,1.5
56,1.043,150,6,160,2,1.5
52,1.044,150,6,160,2,1.5
52,1.045,150,6,160,2,1.5
52,1.046,150,6,160,2,1.5
52,1.047,150,6,160,2,1.5
52,1.048,150,6,160,2,1.5
52,1.049,150,6,160,2,1.5
52,1.05,150,6,160,2,1.5
52,1.051,150,6,160,2,1.5
52,1.052,150,6,160,2,1.5
52,1.053,150,6,160,2,1.5
48,1.054,150,6,160,2,1.5
48,1.055,150,6,160,2,1.5
48,1.056,150,6,160,2,1.5
48,1.057,150,6,160,2,1.5
48,1.058,150,6,160,2,1.5
48,1.059,150,6,160,2,1.5
48,1.06,150,6,160,2,1.5
48,1.061,150,6,160,2,1.5
48,1.062,150,6,160,2,1.5
48,1.063,150,6,160,2,1.5
48,1.064,150,6,160,2,1.5
48,1.065,150,6,160,2,1.5
48,1.066,150,6,160,2,1.5
48,1.067,150,6,160,2,1.5
48,1.068,150,6,160,2,1.5
48,1.069,150,6,160,2,1.5
48,1.07,150,6,160,2,1.5
48,1.071,150,6,160,2,1.5
48,1.072,150,6,160,2,1.5
48,1.073,150,6,160,2,1.5
48,1.074,150,6,160,2,1.5
48,1.075,150,6,160,2,1.5
44,1.076,150,6,160,2,1.5
44,1.077,150,6,160,2,1.5
44,1.078,150,6,160,2,1.5
44,1.079,150,6,160,2,1.5
44,1.08,150,6,160,2,1.5
44,1.081,150,6,160,2,1.5
44,1.082,150,6,160,2,1.5
44,1.083,150,6,160,2,1.5
44,1.084,150,6,160,2,1.5
44,1.085,150,6,160,2,1.5
44,1.086,150,6,160,2,1.5
44,1.087,150,6,160,2,1.5
44,1.088,150,6,160,2,1.5
44,1.089,150,6,160,2,1.5
44,1.09,150,6,160,2,1.5
44,1.091,150,6,160,2,1.5
44,1.092,150,6,160,2,1.5
44,1.093,150,6,160,2,1.5
44,1.094,150,6,160,2,1.5
44,1.095,150,6,160,2,1.5
44,1.096,150,6,160,2,1.5
44,1.097,150,6,160,2,1.5
44,1.098,150,6,160,2,1.5
44,1.099,150,6,160,2,1.5
44,1.1,150,6,160,2,1.5
44,1.101,150,6,160,2,1.5
44,1.102,150,6,160,2,1.5
44,1.103,150,6,160,2,1.5
44,1.104,150,6,160,2,1.5
44,1.105,150,6,160,2,1.5
44,1.106,150,6,160,2,1.5
44,1.107,150,6,160,2,1.5
44,1.108,150,6,160,2,1.5
44,1.109,150,6,160,2,1.5
44,1.11,150,6,160,2,1.5
44,1.111,150,6,160,2,1.5
44,1.112,150,6,160,2,1.5
44,1.113,150,6,160,2,1.5
44,1.114,150,6,160,2,1.5
44,1.115,150,6,160,2,1.5
44,1.116,150,6,160,2,1.5
44,1.117,150,6,160,2,1.5
44,1.118,150,6,160,2,1.5
44,1.119,150,6,160,2,1.5
44,1.12,150,6,160,2,1.5
44,1.121,150,6,160,2,1.5
44,1.122,150,6,160,2,1.5
44,1.123,150,6,160,2,1.5
44,1.124,150,6,160,2,1.5
44,1.125,150,6,160,2,1.5
44,1.126,150,6,160,2,1.5
44,1.127,150,6,160,2,1.5
44,1.128,150,6,160,2,1.5
44,1.129,150,6,160,2,1.5
44,1.13,150,6,160,2,1.5
44,1.131,150,6,160,2,1.5
44,1.132,150,6,160,2,1.5
44,1.133,150,6,160,2,1.5
44,1.134,150,6,160,2,1.5
44,1.135,150,6,160,2,1.5
44,1.136,150,6,160,2,1.5
44,1.137,150,6,160,2,1.5
44,1.138,150,6,160,2,1.5
44,1.139,150,6,160,2,1.5
44,1.14,150,6,160,2,1.5
44,1.141,150,6,160,2,1.5
44,1.142,150,6,160,2,1.5
44,1.143,150,6,160,2,1.5
44,1.144,150,6,160,2,1.5
44,1.145,150,6,160,2,1.5
44,1.146,150,6,160,2,1.5
44,1.147,150,6,160,2,1.5
44,1.148,150,6,160,2,1.5
44,1.149,150,6,160,2,1.5
44,1.15,150,6,160,2,1.5
44,1.151,150,6,160,2,1.5
44,1.152,150,6,160,2,1.5
44,1.153,150,6,160,2,1.5
44,1.154,150,6,160,2,1.5
44,1.155,150,6,160,2,1.5
44,1.156,150,6,160,2,1.5
44,1.157,150,6,160,2,1.5
44,1.158,150,6,160,2,1.5
44,1.159,150,6,160,2,1.5
44,1.16,150,6,160,2,1.5
44,1.161,150,6,160,2,1.5
44,1.162,150,6,160,2,1.5
44,1.163,150,6,160,2,1.5
44,1.164,150,6,160,2,1.5
44,1.165,150,6,160,2,1.5
44,1.166,150,6,160,2,1.5
44,1.167,150,6,160,2,1.5
44,1.168,150,6,160,2,1.5
44,1.169,150,6,160,2,1.5
44,1.17,150,6,160,2,1.5
44,1.171,150,6,160,2,1.5
44,1.172,150,6,160,2,1.5
44,1.173,150,6,160,2,1.5
44,1.174,150,6,160,2,1.5
44,1.175,150,6,160,2,1.5
44,1.176,150,6,160,2,1.5
44,1.177,150,6,160,2,1.5
44,1.178,150,6,160,2,1.5
44,1.179,150,6,160,2,1.5
44,1.18,150,6,160,2,1.5
44,1.181,150,6,160,2,1.5
44,1.182,150,6,160,2,1.5
44,1.183,150,6,160,2,1.5
44,1.184,150,6,160,2,1.5
44,1.185,150,6,160,2,1.5
44,1.186,150,6,160,2,1.5
44,1.187,150,6,160,2,1.5
44,1.188,150,6,160,2,1.5
44,1.189,150,6,160,2,1.5
44,1.19,150,6,160,2,1.5
44,1.191,150,6,160,2,1.5
44,1.192,150,6,160,2,1.5
44,1.193,150,6,160,2,1.5
44,1.194,150,6,160,2,1.5
44,1.195,150,6,160,2,1.5
44,1.196,150,6,160,2,1.5
44,1.197,150,6,160,2,1.5
