PacketsInQueue,Time(ms),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,TotalSimulationTime(s)
0,1,150,5,160,1,1.5
0,1.001,150,5,160,1,1.5
0,1.002,150,5,160,1,1.5
0,1.003,150,5,160,1,1.5
0,1.004,150,5,160,1,1.5
99,1.005,150,5,160,1,1.5
96,1.006,150,5,160,1,1.5
91,1.007,150,5,160,1,1.5
87,1.008,150,5,160,1,1.5
82,1.009,150,5,160,1,1.5
79,1.01,150,5,160,1,1.5
79,1.011,150,5,160,1,1.5
79,1.012,150,5,160,1,1.5
79,1.013,150,5,160,1,1.5
79,1.014,150,5,160,1,1.5
79,1.015,150,5,160,1,1.5
49,1.016,150,5,160,1,1.5
49,1.017,150,5,160,1,1.5
49,1.018,150,5,160,1,1.5
49,1.019,150,5,160,1,1.5
49,1.02,150,5,160,1,1.5
49,1.021,150,5,160,1,1.5
49,1.022,150,5,160,1,1.5
49,1.023,150,5,160,1,1.5
49,1.024,150,5,160,1,1.5
49,1.025,150,5,160,1,1.5
49,1.026,150,5,160,1,1.5
45,1.027,150,5,160,1,1.5
45,1.028,150,5,160,1,1.5
45,1.029,150,5,160,1,1.5
45,1.03,150,5,160,1,1.5
45,1.031,150,5,160,1,1.5
45,1.032,150,5,160,1,1.5
19,1.033,150,5,160,1,1.5
41,1.034,150,5,160,1,1.5
41,1.035,150,5,160,1,1.5
41,1.036,150,5,160,1,1.5
41,1.037,150,5,160,1,1.5
41,1.038,150,5,160,1,1.5
15,1.039,150,5,160,1,1.5
45,1.04,150,5,160,1,1.5
45,1.041,150,5,160,1,1.5
45,1.042,150,5,160,1,1.5
45,1.043,150,5,160,1,1.5
45,1.044,150,5,160,1,1.5
24,1.045,150,5,160,1,1.5
36,1.046,150,5,160,1,1.5
36,1.047,150,5,160,1,1.5
36,1.048,150,5,160,1,1.5
36,1.049,150,5,160,1,1.5
16,1.05,150,5,160,1,1.5
44,1.051,150,5,160,1,1.5
44,1.052,150,5,160,1,1.5
44,1.053,150,5,160,1,1.5
44,1.054,150,5,160,1,1.5
44,1.055,150,5,160,1,1.5
18,1.056,150,5,160,1,1.5
41,1.057,150,5,160,1,1.5
37,1.058,150,5,160,1,1.5
33,1.059,150,5,160,1,1.5
33,1.06,150,5,160,1,1.5
33,1.061,150,5,160,1,1.5
33,1.062,150,5,160,1,1.5
33,1.063,150,5,160,1,1.5
33,1.064,150,5,160,1,1.5
54,1.065,150,5,160,1,1.5
54,1.066,150,5,160,1,1.5
54,1.067,150,5,160,1,1.5
54,1.068,150,5,160,1,1.5
54,1.069,150,5,160,1,1.5
54,1.07,150,5,160,1,1.5
26,1.071,150,5,160,1,1.5
26,1.072,150,5,160,1,1.5
34,1.073,150,5,160,1,1.5
34,1.074,150,5,160,1,1.5
34,1.075,150,5,160,1,1.5
7,1.076,150,5,160,1,1.5
52,1.077,150,5,160,1,1.5
52,1.078,150,5,160,1,1.5
52,1.079,150,5,160,1,1.5
52,1.08,150,5,160,1,1.5
52,1.081,150,5,160,1,1.5
24,1.082,150,5,160,1,1.5
24,1.083,150,5,160,1,1.5
36,1.084,150,5,160,1,1.5
36,1.085,150,5,160,1,1.5
36,1.086,150,5,160,1,1.5
36,1.087,150,5,160,1,1.5
52,1.088,150,5,160,1,1.5
52,1.089,150,5,160,1,1.5
52,1.09,150,5,160,1,1.5
52,1.091,150,5,160,1,1.5
52,1.092,150,5,160,1,1.5
52,1.093,150,5,160,1,1.5
22,1.094,150,5,160,1,1.5
38,1.095,150,5,160,1,1.5
38,1.096,150,5,160,1,1.5
38,1.097,150,5,160,1,1.5
38,1.098,150,5,160,1,1.5
38,1.099,150,5,160,1,1.5
38,1.1,150,5,160,1,1.5
38,1.101,150,5,160,1,1.5
38,1.102,150,5,160,1,1.5
38,1.103,150,5,160,1,1.5
38,1.104,150,5,160,1,1.5
38,1.105,150,5,160,1,1.5
38,1.106,150,5,160,1,1.5
38,1.107,150,5,160,1,1.5
38,1.108,150,5,160,1,1.5
38,1.109,150,5,160,1,1.5
38,1.11,150,5,160,1,1.5
38,1.111,150,5,160,1,1.5
38,1.112,150,5,160,1,1.5
38,1.113,150,5,160,1,1.5
38,1.114,150,5,160,1,1.5
38,1.115,150,5,160,1,1.5
38,1.116,150,5,160,1,1.5
38,1.117,150,5,160,1,1.5
38,1.118,150,5,160,1,1.5
38,1.119,150,5,160,1,1.5
38,1.12,150,5,160,1,1.5
38,1.121,150,5,160,1,1.5
38,1.122,150,5,160,1,1.5
38,1.123,150,5,160,1,1.5
38,1.124,150,5,160,1,1.5
38,1.125,150,5,160,1,1.5
38,1.126,150,5,160,1,1.5
38,1.127,150,5,160,1,1.5
38,1.128,150,5,160,1,1.5
38,1.129,150,5,160,1,1.5
38,1.13,150,5,160,1,1.5
38,1.131,150,5,160,1,1.5
38,1.132,150,5,160,1,1.5
38,1.133,150,5,160,1,1.5
38,1.134,150,5,160,1,1.5
38,1.135,150,5,160,1,1.5
38,1.136,150,5,160,1,1.5
38,1.137,150,5,160,1,1.5
38,1.138,150,5,160,1,1.5
38,1.139,150,5,160,1,1.5
38,1.14,150,5,160,1,1.5
38,1.141,150,5,160,1,1.5
38,1.142,150,5,160,1,1.5
38,1.143,150,5,160,1,1.5
38,1.144,150,5,160,1,1.5
38,1.145,150,5,160,1,1.5
38,1.146,150,5,160,1,1.5
38,1.147,150,5,160,1,1.5
38,1.148,150,5,160,1,1.5
38,1.149,150,5,160,1,1.5
38,1.15,150,5,160,1,1.5
38,1.151,150,5,160,1,1.5
38,1.152,150,5,160,1,1.5
38,1.153,150,5,160,1,1.5
38,1.154,150,5,160,1,1.5
38,1.155,150,5,160,1,1.5
38,1.156,150,5,160,1,1.5
38,1.157,150,5,160,1,1.5
38,1.158,150,5,160,1,1.5
38,1.159,150,5,160,1,1.5
38,1.16,150,5,160,1,1.5
34,1.161,150,5,160,1,1.5
34,1.162,150,5,160,1,1.5
34,1.163,150,5,160,1,1.5
34,1.164,150,5,160,1,1.5
34,1.165,150,5,160,1,1.5
34,1.166,150,5,160,1,1.5
34,1.167,150,5,160,1,1.5
34,1.168,150,5,160,1,1.5
34,1.169,150,5,160,1,1.5
34,1.17,150,5,160,1,1.5
34,1.171,150,5,160,1,1.5
34,1.172,150,5,160,1,1.5
34,1.173,150,5,160,1,1.5
34,1.174,150,5,160,1,1.5
34,1.175,150,5,160,1,1.5
34,1.176,150,5,160,1,1.5
34,1.177,150,5,160,1,1.5
30,1.178,150,5,160,1,1.5
30,1.179,150,5,160,1,1.5
30,1.18,150,5,160,1,1.5
30,1.181,150,5,160,1,1.5
30,1.182,150,5,160,1,1.5
30,1.183,150,5,160,1,1.5
30,1.184,150,5,160,1,1.5
30,1.185,150,5,160,1,1.5
30,1.186,150,5,160,1,1.5
30,1.187,150,5,160,1,1.5
30,1.188,150,5,160,1,1.5
30,1.189,150,5,160,1,1.5
30,1.19,150,5,160,1,1.5
30,1.191,150,5,160,1,1.5
30,1.192,150,5,160,1,1.5
30,1.193,150,5,160,1,1.5
30,1.194,150,5,160,1,1.5
34,1.195,150,5,160,1,1.5
34,1.196,150,5,160,1,1.5
34,1.197,150,5,160,1,1.5
34,1.198,150,5,160,1,1.5
34,1.199,150,5,160,1,1.5
34,1.2,150,5,160,1,1.5
34,1.201,150,5,160,1,1.5
34,1.202,150,5,160,1,1.5
34,1.203,150,5,160,1,1.5
34,1.204,150,5,160,1,1.5
34,1.205,150,5,160,1,1.5
34,1.206,150,5,160,1,1.5
34,1.207,150,5,160,1,1.5
34,1.208,150,5,160,1,1.5
34,1.209,150,5,160,1,1.5
34,1.21,150,5,160,1,1.5
34,1.211,150,5,160,1,1.5
30,1.212,150,5,160,1,1.5
30,1.213,150,5,160,1,1.5
30,1.214,150,5,160,1,1.5
30,1.215,150,5,160,1,1.5
30,1.216,150,5,160,1,1.5
30,1.217,150,5,160,1,1.5
30,1.218,150,5,160,1,1.5
30,1.219,150,5,160,1,1.5
30,1.22,150,5,160,1,1.5
30,1.221,150,5,160,1,1.5
30,1.222,150,5,160,1,1.5
30,1.223,150,5,160,1,1.5
30,1.224,150,5,160,1,1.5
30,1.225,150,5,160,1,1.5
30,1.226,150,5,160,1,1.5
30,1.227,150,5,160,1,1.5
30,1.228,150,5,160,1,1.5
34,1.229,150,5,160,1,1.5
34,1.23,150,5,160,1,1.5
34,1.231,150,5,160,1,1.5
34,1.232,150,5,160,1,1.5
34,1.233,150,5,160,1,1.5
34,1.234,150,5,160,1,1.5
34,1.235,150,5,160,1,1.5
34,1.236,150,5,160,1,1.5
34,1.237,150,5,160,1,1.5
34,1.238,150,5,160,1,1.5
34,1.239,150,5,160,1,1.5
34,1.24,150,5,160,1,1.5
34,1.241,150,5,160,1,1.5
34,1.242,150,5,160,1,1.5
34,1.243,150,5,160,1,1.5
34,1.244,150,5,160,1,1.5
34,1.245,150,5,160,1,1.5
30,1.246,150,5,160,1,1.5
30,1.247,150,5,160,1,1.5
30,1.248,150,5,160,1,1.5
30,1.249,150,5,160,1,1.5
30,1.25,150,5,160,1,1.5
30,1.251,150,5,160,1,1.5
30,1.252,150,5,160,1,1.5
30,1.253,150,5,160,1,1.5
30,1.254,150,5,160,1,1.5
30,1.255,150,5,160,1,1.5
30,1.256,150,5,160,1,1.5
30,1.257,150,5,160,1,1.5
30,1.258,150,5,160,1,1.5
30,1.259,150,5,160,1,1.5
30,1.26,150,5,160,1,1.5
30,1.261,150,5,160,1,1.5
30,1.262,150,5,160,1,1.5
34,1.263,150,5,160,1,1.5
34,1.264,150,5,160,1,1.5
34,1.265,150,5,160,1,1.5
34,1.266,150,5,160,1,1.5
34,1.267,150,5,160,1,1.5
34,1.268,150,5,160,1,1.5
34,1.269,150,5,160,1,1.5
34,1.27,150,5,160,1,1.5
34,1.271,150,5,160,1,1.5
34,1.272,150,5,160,1,1.5
34,1.273,150,5,160,1,1.5
34,1.274,150,5,160,1,1.5
34,1.275,150,5,160,1,1.5
34,1.276,150,5,160,1,1.5
34,1.277,150,5,160,1,1.5
34,1.278,150,5,160,1,1.5
34,1.279,150,5,160,1,1.5
34,1.28,150,5,160,1,1.5
34,1.281,150,5,160,1,1.5
34,1.282,150,5,160,1,1.5
34,1.283,150,5,160,1,1.5
34,1.284,150,5,160,1,1.5
34,1.285,150,5,160,1,1.5
34,1.286,150,5,160,1,1.5
34,1.287,150,5,160,1,1.5
34,1.288,150,5,160,1,1.5
34,1.289,150,5,160,1,1.5
34,1.29,150,5,160,1,1.5
34,1.291,150,5,160,1,1.5
34,1.292,150,5,160,1,1.5
34,1.293,150,5,160,1,1.5
34,1.294,150,5,160,1,1.5
34,1.295,150,5,160,1,1.5
34,1.296,150,5,160,1,1.5
34,1.297,150,5,160,1,1.5
30,1.298,150,5,160,1,1.5
30,1.299,150,5,160,1,1.5
30,1.3,150,5,160,1,1.5
30,1.301,150,5,160,1,1.5
30,1.302,150,5,160,1,1.5
30,1.303,150,5,160,1,1.5
30,1.304,150,5,160,1,1.5
30,1.305,150,5,160,1,1.5
30,1.306,150,5,160,1,1.5
30,1.307,150,5,160,1,1.5
30,1.308,150,5,160,1,1.5
30,1.309,150,5,160,1,1.5
30,1.31,150,5,160,1,1.5
30,1.311,150,5,160,1,1.5
30,1.312,150,5,160,1,1.5
30,1.313,150,5,160,1,1.5
30,1.314,150,5,160,1,1.5
34,1.315,150,5,160,1,1.5
34,1.316,150,5,160,1,1.5
34,1.317,150,5,160,1,1.5
34,1.318,150,5,160,1,1.5
34,1.319,150,5,160,1,1.5
34,1.32,150,5,160,1,1.5
34,1.321,150,5,160,1,1.5
34,1.322,150,5,160,1,1.5
34,1.323,150,5,160,1,1.5
34,1.324,150,5,160,1,1.5
34,1.325,150,5,160,1,1.5
34,1.326,150,5,160,1,1.5
34,1.327,150,5,160,1,1.5
34,1.328,150,5,160,1,1.5
34,1.329,150,5,160,1,1.5
34,1.33,150,5,160,1,1.5
30,1.331,150,5,160,1,1.5
30,1.332,150,5,160,1,1.5
30,1.333,150,5,160,1,1.5
30,1.334,150,5,160,1,1.5
30,1.335,150,5,160,1,1.5
30,1.336,150,5,160,1,1.5
30,1.337,150,5,160,1,1.5
30,1.338,150,5,160,1,1.5
30,1.339,150,5,160,1,1.5
30,1.34,150,5,160,1,1.5
30,1.341,150,5,160,1,1.5
30,1.342,150,5,160,1,1.5
30,1.343,150,5,160,1,1.5
30,1.344,150,5,160,1,1.5
30,1.345,150,5,160,1,1.5
30,1.346,150,5,160,1,1.5
30,1.347,150,5,160,1,1.5
30,1.348,150,5,160,1,1.5
34,1.349,150,5,160,1,1.5
34,1.35,150,5,160,1,1.5
34,1.351,150,5,160,1,1.5
34,1.352,150,5,160,1,1.5
34,1.353,150,5,160,1,1.5
34,1.354,150,5,160,1,1.5
34,1.355,150,5,160,1,1.5
34,1.356,150,5,160,1,1.5
34,1.357,150,5,160,1,1.5
34,1.358,150,5,160,1,1.5
34,1.359,150,5,160,1,1.5
34,1.36,150,5,160,1,1.5
34,1.361,150,5,160,1,1.5
34,1.362,150,5,160,1,1.5
34,1.363,150,5,160,1,1.5
34,1.364,150,5,160,1,1.5
34,1.365,150,5,160,1,1.5
30,1.366,150,5,160,1,1.5
30,1.367,150,5,160,1,1.5
30,1.368,150,5,160,1,1.5
30,1.369,150,5,160,1,1.5
30,1.37,150,5,160,1,1.5
30,1.371,150,5,160,1,1.5
30,1.372,150,5,160,1,1.5
30,1.373,150,5,160,1,1.5
