MCS,CtlrRate,Mean_Throughput(Mbps),Distance(m),SimulationTime(s),Seed
0,ErpOfdmRate6Mbps,14.7693,0,20,7
0,ErpOfdmRate6Mbps,14.769,5,20,7
0,ErpOfdmRate6Mbps,14.769,10,20,7
0,ErpOfdmRate6Mbps,14.769,15,20,7
0,ErpOfdmRate6Mbps,14.769,20,20,7
0,ErpOfdmRate6Mbps,14.7686,25,20,7
0,ErpOfdmRate6Mbps,14.7686,30,20,7
0,ErpOfdmRate6Mbps,14.7686,35,20,7
0,ErpOfdmRate6Mbps,14.7686,40,20,7
0,ErpOfdmRate6Mbps,14.7686,45,20,7
0,ErpOfdmRate6Mbps,14.7686,50,20,7
0,ErpOfdmRate6Mbps,14.7684,55,20,7
0,ErpOfdmRate6Mbps,14.7684,60,20,7
0,ErpOfdmRate6Mbps,14.7684,65,20,7
0,ErpOfdmRate6Mbps,14.7684,70,20,7
0,ErpOfdmRate6Mbps,14.7684,75,20,7
0,ErpOfdmRate6Mbps,14.7684,80,20,7
0,ErpOfdmRate6Mbps,14.7684,85,20,7
0,ErpOfdmRate6Mbps,0,90,20,7
0,ErpOfdmRate6Mbps,0,95,20,7
0,ErpOfdmRate6Mbps,0,100,20,7
1,ErpOfdmRate12Mbps,29.7347,0,20,7
1,ErpOfdmRate12Mbps,29.7347,5,20,7
1,ErpOfdmRate12Mbps,29.7347,10,20,7
1,ErpOfdmRate12Mbps,29.7347,15,20,7
1,ErpOfdmRate12Mbps,29.7347,20,20,7
1,ErpOfdmRate12Mbps,29.7347,25,20,7
1,ErpOfdmRate12Mbps,29.7343,30,20,7
1,ErpOfdmRate12Mbps,29.7328,35,20,7
1,ErpOfdmRate12Mbps,29.7324,40,20,7
1,ErpOfdmRate12Mbps,29.7324,45,20,7
1,ErpOfdmRate12Mbps,29.7324,50,20,7
1,ErpOfdmRate12Mbps,29.7315,55,20,7
1,ErpOfdmRate12Mbps,29.7315,60,20,7
1,ErpOfdmRate12Mbps,29.7315,65,20,7
1,ErpOfdmRate12Mbps,29.7315,70,20,7
1,ErpOfdmRate12Mbps,29.7315,75,20,7
1,ErpOfdmRate12Mbps,29.7315,80,20,7
1,ErpOfdmRate12Mbps,29.7315,85,20,7
1,ErpOfdmRate12Mbps,0,90,20,7
1,ErpOfdmRate12Mbps,0,95,20,7
1,ErpOfdmRate12Mbps,0,100,20,7
2,ErpOfdmRate18Mbps,44.596,0,20,7
2,ErpOfdmRate18Mbps,44.596,5,20,7
2,ErpOfdmRate18Mbps,44.596,10,20,7
2,ErpOfdmRate18Mbps,44.596,15,20,7
2,ErpOfdmRate18Mbps,44.5945,20,20,7
2,ErpOfdmRate18Mbps,44.5945,25,20,7
2,ErpOfdmRate18Mbps,44.5945,30,20,7
2,ErpOfdmRate18Mbps,44.5945,35,20,7
2,ErpOfdmRate18Mbps,44.5945,40,20,7
2,ErpOfdmRate18Mbps,44.5945,45,20,7
2,ErpOfdmRate18Mbps,44.5938,50,20,7
2,ErpOfdmRate18Mbps,44.5932,55,20,7
2,ErpOfdmRate18Mbps,44.5925,60,20,7
2,ErpOfdmRate18Mbps,44.5925,65,20,7
2,ErpOfdmRate18Mbps,44.591,70,20,7
