MCS,CtlrRate,Mean_Throughput(Mbps),Distance(m),SimulationTime(s),Seed
0,OfdmRate6Mbps,62.5557,0,20,9
0,OfdmRate6Mbps,62.5557,5,20,9
0,OfdmRate6Mbps,62.5557,10,20,9
0,OfdmRate6Mbps,62.5548,15,20,9
0,OfdmRate6Mbps,62.5542,20,20,9
0,OfdmRate6Mbps,62.5542,25,20,9
0,OfdmRate6Mbps,62.5542,30,20,9
0,OfdmRate6Mbps,62.5542,35,20,9
0,OfdmRate6Mbps,62.5527,40,20,9
0,OfdmRate6Mbps,62.5527,45,20,9
0,OfdmRate6Mbps,62.5527,50,20,9
0,OfdmRate6Mbps,0,55,20,9
0,OfdmRate6Mbps,0,60,20,9
0,OfdmRate6Mbps,0,65,20,9
0,OfdmRate6Mbps,0,70,20,9
0,OfdmRate6Mbps,0,75,20,9
0,OfdmRate6Mbps,0,80,20,9
0,OfdmRate6Mbps,0,85,20,9
0,OfdmRate6Mbps,0,90,20,9
0,OfdmRate6Mbps,0,95,20,9
0,OfdmRate6Mbps,0,100,20,9
1,OfdmRate12Mbps,123.623,0,20,9
1,OfdmRate12Mbps,123.622,5,20,9
1,OfdmRate12Mbps,123.619,10,20,9
1,OfdmRate12Mbps,123.615,15,20,9
1,OfdmRate12Mbps,123.614,20,20,9
1,OfdmRate12Mbps,123.611,25,20,9
1,OfdmRate12Mbps,123.611,30,20,9
1,OfdmRate12Mbps,123.609,35,20,9
1,OfdmRate12Mbps,123.608,40,20,9
1,OfdmRate12Mbps,123.61,45,20,9
1,OfdmRate12Mbps,122.437,50,20,9
1,OfdmRate12Mbps,0,55,20,9
1,OfdmRate12Mbps,0,60,20,9
1,OfdmRate12Mbps,0,65,20,9
1,OfdmRate12Mbps,0,70,20,9
1,OfdmRate12Mbps,0,75,20,9
1,OfdmRate12Mbps,0,80,20,9
1,OfdmRate12Mbps,0,85,20,9
1,OfdmRate12Mbps,0,90,20,9
1,OfdmRate12Mbps,0,95,20,9
1,OfdmRate12Mbps,0,100,20,9
2,OfdmRate18Mbps,179.723,0,20,9
2,OfdmRate18Mbps,179.723,5,20,9
2,OfdmRate18Mbps,179.721,10,20,9
2,OfdmRate18Mbps,179.72,15,20,9
2,OfdmRate18Mbps,179.719,20,20,9
2,OfdmRate18Mbps,179.717,25,20,9
2,OfdmRate18Mbps,179.717,30,20,9
2,OfdmRate18Mbps,179.712,35,20,9
2,OfdmRate18Mbps,179.349,40,20,9
2,OfdmRate18Mbps,144.118,45,20,9
2,OfdmRate18Mbps,0.0161647,50,20,9
2,OfdmRate18Mbps,0,55,20,9
2,OfdmRate18Mbps,0,60,20,9
2,OfdmRate18Mbps,0,65,20,9
2,OfdmRate18Mbps,0,70,20,9
2,OfdmRate18Mbps,0,75,20,9
2,OfdmRate18Mbps,0,80,20,9
2,OfdmRate18Mbps,0,85,20,9
2,OfdmRate18Mbps,0,90,20,9
2,OfdmRate18Mbps,0,95,20,9
2,OfdmRate18Mbps,0,100,20,9
3,OfdmRate24Mbps,234.766,0,20,9
3,OfdmRate24Mbps,234.765,5,20,9
3,OfdmRate24Mbps,234.757,10,20,9
3,OfdmRate24Mbps,234.755,15,20,9
3,OfdmRate24Mbps,234.749,20,20,9
3,OfdmRate24Mbps,234.749,25,20,9
3,OfdmRate24Mbps,234.733,30,20,9
3,OfdmRate24Mbps,204.769,35,20,9
3,OfdmRate24Mbps,0.0161647,40,20,9
3,OfdmRate24Mbps,0.0161647,45,20,9
3,OfdmRate24Mbps,0.0161647,50,20,9
3,OfdmRate24Mbps,0,55,20,9
3,OfdmRate24Mbps,0,60,20,9
3,OfdmRate24Mbps,0,65,20,9
3,OfdmRate24Mbps,0,70,20,9
3,OfdmRate24Mbps,0,75,20,9
3,OfdmRate24Mbps,0,80,20,9
3,OfdmRate24Mbps,0,85,20,9
3,OfdmRate24Mbps,0,90,20,9
3,OfdmRate24Mbps,0,95,20,9
3,OfdmRate24Mbps,0,100,20,9
4,OfdmRate36Mbps,333.644,0,20,9
4,OfdmRate36Mbps,333.637,5,20,9
4,OfdmRate36Mbps,333.632,10,20,9
4,OfdmRate36Mbps,333.624,15,20,9
4,OfdmRate36Mbps,333.618,20,20,9
4,OfdmRate36Mbps,331.375,25,20,9
4,OfdmRate36Mbps,0.0161647,30,20,9
4,OfdmRate36Mbps,0.0161647,35,20,9
4,OfdmRate36Mbps,0.0161647,40,20,9
4,OfdmRate36Mbps,0.0161647,45,20,9
4,OfdmRate36Mbps,0.0161647,50,20,9
4,OfdmRate36Mbps,0,55,20,9
4,OfdmRate36Mbps,0,60,20,9
4,OfdmRate36Mbps,0,65,20,9
4,OfdmRate36Mbps,0,70,20,9
4,OfdmRate36Mbps,0,75,20,9
4,OfdmRate36Mbps,0,80,20,9
4,OfdmRate36Mbps,0,85,20,9
4,OfdmRate36Mbps,0,90,20,9
4,OfdmRate36Mbps,0,95,20,9
4,OfdmRate36Mbps,0,100,20,9
5,OfdmRate48Mbps,422.641,0,20,9
5,OfdmRate48Mbps,422.631,5,20,9
5,OfdmRate48Mbps,422.626,10,20,9
5,OfdmRate48Mbps,422.611,15,20,9
5,OfdmRate48Mbps,375.484,20,20,9
5,OfdmRate48Mbps,0.0161647,25,20,9
5,OfdmRate48Mbps,0.0161647,30,20,9
5,OfdmRate48Mbps,0.0161647,35,20,9
5,OfdmRate48Mbps,0.0161647,40,20,9
5,OfdmRate48Mbps,0.0161647,45,20,9
5,OfdmRate48Mbps,0.0161647,50,20,9
5,OfdmRate48Mbps,0,55,20,9
5,OfdmRate48Mbps,0,60,20,9
5,OfdmRate48Mbps,0,65,20,9
5,OfdmRate48Mbps,0,70,20,9
5,OfdmRate48Mbps,0,75,20,9
5,OfdmRate48Mbps,0,80,20,9
5,OfdmRate48Mbps,0,85,20,9
5,OfdmRate48Mbps,0,90,20,9
5,OfdmRate48Mbps,0,95,20,9
5,OfdmRate48Mbps,0,100,20,9
6,OfdmRate54Mbps,468.065,0,20,9
6,OfdmRate54Mbps,468.05,5,20,9
6,OfdmRate54Mbps,468.032,10,20,9
6,OfdmRate54Mbps,468.013,15,20,9
6,OfdmRate54Mbps,0.0161647,20,20,9
6,OfdmRate54Mbps,0.0161647,25,20,9
6,OfdmRate54Mbps,0.0161647,30,20,9
6,OfdmRate54Mbps,0.0161647,35,20,9
6,OfdmRate54Mbps,0.0161647,40,20,9
6,OfdmRate54Mbps,0.0161647,45,20,9
6,OfdmRate54Mbps,0.0161647,50,20,9
6,OfdmRate54Mbps,0,55,20,9
6,OfdmRate54Mbps,0,60,20,9
6,OfdmRate54Mbps,0,65,20,9
6,OfdmRate54Mbps,0,70,20,9
6,OfdmRate54Mbps,0,75,20,9
6,OfdmRate54Mbps,0,80,20,9
6,OfdmRate54Mbps,0,85,20,9
6,OfdmRate54Mbps,0,90,20,9
6,OfdmRate54Mbps,0,95,20,9
6,OfdmRate54Mbps,0,100,20,9
7,OfdmRate54Mbps,509.082,0,20,9
7,OfdmRate54Mbps,509.068,5,20,9
7,OfdmRate54Mbps,509.055,10,20,9
7,OfdmRate54Mbps,500.358,15,20,9
7,OfdmRate54Mbps,0.0161647,20,20,9
7,OfdmRate54Mbps,0.0161647,25,20,9
7,OfdmRate54Mbps,0.0161647,30,20,9
7,OfdmRate54Mbps,0.0161647,35,20,9
7,OfdmRate54Mbps,0.0161647,40,20,9
7,OfdmRate54Mbps,0.0161647,45,20,9
7,OfdmRate54Mbps,0.0161647,50,20,9
7,OfdmRate54Mbps,0,55,20,9
7,OfdmRate54Mbps,0,60,20,9
7,OfdmRate54Mbps,0,65,20,9
7,OfdmRate54Mbps,0,70,20,9
7,OfdmRate54Mbps,0,75,20,9
7,OfdmRate54Mbps,0,80,20,9
7,OfdmRate54Mbps,0,85,20,9
7,OfdmRate54Mbps,0,90,20,9
7,OfdmRate54Mbps,0,95,20,9
7,OfdmRate54Mbps,0,100,20,9
8,OfdmRate54Mbps,576.441,0,20,9
8,OfdmRate54Mbps,576.417,5,20,9
8,OfdmRate54Mbps,576.379,10,20,9
8,OfdmRate54Mbps,0.0161647,15,20,9
8,OfdmRate54Mbps,0.0161647,20,20,9
8,OfdmRate54Mbps,0.0161647,25,20,9
8,OfdmRate54Mbps,0.0161647,30,20,9
8,OfdmRate54Mbps,0.0161647,35,20,9
8,OfdmRate54Mbps,0.0161647,40,20,9
8,OfdmRate54Mbps,0.0161647,45,20,9
8,OfdmRate54Mbps,0.0161647,50,20,9
8,OfdmRate54Mbps,0,55,20,9
8,OfdmRate54Mbps,0,60,20,9
8,OfdmRate54Mbps,0,65,20,9
8,OfdmRate54Mbps,0,70,20,9
8,OfdmRate54Mbps,0,75,20,9
8,OfdmRate54Mbps,0,80,20,9
8,OfdmRate54Mbps,0,85,20,9
8,OfdmRate54Mbps,0,90,20,9
8,OfdmRate54Mbps,0,95,20,9
8,OfdmRate54Mbps,0,100,20,9
9,OfdmRate54Mbps,628.397,0,20,9
9,OfdmRate54Mbps,628.371,5,20,9
9,OfdmRate54Mbps,602.67,10,20,9
9,OfdmRate54Mbps,0.0161647,15,20,9
9,OfdmRate54Mbps,0.0161647,20,20,9
9,OfdmRate54Mbps,0.0161647,25,20,9
9,OfdmRate54Mbps,0.0161647,30,20,9
9,OfdmRate54Mbps,0.0161647,35,20,9
9,OfdmRate54Mbps,0.0161647,40,20,9
9,OfdmRate54Mbps,0.0161647,45,20,9
9,OfdmRate54Mbps,0.0161647,50,20,9
9,OfdmRate54Mbps,0,55,20,9
9,OfdmRate54Mbps,0,60,20,9
9,OfdmRate54Mbps,0,65,20,9
9,OfdmRate54Mbps,0,70,20,9
9,OfdmRate54Mbps,0,75,20,9
9,OfdmRate54Mbps,0,80,20,9
9,OfdmRate54Mbps,0,85,20,9
9,OfdmRate54Mbps,0,90,20,9
9,OfdmRate54Mbps,0,95,20,9
9,OfdmRate54Mbps,0,100,20,9
10,OfdmRate54Mbps,677.23,0,20,9
10,OfdmRate54Mbps,677.19,5,20,9
10,OfdmRate54Mbps,0.0161647,10,20,9
10,OfdmRate54Mbps,0.0161647,15,20,9
10,OfdmRate54Mbps,0.0161647,20,20,9
10,OfdmRate54Mbps,0.0161647,25,20,9
10,OfdmRate54Mbps,0.0161647,30,20,9
10,OfdmRate54Mbps,0.0161647,35,20,9
10,OfdmRate54Mbps,0.0161647,40,20,9
10,OfdmRate54Mbps,0.0161647,45,20,9
10,OfdmRate54Mbps,0.0161647,50,20,9
10,OfdmRate54Mbps,0,55,20,9
10,OfdmRate54Mbps,0,60,20,9
10,OfdmRate54Mbps,0,65,20,9
10,OfdmRate54Mbps,0,70,20,9
10,OfdmRate54Mbps,0,75,20,9
10,OfdmRate54Mbps,0,80,20,9
10,OfdmRate54Mbps,0,85,20,9
10,OfdmRate54Mbps,0,90,20,9
10,OfdmRate54Mbps,0,95,20,9
10,OfdmRate54Mbps,0,100,20,9
11,OfdmRate54Mbps,734.263,0,20,9
11,OfdmRate54Mbps,663.862,5,20,9
11,OfdmRate54Mbps,0.0161647,10,20,9
11,OfdmRate54Mbps,0.0161647,15,20,9
11,OfdmRate54Mbps,0.0161647,20,20,9
11,OfdmRate54Mbps,0.0161647,25,20,9
11,OfdmRate54Mbps,0.0161647,30,20,9
11,OfdmRate54Mbps,0.0161647,35,20,9
11,OfdmRate54Mbps,0.0161647,40,20,9
11,OfdmRate54Mbps,0.0161647,45,20,9
11,OfdmRate54Mbps,0.0161647,50,20,9
11,OfdmRate54Mbps,0,55,20,9
11,OfdmRate54Mbps,0,60,20,9
11,OfdmRate54Mbps,0,65,20,9
11,OfdmRate54Mbps,0,70,20,9
11,OfdmRate54Mbps,0,75,20,9
11,OfdmRate54Mbps,0,80,20,9
11,OfdmRate54Mbps,0,85,20,9
11,OfdmRate54Mbps,0,90,20,9
11,OfdmRate54Mbps,0,95,20,9
11,OfdmRate54Mbps,0,100,20,9
