MCS,Mean_Throughput(Mbps),Distance(m),SimulationTime(s),Seed
0,62.5661,0,20,6
0,62.5653,5,20,6
0,62.5653,10,20,6
0,62.5653,15,20,6
0,62.5653,20,20,6
0,62.5642,25,20,6
0,62.5642,30,20,6
0,62.5642,35,20,6
0,62.5642,40,20,6
0,62.5642,45,20,6
0,0,50,20,6
0,0,55,20,6
0,0,60,20,6
0,0,65,20,6
0,0,70,20,6
0,0,75,20,6
0,0,80,20,6
0,0,85,20,6
0,0,90,20,6
0,0,95,20,6
0,0,100,20,6
1,123.646,0,20,6
1,123.646,5,20,6
1,123.642,10,20,6
1,123.642,15,20,6
1,123.639,20,20,6
1,123.639,25,20,6
1,123.636,30,20,6
1,123.636,35,20,6
1,123.636,40,20,6
1,122.764,45,20,6
1,0,50,20,6
1,0,55,20,6
1,0,60,20,6
1,0,65,20,6
1,0,70,20,6
1,0,75,20,6
1,0,80,20,6
1,0,85,20,6
1,0,90,20,6
1,0,95,20,6
1,0,100,20,6
2,179.758,0,20,6
2,179.755,5,20,6
2,179.754,10,20,6
2,179.754,15,20,6
2,179.75,20,20,6
2,179.745,25,20,6
2,179.739,30,20,6
2,179.725,35,20,6
2,164.52,40,20,6
2,0.0161647,45,20,6
2,0,50,20,6
2,0,55,20,6
2,0,60,20,6
2,0,65,20,6
2,0,70,20,6
2,0,75,20,6
2,0,80,20,6
2,0,85,20,6
2,0,90,20,6
2,0,95,20,6
2,0,100,20,6
3,234.809,0,20,6
3,234.808,5,20,6
3,234.801,10,20,6
3,234.796,15,20,6
3,234.793,20,20,6
3,234.79,25,20,6
3,226.965,30,20,6
3,0.0161647,35,20,6
3,0.0161647,40,20,6
3,0.0161647,45,20,6
3,0,50,20,6
3,0,55,20,6
3,0,60,20,6
3,0,65,20,6
3,0,70,20,6
3,0,75,20,6
3,0,80,20,6
3,0,85,20,6
3,0,90,20,6
3,0,95,20,6
3,0,100,20,6
4,333.705,0,20,6
4,333.702,5,20,6
4,333.695,10,20,6
4,333.689,15,20,6
4,333.678,20,20,6
4,268.084,25,20,6
4,0.0161647,30,20,6
4,0.0161647,35,20,6
4,0.0161647,40,20,6
4,0.0161647,45,20,6
4,0,50,20,6
4,0,55,20,6
4,0,60,20,6
4,0,65,20,6
4,0,70,20,6
4,0,75,20,6
4,0,80,20,6
4,0,85,20,6
4,0,90,20,6
4,0,95,20,6
4,0,100,20,6
5,422.725,0,20,6
5,422.711,5,20,6
5,422.702,10,20,6
5,422.672,15,20,6
5,0.0161647,20,20,6
5,0.0161647,25,20,6
5,0.0161647,30,20,6
5,0.0161647,35,20,6
5,0.0161647,40,20,6
5,0.0161647,45,20,6
5,0,50,20,6
5,0,55,20,6
5,0,60,20,6
5,0,65,20,6
5,0,70,20,6
5,0,75,20,6
5,0,80,20,6
5,0,85,20,6
5,0,90,20,6
5,0,95,20,6
5,0,100,20,6
6,468.147,0,20,6
6,468.13,5,20,6
6,468.119,10,20,6
6,457.705,15,20,6
6,0.0161647,20,20,6
6,0.0161647,25,20,6
6,0.0161647,30,20,6
6,0.0161647,35,20,6
6,0.0161647,40,20,6
6,0.0161647,45,20,6
6,0,50,20,6
6,0,55,20,6
6,0,60,20,6
6,0,65,20,6
6,0,70,20,6
6,0,75,20,6
6,0,80,20,6
6,0,85,20,6
6,0,90,20,6
6,0,95,20,6
6,0,100,20,6
7,509.184,0,20,6
7,509.161,5,20,6
7,509.143,10,20,6
7,413.992,15,20,6
7,0.0161647,20,20,6
7,0.0161647,25,20,6
7,0.0161647,30,20,6
7,0.0161647,35,20,6
7,0.0161647,40,20,6
7,0.0161647,45,20,6
7,0,50,20,6
7,0,55,20,6
7,0,60,20,6
7,0,65,20,6
7,0,70,20,6
7,0,75,20,6
7,0,80,20,6
7,0,85,20,6
7,0,90,20,6
7,0,95,20,6
7,0,100,20,6
8,576.537,0,20,6
8,576.517,5,20,6
8,563.525,10,20,6
8,0.0161647,15,20,6
8,0.0161647,20,20,6
8,0.0161647,25,20,6
8,0.0161647,30,20,6
8,0.0161647,35,20,6
8,0.0161647,40,20,6
