MCS,CtlrRate,Mean_Throughput(Mbps),Distance(m),SimulationTime(s),Seed
0,ErpOfdmRate6Mbps,14.3969,0,20,1
0,ErpOfdmRate6Mbps,14.3969,5,20,1
0,ErpOfdmRate6Mbps,14.3969,10,20,1
0,ErpOfdmRate6Mbps,14.3969,15,20,1
0,ErpOfdmRate6Mbps,14.3969,20,20,1
0,ErpOfdmRate6Mbps,14.3969,25,20,1
0,ErpOfdmRate6Mbps,14.3969,30,20,1
0,ErpOfdmRate6Mbps,14.3969,35,20,1
0,ErpOfdmRate6Mbps,14.3969,40,20,1
0,ErpOfdmRate6Mbps,14.3969,45,20,1
0,ErpOfdmRate6Mbps,14.3969,50,20,1
0,ErpOfdmRate6Mbps,14.3969,55,20,1
0,ErpOfdmRate6Mbps,14.3969,60,20,1
0,ErpOfdmRate6Mbps,14.3969,65,20,1
0,ErpOfdmRate6Mbps,0.016949,70,20,1
0,ErpOfdmRate6Mbps,0.016949,75,20,1
0,ErpOfdmRate6Mbps,0.016949,80,20,1
0,ErpOfdmRate6Mbps,0,85,20,1
0,ErpOfdmRate6Mbps,0,90,20,1
0,ErpOfdmRate6Mbps,0,95,20,1
0,ErpOfdmRate6Mbps,0,100,20,1
1,ErpOfdmRate12Mbps,29.3264,0,20,1
1,ErpOfdmRate12Mbps,29.3264,5,20,1
1,ErpOfdmRate12Mbps,29.3264,10,20,1
1,ErpOfdmRate12Mbps,29.3264,15,20,1
1,ErpOfdmRate12Mbps,29.3264,20,20,1
1,ErpOfdmRate12Mbps,29.3264,25,20,1
1,ErpOfdmRate12Mbps,29.3264,30,20,1
1,ErpOfdmRate12Mbps,29.3264,35,20,1
1,ErpOfdmRate12Mbps,29.3264,40,20,1
1,ErpOfdmRate12Mbps,29.3264,45,20,1
1,ErpOfdmRate12Mbps,29.3264,50,20,1
1,ErpOfdmRate12Mbps,29.3264,55,20,1
1,ErpOfdmRate12Mbps,29.3264,60,20,1
1,ErpOfdmRate12Mbps,29.3264,65,20,1
1,ErpOfdmRate12Mbps,0.016949,70,20,1
1,ErpOfdmRate12Mbps,0.016949,75,20,1
1,ErpOfdmRate12Mbps,0.016949,80,20,1
1,ErpOfdmRate12Mbps,0,85,20,1
1,ErpOfdmRate12Mbps,0,90,20,1
1,ErpOfdmRate12Mbps,0,95,20,1
1,ErpOfdmRate12Mbps,0,100,20,1
