MCS,CtlrRate,Mean_Throughput(Mbps),Distance(m),SimulationTime(s),Seed
0,OfdmRate6Mbps,61.0354,0,20,9
0,OfdmRate6Mbps,61.0354,5,20,9
0,OfdmRate6Mbps,61.0354,10,20,9
0,OfdmRate6Mbps,61.0354,15,20,9
0,OfdmRate6Mbps,61.0354,20,20,9
0,OfdmRate6Mbps,61.0354,25,20,9
0,OfdmRate6Mbps,0.0183815,30,20,9
0,OfdmRate6Mbps,0.0183815,35,20,9
0,OfdmRate6Mbps,0.0183815,40,20,9
0,OfdmRate6Mbps,0.0183815,45,20,9
0,OfdmRate6Mbps,0.0183815,50,20,9
0,OfdmRate6Mbps,0,55,20,9
0,OfdmRate6Mbps,0,60,20,9
0,OfdmRate6Mbps,0,65,20,9
0,OfdmRate6Mbps,0,70,20,9
0,OfdmRate6Mbps,0,75,20,9
0,OfdmRate6Mbps,0,80,20,9
0,OfdmRate6Mbps,0,85,20,9
0,OfdmRate6Mbps,0,90,20,9
0,OfdmRate6Mbps,0,95,20,9
0,OfdmRate6Mbps,0,100,20,9
1,OfdmRate12Mbps,121.297,0,20,9
1,OfdmRate12Mbps,121.297,5,20,9
1,OfdmRate12Mbps,121.297,10,20,9
1,OfdmRate12Mbps,121.297,15,20,9
1,OfdmRate12Mbps,121.297,20,20,9
1,OfdmRate12Mbps,121.297,25,20,9
1,OfdmRate12Mbps,0.0183815,30,20,9
1,OfdmRate12Mbps,0.0183815,35,20,9
1,OfdmRate12Mbps,0.0183815,40,20,9
1,OfdmRate12Mbps,0.0183815,45,20,9
1,OfdmRate12Mbps,0.0183815,50,20,9
1,OfdmRate12Mbps,0,55,20,9
1,OfdmRate12Mbps,0,60,20,9
1,OfdmRate12Mbps,0,65,20,9
1,OfdmRate12Mbps,0,70,20,9
1,OfdmRate12Mbps,0,75,20,9
1,OfdmRate12Mbps,0,80,20,9
1,OfdmRate12Mbps,0,85,20,9
1,OfdmRate12Mbps,0,90,20,9
1,OfdmRate12Mbps,0,95,20,9
1,OfdmRate12Mbps,0,100,20,9
2,OfdmRate18Mbps,175.143,0,20,9
2,OfdmRate18Mbps,175.143,5,20,9
2,OfdmRate18Mbps,175.143,10,20,9
2,OfdmRate18Mbps,175.143,15,20,9
2,OfdmRate18Mbps,175.143,20,20,9
2,OfdmRate18Mbps,175.143,25,20,9
2,OfdmRate18Mbps,0.0183815,30,20,9
2,OfdmRate18Mbps,0.0183815,35,20,9
2,OfdmRate18Mbps,0.0183815,40,20,9
2,OfdmRate18Mbps,0.0183815,45,20,9
2,OfdmRate18Mbps,0.0183815,50,20,9
2,OfdmRate18Mbps,0,55,20,9
2,OfdmRate18Mbps,0,60,20,9
2,OfdmRate18Mbps,0,65,20,9
2,OfdmRate18Mbps,0,70,20,9
2,OfdmRate18Mbps,0,75,20,9
2,OfdmRate18Mbps,0,80,20,9
2,OfdmRate18Mbps,0,85,20,9
2,OfdmRate18Mbps,0,90,20,9
2,OfdmRate18Mbps,0,95,20,9
2,OfdmRate18Mbps,0,100,20,9
3,OfdmRate24Mbps,230.579,0,20,9
3,OfdmRate24Mbps,230.579,5,20,9
3,OfdmRate24Mbps,230.579,10,20,9
3,OfdmRate24Mbps,230.579,15,20,9
3,OfdmRate24Mbps,230.579,20,20,9
3,OfdmRate24Mbps,230.579,25,20,9
3,OfdmRate24Mbps,0.0183815,30,20,9
3,OfdmRate24Mbps,0.0183815,35,20,9
3,OfdmRate24Mbps,0.0183815,40,20,9
3,OfdmRate24Mbps,0.0183815,45,20,9
3,OfdmRate24Mbps,0.0183815,50,20,9
3,OfdmRate24Mbps,0,55,20,9
3,OfdmRate24Mbps,0,60,20,9
3,OfdmRate24Mbps,0,65,20,9
3,OfdmRate24Mbps,0,70,20,9
3,OfdmRate24Mbps,0,75,20,9
3,OfdmRate24Mbps,0,80,20,9
3,OfdmRate24Mbps,0,85,20,9
3,OfdmRate24Mbps,0,90,20,9
3,OfdmRate24Mbps,0,95,20,9
3,OfdmRate24Mbps,0,100,20,9
4,OfdmRate36Mbps,325.29,0,20,9
4,OfdmRate36Mbps,325.29,5,20,9
4,OfdmRate36Mbps,325.29,10,20,9
4,OfdmRate36Mbps,325.29,15,20,9
4,OfdmRate36Mbps,325.29,20,20,9
4,OfdmRate36Mbps,305.228,25,20,9
4,OfdmRate36Mbps,0.0183815,30,20,9
4,OfdmRate36Mbps,0.0183815,35,20,9
4,OfdmRate36Mbps,0.0183815,40,20,9
4,OfdmRate36Mbps,0.0183815,45,20,9
4,OfdmRate36Mbps,0.0183815,50,20,9
4,OfdmRate36Mbps,0,55,20,9
4,OfdmRate36Mbps,0,60,20,9
4,OfdmRate36Mbps,0,65,20,9
4,OfdmRate36Mbps,0,70,20,9
4,OfdmRate36Mbps,0,75,20,9
4,OfdmRate36Mbps,0,80,20,9
4,OfdmRate36Mbps,0,85,20,9
4,OfdmRate36Mbps,0,90,20,9
4,OfdmRate36Mbps,0,95,20,9
4,OfdmRate36Mbps,0,100,20,9
5,OfdmRate48Mbps,409.375,0,20,9
5,OfdmRate48Mbps,409.375,5,20,9
5,OfdmRate48Mbps,409.375,10,20,9
5,OfdmRate48Mbps,409.307,15,20,9
5,OfdmRate48Mbps,0.0183815,20,20,9
5,OfdmRate48Mbps,0.0183815,25,20,9
5,OfdmRate48Mbps,0.0183815,30,20,9
5,OfdmRate48Mbps,0.0183815,35,20,9
5,OfdmRate48Mbps,0.0183815,40,20,9
5,OfdmRate48Mbps,0.0183815,45,20,9
5,OfdmRate48Mbps,0.0183815,50,20,9
5,OfdmRate48Mbps,0,55,20,9
5,OfdmRate48Mbps,0,60,20,9
5,OfdmRate48Mbps,0,65,20,9
5,OfdmRate48Mbps,0,70,20,9
5,OfdmRate48Mbps,0,75,20,9
5,OfdmRate48Mbps,0,80,20,9
5,OfdmRate48Mbps,0,85,20,9
5,OfdmRate48Mbps,0,90,20,9
5,OfdmRate48Mbps,0,95,20,9
5,OfdmRate48Mbps,0,100,20,9
6,OfdmRate54Mbps,451.838,0,20,9
6,OfdmRate54Mbps,451.838,5,20,9
6,OfdmRate54Mbps,451.838,10,20,9
6,OfdmRate54Mbps,451.769,15,20,9
6,OfdmRate54Mbps,0.0183815,20,20,9
6,OfdmRate54Mbps,0.0183815,25,20,9
6,OfdmRate54Mbps,0.0183815,30,20,9
6,OfdmRate54Mbps,0.0183815,35,20,9
6,OfdmRate54Mbps,0.0183815,40,20,9
6,OfdmRate54Mbps,0.0183815,45,20,9
6,OfdmRate54Mbps,0.0183815,50,20,9
6,OfdmRate54Mbps,0,55,20,9
6,OfdmRate54Mbps,0,60,20,9
6,OfdmRate54Mbps,0,65,20,9
6,OfdmRate54Mbps,0,70,20,9
6,OfdmRate54Mbps,0,75,20,9
6,OfdmRate54Mbps,0,80,20,9
6,OfdmRate54Mbps,0,85,20,9
6,OfdmRate54Mbps,0,90,20,9
6,OfdmRate54Mbps,0,95,20,9
6,OfdmRate54Mbps,0,100,20,9
7,OfdmRate54Mbps,489.967,0,20,9
7,OfdmRate54Mbps,489.967,5,20,9
7,OfdmRate54Mbps,489.967,10,20,9
7,OfdmRate54Mbps,489.907,15,20,9
7,OfdmRate54Mbps,0.0183815,20,20,9
7,OfdmRate54Mbps,0.0183815,25,20,9
7,OfdmRate54Mbps,0.0183815,30,20,9
7,OfdmRate54Mbps,0.0183815,35,20,9
7,OfdmRate54Mbps,0.0183815,40,20,9
7,OfdmRate54Mbps,0.0183815,45,20,9
7,OfdmRate54Mbps,0.0183815,50,20,9
7,OfdmRate54Mbps,0,55,20,9
7,OfdmRate54Mbps,0,60,20,9
7,OfdmRate54Mbps,0,65,20,9
7,OfdmRate54Mbps,0,70,20,9
7,OfdmRate54Mbps,0,75,20,9
7,OfdmRate54Mbps,0,80,20,9
7,OfdmRate54Mbps,0,85,20,9
7,OfdmRate54Mbps,0,90,20,9
7,OfdmRate54Mbps,0,95,20,9
7,OfdmRate54Mbps,0,100,20,9
8,OfdmRate54Mbps,552.064,0,20,9
8,OfdmRate54Mbps,552.064,5,20,9
8,OfdmRate54Mbps,552.064,10,20,9
8,OfdmRate54Mbps,0.0183815,15,20,9
8,OfdmRate54Mbps,0.0183815,20,20,9
8,OfdmRate54Mbps,0.0183815,25,20,9
8,OfdmRate54Mbps,0.0183815,30,20,9
8,OfdmRate54Mbps,0.0183815,35,20,9
8,OfdmRate54Mbps,0.0183815,40,20,9
8,OfdmRate54Mbps,0.0183815,45,20,9
8,OfdmRate54Mbps,0.0183815,50,20,9
8,OfdmRate54Mbps,0,55,20,9
8,OfdmRate54Mbps,0,60,20,9
8,OfdmRate54Mbps,0,65,20,9
8,OfdmRate54Mbps,0,70,20,9
8,OfdmRate54Mbps,0,75,20,9
8,OfdmRate54Mbps,0,80,20,9
8,OfdmRate54Mbps,0,85,20,9
8,OfdmRate54Mbps,0,90,20,9
8,OfdmRate54Mbps,0,95,20,9
8,OfdmRate54Mbps,0,100,20,9
9,OfdmRate54Mbps,599.561,0,20,9
9,OfdmRate54Mbps,599.561,5,20,9
9,OfdmRate54Mbps,599.561,10,20,9
9,OfdmRate54Mbps,0.0183815,15,20,9
9,OfdmRate54Mbps,0.0183815,20,20,9
9,OfdmRate54Mbps,0.0183815,25,20,9
9,OfdmRate54Mbps,0.0183815,30,20,9
9,OfdmRate54Mbps,0.0183815,35,20,9
9,OfdmRate54Mbps,0.0183815,40,20,9
9,OfdmRate54Mbps,0.0183815,45,20,9
9,OfdmRate54Mbps,0.0183815,50,20,9
9,OfdmRate54Mbps,0,55,20,9
9,OfdmRate54Mbps,0,60,20,9
9,OfdmRate54Mbps,0,65,20,9
9,OfdmRate54Mbps,0,70,20,9
9,OfdmRate54Mbps,0,75,20,9
9,OfdmRate54Mbps,0,80,20,9
9,OfdmRate54Mbps,0,85,20,9
9,OfdmRate54Mbps,0,90,20,9
9,OfdmRate54Mbps,0,95,20,9
9,OfdmRate54Mbps,0,100,20,9
10,OfdmRate54Mbps,643.869,0,20,9
10,OfdmRate54Mbps,643.869,5,20,9
10,OfdmRate54Mbps,0.0183815,10,20,9
10,OfdmRate54Mbps,0.0183815,15,20,9
10,OfdmRate54Mbps,0.0183815,20,20,9
10,OfdmRate54Mbps,0.0183815,25,20,9
10,OfdmRate54Mbps,0.0183815,30,20,9
10,OfdmRate54Mbps,0.0183815,35,20,9
10,OfdmRate54Mbps,0.0183815,40,20,9
10,OfdmRate54Mbps,0.0183815,45,20,9
10,OfdmRate54Mbps,0.0183815,50,20,9
10,OfdmRate54Mbps,0,55,20,9
10,OfdmRate54Mbps,0,60,20,9
