MCS,Mean_Throughput(Mbps),Distance(m),SimulationTime(s),Seed
0,61.0687,0,20,5
0,61.0687,5,20,5
0,61.0687,10,20,5
0,61.0687,15,20,5
0,61.0687,20,20,5
0,0.0183815,25,20,5
0,0.0183815,30,20,5
0,0.0183815,35,20,5
0,0.0183815,40,20,5
0,0.0183815,45,20,5
0,0,50,20,5
0,0,55,20,5
0,0,60,20,5
0,0,65,20,5
0,0,70,20,5
0,0,75,20,5
0,0,80,20,5
0,0,85,20,5
0,0,90,20,5
0,0,95,20,5
0,0,100,20,5
1,121.368,0,20,5
1,121.368,5,20,5
1,121.368,10,20,5
1,121.368,15,20,5
1,121.368,20,20,5
1,0.0183815,25,20,5
1,0.0183815,30,20,5
1,0.0183815,35,20,5
1,0.0183815,40,20,5
1,0.0183815,45,20,5
1,0,50,20,5
1,0,55,20,5
1,0,60,20,5
1,0,65,20,5
1,0,70,20,5
1,0,75,20,5
1,0,80,20,5
1,0,85,20,5
1,0,90,20,5
1,0,95,20,5
1,0,100,20,5
2,175.239,0,20,5
2,175.239,5,20,5
2,175.239,10,20,5
2,175.239,15,20,5
2,175.239,20,20,5
2,0.0183815,25,20,5
2,0.0183815,30,20,5
2,0.0183815,35,20,5
2,0.0183815,40,20,5
2,0.0183815,45,20,5
2,0,50,20,5
2,0,55,20,5
2,0,60,20,5
2,0,65,20,5
2,0,70,20,5
2,0,75,20,5
2,0,80,20,5
2,0,85,20,5
2,0,90,20,5
2,0,95,20,5
2,0,100,20,5
3,230.704,0,20,5
3,230.704,5,20,5
3,230.704,10,20,5
3,230.704,15,20,5
3,230.704,20,20,5
3,0.0183815,25,20,5
3,0.0183815,30,20,5
3,0.0183815,35,20,5
3,0.0183815,40,20,5
3,0.0183815,45,20,5
3,0,50,20,5
3,0,55,20,5
3,0,60,20,5
3,0,65,20,5
3,0,70,20,5
3,0,75,20,5
3,0,80,20,5
3,0,85,20,5
3,0,90,20,5
3,0,95,20,5
3,0,100,20,5
4,325.465,0,20,5
4,325.465,5,20,5
4,325.465,10,20,5
4,325.465,15,20,5
4,325.227,20,20,5
4,0.0183815,25,20,5
4,0.0183815,30,20,5
4,0.0183815,35,20,5
4,0.0183815,40,20,5
4,0.0183815,45,20,5
4,0,50,20,5
4,0,55,20,5
4,0,60,20,5
4,0,65,20,5
4,0,70,20,5
4,0,75,20,5
4,0,80,20,5
4,0,85,20,5
4,0,90,20,5
4,0,95,20,5
4,0,100,20,5
5,409.599,0,20,5
5,409.599,5,20,5
5,409.599,10,20,5
5,407.654,15,20,5
5,0.0183815,20,20,5
5,0.0183815,25,20,5
5,0.0183815,30,20,5
5,0.0183815,35,20,5
5,0.0183815,40,20,5
5,0.0183815,45,20,5
5,0,50,20,5
5,0,55,20,5
5,0,60,20,5
5,0,65,20,5
5,0,70,20,5
5,0,75,20,5
5,0,80,20,5
5,0,85,20,5
5,0,90,20,5
5,0,95,20,5
5,0,100,20,5
6,452.08,0,20,5
6,452.08,5,20,5
6,452.08,10,20,5
6,449.473,15,20,5
6,0.0183815,20,20,5
6,0.0183815,25,20,5
6,0.0183815,30,20,5
6,0.0183815,35,20,5
6,0.0183815,40,20,5
6,0.0183815,45,20,5
6,0,50,20,5
6,0,55,20,5
6,0,60,20,5
6,0,65,20,5
6,0,70,20,5
6,0,75,20,5
6,0,80,20,5
6,0,85,20,5
6,0,90,20,5
6,0,95,20,5
6,0,100,20,5
7,490.226,0,20,5
7,490.226,5,20,5
7,490.226,10,20,5
7,0.0183815,15,20,5
7,0.0183815,20,20,5
7,0.0183815,25,20,5
7,0.0183815,30,20,5
