Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s),Seed
50.9175,200,3,2.4,40,20,9
59.3142,400,3,2.4,40,20,9
65.3887,600,3,2.4,40,20,9
78.7629,800,3,2.4,40,20,9
46.7497,1000,3,2.4,40,20,9
58.8733,1200,3,2.4,40,20,9
69.8902,1400,3,2.4,40,20,9
77.6375,1600,3,2.4,40,20,9
82.1098,1800,3,2.4,40,20,9
74.4427,2000,3,2.4,40,20,9
77.4263,2200,3,2.4,40,20,9
79.6955,2400,3,2.4,40,20,9
82.1143,2600,3,2.4,40,20,9
84.3445,2800,3,2.4,40,20,9
79.1342,3000,3,2.4,40,20,9
80.62,3200,3,2.4,40,20,9
81.9546,3400,3,2.4,40,20,9
83.1637,3600,3,2.4,40,20,9
84.484,3800,3,2.4,40,20,9
80.7286,4000,3,2.4,40,20,9
81.9888,4200,3,2.4,40,20,9
83.0181,4400,3,2.4,40,20,9
83.8535,4600,3,2.4,40,20,9
84.906,4800,3,2.4,40,20,9
82.0112,5000,3,2.4,40,20,9
82.8108,5200,3,2.4,40,20,9
83.4543,5400,3,2.4,40,20,9
84.4418,5600,3,2.4,40,20,9
84.825,5800,3,2.4,40,20,9
82.4977,6000,3,2.4,40,20,9
83.0884,6200,3,2.4,40,20,9
83.861,6400,3,2.4,40,20,9
84.4341,6600,3,2.4,40,20,9
85.0067,6800,3,2.4,40,20,9
83.0598,7000,3,2.4,40,20,9
83.5674,7200,3,2.4,40,20,9
84.2309,7400,3,2.4,40,20,9
84.9042,7600,3,2.4,40,20,9
84.9309,7800,3,2.4,40,20,9
83.0542,8000,3,2.4,40,20,9
83.8852,8200,3,2.4,40,20,9
84.3971,8400,3,2.4,40,20,9
84.8276,8600,3,2.4,40,20,9
83.1131,8800,3,2.4,40,20,9
83.4191,9000,3,2.4,40,20,9
83.8698,9200,3,2.4,40,20,9
84.5505,9400,3,2.4,40,20,9
84.9523,9600,3,2.4,40,20,9
83.374,9800,3,2.4,40,20,9
83.752,10000,3,2.4,40,20,9
