Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s),Seed
339.625,200,3,5,160,20,6
395.965,400,3,5,160,20,6
443.541,600,3,5,160,20,6
473.887,800,3,5,160,20,6
370.789,1000,3,5,160,20,6
395.325,1200,3,5,160,20,6
443.925,1400,3,5,160,20,6
473.404,1600,3,5,160,20,6
488.699,1800,3,5,160,20,6
459.97,2000,3,5,160,20,6
471.649,2200,3,5,160,20,6
481.775,2400,3,5,160,20,6
491.896,2600,3,5,160,20,6
499.494,2800,3,5,160,20,6
475.426,3000,3,5,160,20,6
484.495,3200,3,5,160,20,6
491.967,3400,3,5,160,20,6
492.664,3600,3,5,160,20,6
501.352,3800,3,5,160,20,6
481.544,4000,3,5,160,20,6
491.755,4200,3,5,160,20,6
492.977,4400,3,5,160,20,6
495.431,4600,3,5,160,20,6
502.111,4800,3,5,160,20,6
490.359,5000,3,5,160,20,6
493.218,5200,3,5,160,20,6
495.569,5400,3,5,160,20,6
499.367,5600,3,5,160,20,6
500.339,5800,3,5,160,20,6
492.02,6000,3,5,160,20,6
495.512,6200,3,5,160,20,6
497.226,6400,3,5,160,20,6
499.612,6600,3,5,160,20,6
501.6,6800,3,5,160,20,6
492.416,7000,3,5,160,20,6
496.452,7200,3,5,160,20,6
497.058,7400,3,5,160,20,6
500.398,7600,3,5,160,20,6
499.124,7800,3,5,160,20,6
495.939,8000,3,5,160,20,6
495.817,8200,3,5,160,20,6
498.107,8400,3,5,160,20,6
501.61,8600,3,5,160,20,6
497.863,8800,3,5,160,20,6
496.556,9000,3,5,160,20,6
500.053,9200,3,5,160,20,6
497.614,9400,3,5,160,20,6
501.862,9600,3,5,160,20,6
497.27,9800,3,5,160,20,6
497.663,10000,3,5,160,20,6
