Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s)
,,,5,160,,1
,,,5,160,,1
397.105,600,3,5,160,20,1
439.866,800,3,5,160,20,1
471.355,1000,3,5,160,20,1
493.374,1200,3,5,160,20,1
510.994,1400,3,5,160,20,1
527.894,1600,3,5,160,20,1
535.977,1800,3,5,160,20,1
0.0182753,2000,3,5,160,20,1
0.0182753,2200,3,5,160,20,1
22.6794,2400,3,5,160,20,1
42.6843,2600,3,5,160,20,1
213.8,2800,3,5,160,20,1
324.278,3000,3,5,160,20,1
280.036,3200,3,5,160,20,1
340.92,3400,3,5,160,20,1
335.075,3600,3,5,160,20,1
319.464,3800,3,5,160,20,1
302.514,4000,3,5,160,20,1
296.315,4200,3,5,160,20,1
0.0182753,4400,3,5,160,20,1
0.0401922,4600,3,5,160,20,1
0.50483,4800,3,5,160,20,1
0.397785,5000,3,5,160,20,1
37.1431,5200,3,5,160,20,1
78.6313,5400,3,5,160,20,1
51.1503,5600,3,5,160,20,1
129.366,5800,3,5,160,20,1
41.8347,6000,3,5,160,20,1
97.8166,6200,3,5,160,20,1
141.065,6400,3,5,160,20,1
0.0182753,6600,3,5,160,20,1
0.0182753,6800,3,5,160,20,1
0.0609183,7000,3,5,160,20,1
38.4112,7200,3,5,160,20,1
0.995332,7400,3,5,160,20,1
75.7964,7600,3,5,160,20,1
54.0873,7800,3,5,160,20,1
90.1781,8000,3,5,160,20,1
46.367,8200,3,5,160,20,1
85.9867,8400,3,5,160,20,1
79.1099,8600,3,5,160,20,1
0.0182753,8800,3,5,160,20,1
0.0182753,9000,3,5,160,20,1
0.155206,9200,3,5,160,20,1
0.175405,9400,3,5,160,20,1
83.5825,9600,3,5,160,20,1
2.89802,9800,3,5,160,20,1
66.5591,10000,3,5,160,20,1
