MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),GI(ns),SimulationTime(s),Seed
0,ErpOfdmRate6Mbps,7.49214,3,20,800,30,10
1,ErpOfdmRate12Mbps,15.1457,3,20,800,30,10
2,ErpOfdmRate18Mbps,22.6469,3,20,800,30,10
3,ErpOfdmRate24Mbps,30.3871,3,20,800,30,10
4,ErpOfdmRate36Mbps,45.5736,3,20,800,30,10
5,ErpOfdmRate48Mbps,60.7614,3,20,800,30,10
6,ErpOfdmRate54Mbps,68.3617,3,20,800,30,10
7,ErpOfdmRate54Mbps,75.9495,3,20,800,30,10
8,ErpOfdmRate54Mbps,90.7988,3,20,800,30,10
9,ErpOfdmRate54Mbps,100.443,3,20,800,30,10
10,ErpOfdmRate54Mbps,112.376,3,20,800,30,10
11,ErpOfdmRate54Mbps,123.916,3,20,800,30,10
0,ErpOfdmRate6Mbps,15.0383,3,40,800,30,10
1,ErpOfdmRate12Mbps,30.2803,3,40,800,30,10
2,ErpOfdmRate18Mbps,45.4142,3,40,800,30,10
3,ErpOfdmRate24Mbps,60.7614,3,40,800,30,10
4,ErpOfdmRate36Mbps,90.7988,3,40,800,30,10
5,ErpOfdmRate48Mbps,119.269,3,40,800,30,10
6,ErpOfdmRate54Mbps,133.354,3,40,800,30,10
7,ErpOfdmRate54Mbps,147.394,3,40,800,30,10
8,ErpOfdmRate54Mbps,174.598,3,40,800,30,10
9,ErpOfdmRate54Mbps,191.822,3,40,800,30,10
10,ErpOfdmRate54Mbps,214.117,3,40,800,30,10
11,ErpOfdmRate54Mbps,234.171,3,40,800,30,10
,,,,80,800,,10
,,,,80,800,,10
,,,,80,800,,10
,,,,80,800,,10
,,,,80,800,,10
,,,,80,800,,10
,,,,80,800,,10
,,,,80,800,,10
,,,,80,800,,10
,,,,80,800,,10
,,,,80,800,,10
,,,,80,800,,10
,,,,160,800,,10
,,,,160,800,,10
,,,,160,800,,10
,,,,160,800,,10
,,,,160,800,,10
,,,,160,800,,10
,,,,160,800,,10
,,,,160,800,,10
,,,,160,800,,10
,,,,160,800,,10
,,,,160,800,,10
,,,,160,800,,10
0,ErpOfdmRate6Mbps,6.37545,3,20,3200,30,10
1,ErpOfdmRate12Mbps,12.8349,3,20,3200,30,10
2,ErpOfdmRate18Mbps,19.2693,3,20,3200,30,10
3,ErpOfdmRate24Mbps,25.8106,3,20,3200,30,10
4,ErpOfdmRate36Mbps,38.6651,3,20,3200,30,10
5,ErpOfdmRate48Mbps,51.5913,3,20,3200,30,10
6,ErpOfdmRate54Mbps,57.9912,3,20,3200,30,10
7,ErpOfdmRate54Mbps,64.5567,3,20,3200,30,10
8,ErpOfdmRate54Mbps,77.4439,3,20,3200,30,10
9,ErpOfdmRate54Mbps,85.9489,3,20,3200,30,10
10,ErpOfdmRate54Mbps,96.2337,3,20,3200,30,10
11,ErpOfdmRate54Mbps,106.197,3,20,3200,30,10
0,ErpOfdmRate6Mbps,12.739,3,40,3200,30,10
1,ErpOfdmRate12Mbps,25.7192,3,40,3200,30,10
2,ErpOfdmRate18Mbps,38.5252,3,40,3200,30,10
3,ErpOfdmRate24Mbps,51.5913,3,40,3200,30,10
4,ErpOfdmRate36Mbps,77.4439,3,40,3200,30,10
5,ErpOfdmRate48Mbps,102.185,3,40,3200,30,10
6,ErpOfdmRate54Mbps,114.364,3,40,3200,30,10
7,ErpOfdmRate54Mbps,126.518,3,40,3200,30,10
8,ErpOfdmRate54Mbps,150.15,3,40,3200,30,10
9,ErpOfdmRate54Mbps,165.15,3,40,3200,30,10
10,ErpOfdmRate54Mbps,184.621,3,40,3200,30,10
11,ErpOfdmRate54Mbps,202.184,3,40,3200,30,10
,,,,80,3200,,10
,,,,80,3200,,10
,,,,80,3200,,10
,,,,80,3200,,10
,,,,80,3200,,10
,,,,80,3200,,10
,,,,80,3200,,10
,,,,80,3200,,10
,,,,80,3200,,10
,,,,80,3200,,10
,,,,80,3200,,10
,,,,80,3200,,10
,,,,160,3200,,10
,,,,160,3200,,10
,,,,160,3200,,10
,,,,160,3200,,10
,,,,160,3200,,10
,,,,160,3200,,10
,,,,160,3200,,10
,,,,160,3200,,10
,,,,160,3200,,10
,,,,160,3200,,10
,,,,160,3200,,10
,,,,160,3200,,10
