MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),GI(ns),SimulationTime(s),Seed
0,ErpOfdmRate6Mbps,7.28818,3,20,800,30,9
1,ErpOfdmRate12Mbps,14.9272,3,20,800,30,9
2,ErpOfdmRate18Mbps,22.3128,3,20,800,30,9
3,ErpOfdmRate24Mbps,30.1145,3,20,800,30,9
4,ErpOfdmRate36Mbps,45.1635,3,20,800,30,9
5,ErpOfdmRate48Mbps,60.2132,3,20,800,30,9
6,ErpOfdmRate54Mbps,67.7551,3,20,800,30,9
7,ErpOfdmRate54Mbps,75.2617,3,20,800,30,9
8,ErpOfdmRate54Mbps,89.9453,3,20,800,30,9
9,ErpOfdmRate54Mbps,99.4217,3,20,800,30,9
10,ErpOfdmRate54Mbps,111.137,3,20,800,30,9
11,ErpOfdmRate54Mbps,122.437,3,20,800,30,9
12,ErpOfdmRate54Mbps,131.67,3,20,800,30,9
13,ErpOfdmRate54Mbps,145.383,3,20,800,30,9
0,ErpOfdmRate6Mbps,14.6491,3,40,800,30,9
1,ErpOfdmRate12Mbps,29.84,3,40,800,30,9
2,ErpOfdmRate18Mbps,44.7529,3,40,800,30,9
3,ErpOfdmRate24Mbps,60.2132,3,40,800,30,9
4,ErpOfdmRate36Mbps,89.9453,3,40,800,30,9
5,ErpOfdmRate48Mbps,117.887,3,40,800,30,9
6,ErpOfdmRate54Mbps,131.67,3,40,800,30,9
7,ErpOfdmRate54Mbps,145.383,3,40,800,30,9
8,ErpOfdmRate54Mbps,171.865,3,40,800,30,9
9,ErpOfdmRate54Mbps,188.58,3,40,800,30,9
10,ErpOfdmRate54Mbps,210.148,3,40,800,30,9
11,ErpOfdmRate54Mbps,229.49,3,40,800,30,9
12,ErpOfdmRate54Mbps,245.636,3,40,800,30,9
13,ErpOfdmRate54Mbps,270.358,3,40,800,30,9
,,,,80,800,,9
,,,,80,800,,9
,,,,80,800,,9
,,,,80,800,,9
,,,,80,800,,9
,,,,80,800,,9
,,,,80,800,,9
,,,,80,800,,9
,,,,80,800,,9
,,,,80,800,,9
,,,,80,800,,9
,,,,80,800,,9
,,,,80,800,,9
,,,,80,800,,9
,,,,160,800,,9
,,,,160,800,,9
,,,,160,800,,9
,,,,160,800,,9
,,,,160,800,,9
,,,,160,800,,9
,,,,160,800,,9
,,,,160,800,,9
,,,,160,800,,9
,,,,160,800,,9
,,,,160,800,,9
,,,,160,800,,9
,,,,160,800,,9
,,,,160,800,,9
0,ErpOfdmRate6Mbps,6.20334,3,20,3200,30,9
1,ErpOfdmRate12Mbps,12.6411,3,20,3200,30,9
2,ErpOfdmRate18Mbps,18.9897,3,20,3200,30,9
3,ErpOfdmRate24Mbps,25.5779,3,20,3200,30,9
4,ErpOfdmRate36Mbps,38.3147,3,20,3200,30,9
5,ErpOfdmRate48Mbps,51.1251,3,20,3200,30,9
6,ErpOfdmRate54Mbps,57.4636,3,20,3200,30,9
7,ErpOfdmRate54Mbps,63.9759,3,20,3200,30,9
8,ErpOfdmRate54Mbps,76.751,3,20,3200,30,9
9,ErpOfdmRate54Mbps,85.167,3,20,3200,30,9
10,ErpOfdmRate54Mbps,95.2874,3,20,3200,30,9
11,ErpOfdmRate54Mbps,105.078,3,20,3200,30,9
12,ErpOfdmRate54Mbps,113.079,3,20,3200,30,9
13,ErpOfdmRate54Mbps,124.988,3,20,3200,30,9
0,ErpOfdmRate6Mbps,12.3919,3,40,3200,30,9
1,ErpOfdmRate12Mbps,25.3391,3,40,3200,30,9
2,ErpOfdmRate18Mbps,37.9644,3,40,3200,30,9
3,ErpOfdmRate24Mbps,51.1251,3,40,3200,30,9
4,ErpOfdmRate36Mbps,76.751,3,40,3200,30,9
5,ErpOfdmRate48Mbps,101.136,3,40,3200,30,9
6,ErpOfdmRate54Mbps,113.079,3,40,3200,30,9
7,ErpOfdmRate54Mbps,124.988,3,40,3200,30,9
8,ErpOfdmRate54Mbps,148.069,3,40,3200,30,9
9,ErpOfdmRate54Mbps,162.679,3,40,3200,30,9
10,ErpOfdmRate54Mbps,181.598,3,40,3200,30,9
11,ErpOfdmRate54Mbps,198.612,3,40,3200,30,9
12,ErpOfdmRate54Mbps,212.859,3,40,3200,30,9
13,ErpOfdmRate54Mbps,234.752,3,40,3200,30,9
,,,,80,3200,,9
,,,,80,3200,,9
,,,,80,3200,,9
,,,,80,3200,,9
,,,,80,3200,,9
,,,,80,3200,,9
,,,,80,3200,,9
,,,,80,3200,,9
,,,,80,3200,,9
,,,,80,3200,,9
,,,,80,3200,,9
,,,,80,3200,,9
,,,,80,3200,,9
,,,,80,3200,,9
,,,,160,3200,,9
,,,,160,3200,,9
,,,,160,3200,,9
,,,,160,3200,,9
,,,,160,3200,,9
,,,,160,3200,,9
,,,,160,3200,,9
,,,,160,3200,,9
,,,,160,3200,,9
,,,,160,3200,,9
,,,,160,3200,,9
,,,,160,3200,,9
,,,,160,3200,,9
,,,,160,3200,,9
