MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),GI(ns),SimulationTime(s),Seed
0,OfdmRate6Mbps,7.40556,3,20,800,30,3
1,OfdmRate12Mbps,15.1672,3,20,800,30,3
2,OfdmRate18Mbps,22.6702,3,20,800,30,3
3,OfdmRate24Mbps,30.5971,3,20,800,30,3
4,OfdmRate36Mbps,45.8868,3,20,800,30,3
5,OfdmRate48Mbps,61.1762,3,20,800,30,3
6,OfdmRate54Mbps,68.8344,3,20,800,30,3
7,OfdmRate54Mbps,76.4665,3,20,800,30,3
8,OfdmRate54Mbps,91.3782,3,20,800,30,3
9,OfdmRate54Mbps,101.008,3,20,800,30,3
10,OfdmRate54Mbps,112.908,3,20,800,30,3
11,OfdmRate54Mbps,124.393,3,20,800,30,3
12,OfdmRate54Mbps,133.776,3,20,800,30,3
13,OfdmRate54Mbps,147.705,3,20,800,30,3
0,OfdmRate6Mbps,14.8832,3,40,800,30,3
1,OfdmRate12Mbps,30.3167,3,40,800,30,3
2,OfdmRate18Mbps,45.4679,3,40,800,30,3
3,OfdmRate24Mbps,61.1762,3,40,800,30,3
4,OfdmRate36Mbps,91.3782,3,40,800,30,3
5,OfdmRate48Mbps,119.771,3,40,800,30,3
6,OfdmRate54Mbps,133.776,3,40,800,30,3
7,OfdmRate54Mbps,147.705,3,40,800,30,3
8,OfdmRate54Mbps,174.609,3,40,800,30,3
9,OfdmRate54Mbps,191.59,3,40,800,30,3
10,OfdmRate54Mbps,213.502,3,40,800,30,3
11,OfdmRate54Mbps,233.153,3,40,800,30,3
12,OfdmRate54Mbps,249.558,3,40,800,30,3
13,OfdmRate54Mbps,274.686,3,40,800,30,3
0,OfdmRate6Mbps,31.0842,3,80,800,30,3
1,OfdmRate12Mbps,63.3002,3,80,800,30,3
2,OfdmRate18Mbps,94.5891,3,80,800,30,3
3,OfdmRate24Mbps,125.27,3,80,800,30,3
4,OfdmRate36Mbps,181.769,3,80,800,30,3
5,OfdmRate48Mbps,234.699,3,80,800,30,3
6,OfdmRate54Mbps,260.564,3,80,800,30,3
7,OfdmRate54Mbps,285.746,3,80,800,30,3
8,OfdmRate54Mbps,331.101,3,80,800,30,3
9,OfdmRate54Mbps,361.473,3,80,800,30,3
10,OfdmRate54Mbps,397.978,3,80,800,30,3
11,OfdmRate54Mbps,431.906,3,80,800,30,3
12,OfdmRate54Mbps,459.903,3,80,800,30,3
13,OfdmRate54Mbps,498.709,3,80,800,30,3
0,OfdmRate6Mbps,62.1265,3,160,800,30,3
1,OfdmRate12Mbps,123.472,3,160,800,30,3
2,OfdmRate18Mbps,178.275,3,160,800,30,3
3,OfdmRate24Mbps,234.699,3,160,800,30,3
4,OfdmRate36Mbps,331.101,3,160,800,30,3
5,OfdmRate48Mbps,416.687,3,160,800,30,3
6,OfdmRate54Mbps,459.903,3,160,800,30,3
7,OfdmRate54Mbps,498.709,3,160,800,30,3
8,OfdmRate54Mbps,561.925,3,160,800,30,3
9,OfdmRate54Mbps,610.274,3,160,800,30,3
10,OfdmRate54Mbps,655.39,3,160,800,30,3
11,OfdmRate54Mbps,707.698,3,160,800,30,3
12,OfdmRate54Mbps,737.124,3,160,800,30,3
13,OfdmRate54Mbps,786.147,3,160,800,30,3
0,OfdmRate6Mbps,6.30353,3,20,3200,30,3
1,OfdmRate12Mbps,12.8437,3,20,3200,30,3
2,OfdmRate18Mbps,19.2937,3,20,3200,30,3
3,OfdmRate24Mbps,25.9868,3,20,3200,30,3
4,OfdmRate36Mbps,38.9282,3,20,3200,30,3
5,OfdmRate48Mbps,51.9441,3,20,3200,30,3
6,OfdmRate54Mbps,58.3839,3,20,3200,30,3
7,OfdmRate54Mbps,64.9963,3,20,3200,30,3
8,OfdmRate54Mbps,77.9743,3,20,3200,30,3
9,OfdmRate54Mbps,86.5267,3,20,3200,30,3
10,OfdmRate54Mbps,96.8009,3,20,3200,30,3
11,OfdmRate54Mbps,106.749,3,20,3200,30,3
12,OfdmRate54Mbps,114.887,3,20,3200,30,3
13,OfdmRate54Mbps,126.986,3,20,3200,30,3
0,OfdmRate6Mbps,12.5912,3,40,3200,30,3
1,OfdmRate12Mbps,25.7452,3,40,3200,30,3
2,OfdmRate18Mbps,38.5716,3,40,3200,30,3
3,OfdmRate24Mbps,51.9441,3,40,3200,30,3
4,OfdmRate36Mbps,77.9743,3,40,3200,30,3
5,OfdmRate48Mbps,102.746,3,40,3200,30,3
6,OfdmRate54Mbps,114.887,3,40,3200,30,3
7,OfdmRate54Mbps,126.986,3,40,3200,30,3
8,OfdmRate54Mbps,150.432,3,40,3200,30,3
9,OfdmRate54Mbps,165.278,3,40,3200,30,3
10,OfdmRate54Mbps,184.495,3,40,3200,30,3
11,OfdmRate54Mbps,201.787,3,40,3200,30,3
12,OfdmRate54Mbps,216.263,3,40,3200,30,3
13,OfdmRate54Mbps,238.5,3,40,3200,30,3
0,OfdmRate6Mbps,26.3958,3,80,3200,30,3
1,OfdmRate12Mbps,53.7504,3,80,3200,30,3
2,OfdmRate18Mbps,80.7246,3,80,3200,30,3
