Mean_Goodput(Mbps),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,SimulationTime(s)
167.201,1,2.4,40,8,20
712.452,5,2.4,40,8,20
566.386,10,2.4,40,8,20
1189.32,15,2.4,40,8,20
1609.32,20,2.4,40,8,20
1875.57,25,2.4,40,8,20
1852.59,30,2.4,40,8,20
2299.88,35,2.4,40,8,20
2703.48,40,2.4,40,8,20
2319.4,45,2.4,40,8,20
3307.73,50,2.4,40,8,20
4208.31,55,2.4,40,8,20
3481.17,60,2.4,40,8,20
3933.47,65,2.4,40,8,20
3673.48,70,2.4,40,8,20
3670.96,75,2.4,40,8,20
4381.59,80,2.4,40,8,20
5641.95,85,2.4,40,8,20
4569.84,90,2.4,40,8,20
5205.08,95,2.4,40,8,20
4453.74,100,2.4,40,8,20
5080.24,105,2.4,40,8,20
5162.74,110,2.4,40,8,20
6761.08,115,2.4,40,8,20
4955.32,120,2.4,40,8,20
7145.49,125,2.4,40,8,20
5586.92,130,2.4,40,8,20
7359.8,135,2.4,40,8,20
9136.73,140,2.4,40,8,20
9021.7,145,2.4,40,8,20
9623,150,2.4,40,8,20
