Mean_Goodput(Mbps),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,SimulationTime(s)
293.741,1,5,160,9,20
844.935,5,5,160,9,20
702.551,10,5,160,9,20
1239.28,15,5,160,9,20
1582.36,20,5,160,9,20
1915.37,25,5,160,9,20
1544.11,30,5,160,9,20
1924.68,35,5,160,9,20
2245.09,40,5,160,9,20
2375.79,45,5,160,9,20
2790.36,50,5,160,9,20
4135.77,55,5,160,9,20
3153.64,60,5,160,9,20
3400.84,65,5,160,9,20
3665.84,70,5,160,9,20
2707.05,75,5,160,9,20
3715.01,80,5,160,9,20
4204,85,5,160,9,20
3999.94,90,5,160,9,20
4820.03,95,5,160,9,20
3693.87,100,5,160,9,20
5479.14,105,5,160,9,20
5444.87,110,5,160,9,20
4175.3,115,5,160,9,20
5478.79,120,5,160,9,20
5951.86,125,5,160,9,20
6727.35,130,5,160,9,20
