MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),GI(ns),SimulationTime(s),Seed
0,ErpOfdmRate6Mbps,7.4889,3,20,800,30,9
1,ErpOfdmRate12Mbps,15.1391,3,20,800,30,9
2,ErpOfdmRate18Mbps,22.6366,3,20,800,30,9
3,ErpOfdmRate24Mbps,30.3746,3,20,800,30,9
4,ErpOfdmRate36Mbps,45.5541,3,20,800,30,9
5,ErpOfdmRate48Mbps,60.7342,3,20,800,30,9
6,ErpOfdmRate54Mbps,68.3328,3,20,800,30,9
7,ErpOfdmRate54Mbps,75.9155,3,20,800,30,9
8,ErpOfdmRate54Mbps,90.7622,3,20,800,30,9
9,ErpOfdmRate54Mbps,100.404,3,20,800,30,9
10,ErpOfdmRate54Mbps,112.324,3,20,800,30,9
11,ErpOfdmRate54Mbps,123.856,3,20,800,30,9
0,ErpOfdmRate6Mbps,15.0323,3,40,800,30,9
1,ErpOfdmRate12Mbps,30.2646,3,40,800,30,9
2,ErpOfdmRate18Mbps,45.3945,3,40,800,30,9
3,ErpOfdmRate24Mbps,60.7342,3,40,800,30,9
4,ErpOfdmRate36Mbps,90.7622,3,40,800,30,9
5,ErpOfdmRate48Mbps,119.214,3,40,800,30,9
6,ErpOfdmRate54Mbps,133.297,3,40,800,30,9
7,ErpOfdmRate54Mbps,147.33,3,40,800,30,9
8,ErpOfdmRate54Mbps,174.523,3,40,800,30,9
9,ErpOfdmRate54Mbps,191.74,3,40,800,30,9
10,ErpOfdmRate54Mbps,214.025,3,40,800,30,9
11,ErpOfdmRate54Mbps,234.068,3,40,800,30,9
,,,,80,800,,9
,,,,80,800,,9
,,,,80,800,,9
,,,,80,800,,9
,,,,80,800,,9
,,,,80,800,,9
,,,,80,800,,9
,,,,80,800,,9
,,,,80,800,,9
,,,,80,800,,9
,,,,80,800,,9
,,,,80,800,,9
,,,,160,800,,9
,,,,160,800,,9
,,,,160,800,,9
,,,,160,800,,9
,,,,160,800,,9
,,,,160,800,,9
,,,,160,800,,9
,,,,160,800,,9
,,,,160,800,,9
,,,,160,800,,9
,,,,160,800,,9
,,,,160,800,,9
0,ErpOfdmRate6Mbps,6.37263,3,20,3200,30,9
1,ErpOfdmRate12Mbps,12.8293,3,20,3200,30,9
2,ErpOfdmRate18Mbps,19.2613,3,20,3200,30,9
3,ErpOfdmRate24Mbps,25.8006,3,20,3200,30,9
4,ErpOfdmRate36Mbps,38.6485,3,20,3200,30,9
5,ErpOfdmRate48Mbps,51.568,3,20,3200,30,9
6,ErpOfdmRate54Mbps,57.9662,3,20,3200,30,9
7,ErpOfdmRate54Mbps,64.5287,3,20,3200,30,9
8,ErpOfdmRate54Mbps,77.4098,3,20,3200,30,9
9,ErpOfdmRate54Mbps,85.9084,3,20,3200,30,9
10,ErpOfdmRate54Mbps,96.1927,3,20,3200,30,9
11,ErpOfdmRate54Mbps,106.154,3,20,3200,30,9
0,ErpOfdmRate6Mbps,12.7335,3,40,3200,30,9
1,ErpOfdmRate12Mbps,25.7074,3,40,3200,30,9
2,ErpOfdmRate18Mbps,38.5091,3,40,3200,30,9
3,ErpOfdmRate24Mbps,51.568,3,40,3200,30,9
4,ErpOfdmRate36Mbps,77.4098,3,40,3200,30,9
5,ErpOfdmRate48Mbps,102.141,3,40,3200,30,9
6,ErpOfdmRate54Mbps,114.311,3,40,3200,30,9
7,ErpOfdmRate54Mbps,126.467,3,40,3200,30,9
8,ErpOfdmRate54Mbps,150.082,3,40,3200,30,9
9,ErpOfdmRate54Mbps,165.077,3,40,3200,30,9
10,ErpOfdmRate54Mbps,184.538,3,40,3200,30,9
11,ErpOfdmRate54Mbps,202.096,3,40,3200,30,9
,,,,80,3200,,9
,,,,80,3200,,9
,,,,80,3200,,9
,,,,80,3200,,9
,,,,80,3200,,9
,,,,80,3200,,9
,,,,80,3200,,9
,,,,80,3200,,9
,,,,80,3200,,9
,,,,80,3200,,9
,,,,80,3200,,9
,,,,80,3200,,9
,,,,160,3200,,9
,,,,160,3200,,9
,,,,160,3200,,9
,,,,160,3200,,9
,,,,160,3200,,9
,,,,160,3200,,9
,,,,160,3200,,9
,,,,160,3200,,9
,,,,160,3200,,9
,,,,160,3200,,9
,,,,160,3200,,9
,,,,160,3200,,9
