MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),GI(ns),SimulationTime(s),Seed
0,OfdmRate6Mbps,7.59191,3,20,800,30,2
1,OfdmRate12Mbps,15.3459,3,20,800,30,2
2,OfdmRate18Mbps,22.9453,3,20,800,30,2
3,OfdmRate24Mbps,30.7883,3,20,800,30,2
4,OfdmRate36Mbps,46.1743,3,20,800,30,2
5,OfdmRate48Mbps,61.5653,3,20,800,30,2
6,OfdmRate54Mbps,69.2671,3,20,800,30,2
7,OfdmRate54Mbps,76.9518,3,20,800,30,2
8,OfdmRate54Mbps,91.9979,3,20,800,30,2
9,OfdmRate54Mbps,101.766,3,20,800,30,2
10,OfdmRate54Mbps,113.855,3,20,800,30,2
11,OfdmRate54Mbps,125.545,3,20,800,30,2
0,OfdmRate6Mbps,15.2379,3,40,800,30,2
1,OfdmRate12Mbps,30.6791,3,40,800,30,2
2,OfdmRate18Mbps,46.0113,3,40,800,30,2
3,OfdmRate24Mbps,61.5653,3,40,800,30,2
4,OfdmRate36Mbps,91.9979,3,40,800,30,2
5,OfdmRate48Mbps,120.839,3,40,800,30,2
6,OfdmRate54Mbps,135.112,3,40,800,30,2
7,OfdmRate54Mbps,149.337,3,40,800,30,2
8,OfdmRate54Mbps,176.897,3,40,800,30,2
9,OfdmRate54Mbps,194.354,3,40,800,30,2
10,OfdmRate54Mbps,216.939,3,40,800,30,2
11,OfdmRate54Mbps,237.262,3,40,800,30,2
0,OfdmRate6Mbps,31.8612,3,80,800,30,2
1,OfdmRate12Mbps,64.1028,3,80,800,30,2
2,OfdmRate18Mbps,95.8589,3,80,800,30,2
3,OfdmRate24Mbps,126.44,3,80,800,30,2
4,OfdmRate36Mbps,184.258,3,80,800,30,2
5,OfdmRate48Mbps,238.86,3,80,800,30,2
6,OfdmRate54Mbps,265.702,3,80,800,30,2
7,OfdmRate54Mbps,291.949,3,80,800,30,2
8,OfdmRate54Mbps,339.454,3,80,800,30,2
9,OfdmRate54Mbps,371.457,3,80,800,30,2
10,OfdmRate54Mbps,410.121,3,80,800,30,2
11,OfdmRate54Mbps,446.251,3,80,800,30,2
0,OfdmRate6Mbps,63.6502,3,160,800,30,2
1,OfdmRate12Mbps,125.777,3,160,800,30,2
2,OfdmRate18Mbps,182.853,3,160,800,30,2
3,OfdmRate24Mbps,238.86,3,160,800,30,2
4,OfdmRate36Mbps,339.454,3,160,800,30,2
5,OfdmRate48Mbps,430.011,3,160,800,30,2
6,OfdmRate54Mbps,476.205,3,160,800,30,2
7,OfdmRate54Mbps,517.939,3,160,800,30,2
8,OfdmRate54Mbps,586.469,3,160,800,30,2
9,OfdmRate54Mbps,639.335,3,160,800,30,2
10,OfdmRate54Mbps,689.025,3,160,800,30,2
11,OfdmRate54Mbps,747.071,3,160,800,30,2
0,OfdmRate6Mbps,6.46078,3,20,3200,30,2
1,OfdmRate12Mbps,13.0046,3,20,3200,30,2
2,OfdmRate18Mbps,19.5241,3,20,3200,30,2
3,OfdmRate24Mbps,26.1531,3,20,3200,30,2
4,OfdmRate36Mbps,39.1751,3,20,3200,30,2
5,OfdmRate48Mbps,52.2707,3,20,3200,30,2
6,OfdmRate54Mbps,58.7542,3,20,3200,30,2
7,OfdmRate54Mbps,65.4045,3,20,3200,30,2
8,OfdmRate54Mbps,78.4639,3,20,3200,30,2
9,OfdmRate54Mbps,87.0856,3,20,3200,30,2
10,OfdmRate54Mbps,97.5054,3,20,3200,30,2
11,OfdmRate54Mbps,107.598,3,20,3200,30,2
0,OfdmRate6Mbps,12.9082,3,40,3200,30,2
1,OfdmRate12Mbps,26.0585,3,40,3200,30,2
2,OfdmRate18Mbps,39.0351,3,40,3200,30,2
3,OfdmRate24Mbps,52.2707,3,40,3200,30,2
4,OfdmRate36Mbps,78.4639,3,40,3200,30,2
5,OfdmRate48Mbps,103.533,3,40,3200,30,2
6,OfdmRate54Mbps,115.866,3,40,3200,30,2
7,OfdmRate54Mbps,128.187,3,40,3200,30,2
8,OfdmRate54Mbps,152.124,3,40,3200,30,2
9,OfdmRate54Mbps,167.324,3,40,3200,30,2
10,OfdmRate54Mbps,187.056,3,40,3200,30,2
11,OfdmRate54Mbps,204.847,3,40,3200,30,2
0,OfdmRate6Mbps,27.0596,3,80,3200,30,2
1,OfdmRate12Mbps,54.4362,3,80,3200,30,2
2,OfdmRate18Mbps,81.6965,3,80,3200,30,2
3,OfdmRate24Mbps,108.367,3,80,3200,30,2
4,OfdmRate36Mbps,158.522,3,80,3200,30,2
5,OfdmRate48Mbps,206.253,3,80,3200,30,2
6,OfdmRate54Mbps,229.844,3,80,3200,30,2
7,OfdmRate54Mbps,252.993,3,80,3200,30,2
8,OfdmRate54Mbps,295.089,3,80,3200,30,2
9,OfdmRate54Mbps,323.602,3,80,3200,30,2
10,OfdmRate54Mbps,358.22,3,80,3200,30,2
11,OfdmRate54Mbps,390.727,3,80,3200,30,2
0,OfdmRate6Mbps,54.0529,3,160,3200,30,2
1,OfdmRate12Mbps,107.879,3,160,3200,30,2
2,OfdmRate18Mbps,157.489,3,160,3200,30,2
3,OfdmRate24Mbps,206.253,3,160,3200,30,2
4,OfdmRate36Mbps,295.089,3,160,3200,30,2
5,OfdmRate48Mbps,376.098,3,160,3200,30,2
6,OfdmRate54Mbps,417.797,3,160,3200,30,2
7,OfdmRate54Mbps,455.695,3,160,3200,30,2
8,OfdmRate54Mbps,518.379,3,160,3200,30,2
9,OfdmRate54Mbps,567.154,3,160,3200,30,2
10,OfdmRate54Mbps,613.309,3,160,3200,30,2
11,OfdmRate54Mbps,667.646,3,160,3200,30,2
