MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),GI(ns),SimulationTime(s),Seed
0,OfdmRate6Mbps,7.40345,3,20,800,30,9
1,OfdmRate12Mbps,15.1621,3,20,800,30,9
2,OfdmRate18Mbps,22.6631,3,20,800,30,9
3,OfdmRate24Mbps,30.588,3,20,800,30,9
4,OfdmRate36Mbps,45.8741,3,20,800,30,9
5,OfdmRate48Mbps,61.161,3,20,800,30,9
6,OfdmRate54Mbps,68.8138,3,20,800,30,9
7,OfdmRate54Mbps,76.4469,3,20,800,30,9
8,OfdmRate54Mbps,91.3532,3,20,800,30,9
9,OfdmRate54Mbps,100.981,3,20,800,30,9
10,OfdmRate54Mbps,112.874,3,20,800,30,9
11,OfdmRate54Mbps,124.362,3,20,800,30,9
12,OfdmRate54Mbps,133.736,3,20,800,30,9
13,OfdmRate54Mbps,147.662,3,20,800,30,9
0,OfdmRate6Mbps,14.8787,3,40,800,30,9
1,OfdmRate12Mbps,30.3082,3,40,800,30,9
2,OfdmRate18Mbps,45.454,3,40,800,30,9
3,OfdmRate24Mbps,61.161,3,40,800,30,9
4,OfdmRate36Mbps,91.3532,3,40,800,30,9
5,OfdmRate48Mbps,119.736,3,40,800,30,9
6,OfdmRate54Mbps,133.736,3,40,800,30,9
7,OfdmRate54Mbps,147.662,3,40,800,30,9
8,OfdmRate54Mbps,174.563,3,40,800,30,9
9,OfdmRate54Mbps,191.536,3,40,800,30,9
10,OfdmRate54Mbps,213.443,3,40,800,30,9
11,OfdmRate54Mbps,233.085,3,40,800,30,9
12,OfdmRate54Mbps,249.486,3,40,800,30,9
13,OfdmRate54Mbps,274.608,3,40,800,30,9
0,OfdmRate6Mbps,31.0764,3,80,800,30,9
1,OfdmRate12Mbps,63.2799,3,80,800,30,9
2,OfdmRate18Mbps,94.5603,3,80,800,30,9
3,OfdmRate24Mbps,125.233,3,80,800,30,9
4,OfdmRate36Mbps,181.719,3,80,800,30,9
5,OfdmRate48Mbps,234.632,3,80,800,30,9
6,OfdmRate54Mbps,260.488,3,80,800,30,9
