MCS,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),GI(ns),SimulationTime(s),Seed
0,7.40556,3,20,800,30,8
1,15.1672,3,20,800,30,8
2,22.6702,3,20,800,30,8
3,30.5971,3,20,800,30,8
4,45.8868,3,20,800,30,8
5,61.1762,3,20,800,30,8
6,68.8344,3,20,800,30,8
7,76.4665,3,20,800,30,8
8,91.3782,3,20,800,30,8
9,101.008,3,20,800,30,8
10,112.908,3,20,800,30,8
11,124.393,3,20,800,30,8
12,133.776,3,20,800,30,8
13,147.705,3,20,800,30,8
0,14.8832,3,40,800,30,8
1,30.3167,3,40,800,30,8
2,45.4679,3,40,800,30,8
3,61.1762,3,40,800,30,8
4,91.3782,3,40,800,30,8
5,119.771,3,40,800,30,8
6,133.776,3,40,800,30,8
7,147.705,3,40,800,30,8
8,174.609,3,40,800,30,8
9,191.59,3,40,800,30,8
10,213.502,3,40,800,30,8
11,233.153,3,40,800,30,8
12,249.558,3,40,800,30,8
13,274.686,3,40,800,30,8
0,31.0842,3,80,800,30,8
1,63.3002,3,80,800,30,8
2,94.5891,3,80,800,30,8
3,125.27,3,80,800,30,8
4,181.769,3,80,800,30,8
5,234.699,3,80,800,30,8
6,260.564,3,80,800,30,8
7,285.746,3,80,800,30,8
8,331.101,3,80,800,30,8
9,361.473,3,80,800,30,8
10,397.978,3,80,800,30,8
11,431.906,3,80,800,30,8
12,459.903,3,80,800,30,8
13,498.709,3,80,800,30,8
0,62.1265,3,160,800,30,8
1,123.472,3,160,800,30,8
2,178.275,3,160,800,30,8
3,234.699,3,160,800,30,8
4,331.101,3,160,800,30,8
5,416.687,3,160,800,30,8
6,459.903,3,160,800,30,8
7,498.709,3,160,800,30,8
8,561.925,3,160,800,30,8
9,610.274,3,160,800,30,8
10,655.39,3,160,800,30,8
11,707.698,3,160,800,30,8
12,737.124,3,160,800,30,8
13,0.0183009,3,160,800,30,8
0,6.30353,3,20,3200,30,8
1,12.8437,3,20,3200,30,8
2,19.2937,3,20,3200,30,8
3,25.9868,3,20,3200,30,8
4,38.9282,3,20,3200,30,8
5,51.9441,3,20,3200,30,8
6,58.3839,3,20,3200,30,8
7,64.9963,3,20,3200,30,8
8,77.9743,3,20,3200,30,8
9,86.5267,3,20,3200,30,8
10,96.8009,3,20,3200,30,8
11,106.749,3,20,3200,30,8
12,114.887,3,20,3200,30,8
13,126.986,3,20,3200,30,8
0,12.5912,3,40,3200,30,8
1,25.7452,3,40,3200,30,8
2,38.5716,3,40,3200,30,8
3,51.9441,3,40,3200,30,8
4,77.9743,3,40,3200,30,8
5,102.746,3,40,3200,30,8
6,114.887,3,40,3200,30,8
7,126.986,3,40,3200,30,8
8,150.432,3,40,3200,30,8
9,165.278,3,40,3200,30,8
10,184.495,3,40,3200,30,8
11,201.787,3,40,3200,30,8
12,216.263,3,40,3200,30,8
13,238.5,3,40,3200,30,8
0,26.3958,3,80,3200,30,8
1,53.7504,3,80,3200,30,8
2,80.7246,3,80,3200,30,8
3,107.508,3,80,3200,30,8
4,156.686,3,80,3200,30,8
5,203.146,3,80,3200,30,8
6,225.989,3,80,3200,30,8
7,248.322,3,80,3200,30,8
8,288.758,3,80,3200,30,8
9,316.002,3,80,3200,30,8
10,348.928,3,80,3200,30,8
11,379.686,3,80,3200,30,8
12,405.201,3,80,3200,30,8
13,440.742,3,80,3200,30,8
0,52.7463,3,160,3200,30,8
1,106.185,3,160,3200,30,8
2,154.083,3,160,3200,30,8
3,203.146,3,160,3200,30,8
4,288.758,3,160,3200,30,8
5,365.859,3,160,3200,30,8
6,405.201,3,160,3200,30,8
7,440.742,3,160,3200,30,8
8,499.128,3,160,3200,30,8
9,544.167,3,160,3200,30,8
10,586.53,3,160,3200,30,8
11,636.036,3,160,3200,30,8
12,664.041,3,160,3200,30,8
13,711.041,3,160,3200,30,8
