Mean_Goodput(Mbps),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,SimulationTime(s)
273.988,1,6,160,9,20
800.375,5,6,160,9,20
654.768,10,6,160,9,20
1178.57,15,6,160,9,20
1508.63,20,6,160,9,20
1785.61,25,6,160,9,20
1457.62,30,6,160,9,20
1787.74,35,6,160,9,20
1866.7,40,6,160,9,20
2264.71,45,6,160,9,20
2430.19,50,6,160,9,20
3547.51,55,6,160,9,20
2588.44,60,6,160,9,20
4009.58,65,6,160,9,20
3180.25,70,6,160,9,20
2647.15,75,6,160,9,20
3633.19,80,6,160,9,20
3854.5,85,6,160,9,20
3106.02,90,6,160,9,20
3986.62,95,6,160,9,20
3825.6,100,6,160,9,20
5973.22,105,6,160,9,20
3913.14,110,6,160,9,20
4911.72,115,6,160,9,20
4735.7,120,6,160,9,20
5844.71,125,6,160,9,20
