Mean_Goodput(Mbps),NumSTAs,FrequencyBand(Hz),ChannelWidth(GHz),Seed,SimulationTime(s)
87.575,1,2.4,40,46,20
124.775,2,2.4,40,46,20
145.501,3,2.4,40,46,20
195.199,4,2.4,40,46,20
153.108,5,2.4,40,46,20
118.522,6,2.4,40,46,20
276.434,7,2.4,40,46,20
308.828,8,2.4,40,46,20
345.822,9,2.4,40,46,20
220.324,10,2.4,40,46,20
343.317,11,2.4,40,46,20
305.674,12,2.4,40,46,20
406.646,13,2.4,40,46,20
401.618,14,2.4,40,46,20
320.352,15,2.4,40,46,20
358.296,16,2.4,40,46,20
298.201,17,2.4,40,46,20
457.706,18,2.4,40,46,20
607.06,19,2.4,40,46,20
354.335,20,2.4,40,46,20
538.271,21,2.4,40,46,20
388.942,22,2.4,40,46,20
314.532,23,2.4,40,46,20
478.111,24,2.4,40,46,20
603.123,25,2.4,40,46,20
603.504,26,2.4,40,46,20
445.218,27,2.4,40,46,20
524.669,28,2.4,40,46,20
492.946,29,2.4,40,46,20
425.696,30,2.4,40,46,20
698.263,31,2.4,40,46,20
663.375,32,2.4,40,46,20
781.292,33,2.4,40,46,20
731.675,34,2.4,40,46,20
676.676,35,2.4,40,46,20
629.849,36,2.4,40,46,20
635.152,37,2.4,40,46,20
659.133,38,2.4,40,46,20
575.822,39,2.4,40,46,20
754.229,40,2.4,40,46,20
851.064,41,2.4,40,46,20
749.579,42,2.4,40,46,20
849.624,43,2.4,40,46,20
762.816,44,2.4,40,46,20
909.538,45,2.4,40,46,20
910.572,46,2.4,40,46,20
590.542,47,2.4,40,46,20
943.837,48,2.4,40,46,20
711.836,49,2.4,40,46,20
601.306,50,2.4,40,46,20
860.281,51,2.4,40,46,20
891.811,52,2.4,40,46,20
721.356,53,2.4,40,46,20
776.722,54,2.4,40,46,20
968.767,55,2.4,40,46,20
917.298,56,2.4,40,46,20
932.827,57,2.4,40,46,20
967.105,58,2.4,40,46,20
1003.68,59,2.4,40,46,20
1149.37,60,2.4,40,46,20
44.7386,1,5,160,46,20
41.6607,2,5,160,46,20
36.7032,3,5,160,46,20
42.965,4,5,160,46,20
50.7813,5,5,160,46,20
62.7786,6,5,160,46,20
41.1293,7,5,160,46,20
97.1928,8,5,160,46,20
110.897,9,5,160,46,20
139.01,10,5,160,46,20
105.796,11,5,160,46,20
113.719,12,5,160,46,20
158.373,13,5,160,46,20
190.481,14,5,160,46,20
103,15,5,160,46,20
140.793,16,5,160,46,20
122.734,17,5,160,46,20
148.64,18,5,160,46,20
207.568,19,5,160,46,20
141.101,20,5,160,46,20
190.063,21,5,160,46,20
165.999,22,5,160,46,20
140.819,23,5,160,46,20
164.737,24,5,160,46,20
236.32,25,5,160,46,20
162.782,26,5,160,46,20
178.002,27,5,160,46,20
230.069,28,5,160,46,20
205.086,29,5,160,46,20
186.795,30,5,160,46,20
287.624,31,5,160,46,20
290.242,32,5,160,46,20
277.754,33,5,160,46,20
261.789,34,5,160,46,20
358.874,35,5,160,46,20
255.58,36,5,160,46,20
340.282,37,5,160,46,20
309.533,38,5,160,46,20
285.669,39,5,160,46,20
294.708,40,5,160,46,20
329.218,41,5,160,46,20
358.246,42,5,160,46,20
369.268,43,5,160,46,20
