QueueDropPackets,PacketsInQueue,PacketsDropPhyRx,PacketsDropPhyRxInterferences,Time(s),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,TotalSimulationTime(s)
0,0,0,0,0,150,2.4,40,2,60
0,0,131564,28738,1,150,2.4,40,2,60
214930,2,321906,85922,2,150,2.4,40,2,60
484347,35,519130,150009,3,150,2.4,40,2,60
754621,2,636527,186085,4,150,2.4,40,2,60
1246039,58,803353,240511,5,150,2.4,40,2,60
1766863,48,961794,292033,6,150,2.4,40,2,60
2286639,56,1108440,345031,7,150,2.4,40,2,60
2805793,37,1208855,381461,8,150,2.4,40,2,60
3324595,59,1327746,424312,9,150,2.4,40,2,60
3843249,56,1466378,475262,10,150,2.4,40,2,60
4361501,6,1586023,520243,11,150,2.4,40,2,60
4879452,32,1665417,550313,12,150,2.4,40,2,60
5397399,56,1770504,591778,13,150,2.4,40,2,60
5915641,35,1867386,630705,14,150,2.4,40,2,60
6433175,56,1931099,657588,15,150,2.4,40,2,60
6950817,56,2004512,688430,16,150,2.4,40,2,60
7468626,35,2076631,720741,17,150,2.4,40,2,60
7986323,40,2147425,752709,18,150,2.4,40,2,60
8503952,53,2204892,781104,19,150,2.4,40,2,60
9021129,30,2232542,795194,20,150,2.4,40,2,60
9538941,32,2261113,811609,21,150,2.4,40,2,60
10055910,35,2277898,817602,22,150,2.4,40,2,60
10572067,35,2277898,817602,23,150,2.4,40,2,60
11088199,56,2277898,817602,24,150,2.4,40,2,60
11604341,35,2277898,817602,25,150,2.4,40,2,60
12119649,35,2277898,817602,26,150,2.4,40,2,60
12635064,45,2277898,817602,27,150,2.4,40,2,60
13150296,56,2277898,817602,28,150,2.4,40,2,60
13665371,6,2277898,817602,29,150,2.4,40,2,60
14180282,56,2277898,817602,30,150,2.4,40,2,60
14695183,53,2277898,817602,31,150,2.4,40,2,60
15210190,56,2277898,817602,32,150,2.4,40,2,60
15725036,51,2277898,817602,33,150,2.4,40,2,60
16239724,32,2277898,817602,34,150,2.4,40,2,60
16754062,56,2277898,817602,35,150,2.4,40,2,60
17267991,51,2277898,817602,36,150,2.4,40,2,60
17781907,56,2277898,817602,37,150,2.4,40,2,60
18295731,36,2277898,817602,38,150,2.4,40,2,60
18809361,56,2277898,817602,39,150,2.4,40,2,60
19323026,56,2277898,817602,40,150,2.4,40,2,60
19836841,50,2277898,817602,41,150,2.4,40,2,60
20350424,50,2277898,817602,42,150,2.4,40,2,60
20863985,3,2277898,817602,43,150,2.4,40,2,60
21377602,56,2277898,817602,44,150,2.4,40,2,60
21891112,45,2277898,817602,45,150,2.4,40,2,60
22403926,42,2277898,817602,46,150,2.4,40,2,60
22916795,2,2277898,817602,47,150,2.4,40,2,60
23429564,56,2277898,817602,48,150,2.4,40,2,60
23942391,56,2277898,817602,49,150,2.4,40,2,60
24455075,56,2277898,817602,50,150,2.4,40,2,60
24967942,56,2277898,817602,51,150,2.4,40,2,60
25480733,56,2277898,817602,52,150,2.4,40,2,60
25993516,56,2277898,817602,53,150,2.4,40,2,60
26506126,54,2277898,817602,54,150,2.4,40,2,60
27018744,56,2277898,817602,55,150,2.4,40,2,60
27531365,34,2277898,817602,56,150,2.4,40,2,60
28043804,56,2277898,817602,57,150,2.4,40,2,60
28556352,56,2277898,817602,58,150,2.4,40,2,60
29068725,56,2277898,817602,59,150,2.4,40,2,60
29581291,56,2277898,817602,60,150,2.4,40,2,60
