QueueDropPackets,PacketsInQueue,PacketsDropPhyRx,PacketsDropPhyRxInterferences,Time(s),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,TotalSimulationTime(s)
0,0,0,0,0,150,6,160,8,60
0,0,83301,27202,1,150,6,160,8,60
808031,33,591176,471923,2,150,6,160,8,60
1686603,34,978631,816755,3,150,6,160,8,60
2564990,33,1107418,923798,4,150,6,160,8,60
3443379,46,1245105,1045321,5,150,6,160,8,60
4321643,30,1351019,1147807,6,150,6,160,8,60
5199704,48,1460042,1256830,7,150,6,160,8,60
6077966,31,1560262,1357050,8,150,6,160,8,60
6956131,45,1654825,1451613,9,150,6,160,8,60
7834138,34,1762686,1559474,10,150,6,160,8,60
8711913,38,1876152,1672940,11,150,6,160,8,60
9589318,46,2012526,1809314,12,150,6,160,8,60
10466463,43,2164050,1960838,13,150,6,160,8,60
11343605,56,2318836,2115624,14,150,6,160,8,60
12220302,56,2494275,2291063,15,150,6,160,8,60
13096953,33,2674777,2471565,16,150,6,160,8,60
13974002,56,2833239,2630027,17,150,6,160,8,60
14850536,36,3011221,2808009,18,150,6,160,8,60
15725567,56,3265627,3062415,19,150,6,160,8,60
16598522,46,3636675,3433463,20,150,6,160,8,60
17471088,56,4026183,3822971,21,150,6,160,8,60
18343034,46,4452760,4249548,22,150,6,160,8,60
19214368,56,4911400,4708188,23,150,6,160,8,60
20084680,46,5438468,5235256,24,150,6,160,8,60
20954569,4,5994621,5791409,25,150,6,160,8,60
21823654,44,6589838,6386626,26,150,6,160,8,60
22691741,56,7246279,7043067,27,150,6,160,8,60
23559829,2,7908465,7705253,28,150,6,160,8,60
24427596,12,8583711,8380499,29,150,6,160,8,60
25295199,47,9264925,9061713,30,150,6,160,8,60
26162790,55,9953216,9750004,31,150,6,160,8,60
27029966,56,10666088,10462876,32,150,6,160,8,60
27896610,2,11408320,11205108,33,150,6,160,8,60
28763173,4,12157029,11953817,34,150,6,160,8,60
29629332,56,12925069,12721857,35,150,6,160,8,60
30495301,56,13707508,13504296,36,150,6,160,8,60
31360884,56,14511511,14308299,37,150,6,160,8,60
32226465,56,15317533,15114321,38,150,6,160,8,60
33091990,56,16133554,15930342,39,150,6,160,8,60
33957260,56,16953692,16750480,40,150,6,160,8,60
34822953,56,17757599,17554387,41,150,6,160,8,60
35688523,56,18566946,18363734,42,150,6,160,8,60
36553867,56,19387059,19183847,43,150,6,160,8,60
37419419,56,20193723,19990511,44,150,6,160,8,60
38284944,56,21004121,20800909,45,150,6,160,8,60
39150611,56,21809318,21606106,46,150,6,160,8,60
40015721,56,22643494,22440282,47,150,6,160,8,60
40881322,47,23446977,23243765,48,150,6,160,8,60
41746638,53,24268557,24065345,49,150,6,160,8,60
42612040,56,25087212,24884000,50,150,6,160,8,60
43477762,47,25891657,25688445,51,150,6,160,8,60
44343239,47,26699852,26496640,52,150,6,160,8,60
45208852,45,27506476,27303264,53,150,6,160,8,60
46074260,56,28322399,28119187,54,150,6,160,8,60
46939754,54,29130750,28927538,55,150,6,160,8,60
47805124,56,29946160,29742948,56,150,6,160,8,60
48670484,47,30766163,30562951,57,150,6,160,8,60
49535904,56,31580027,31376815,58,150,6,160,8,60
50401494,56,32385432,32182220,59,150,6,160,8,60
51266820,56,33200087,32996875,60,150,6,160,8,60
