QueueDropPackets,PacketsInQueue,PacketsDropPhyRx,PacketsDropPhyRxInterferences,Time(s),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,TotalSimulationTime(s)
0,0,0,0,0,150,2.4,40,2,60
0,0,131561,13175,1,150,2.4,40,2,60
343929,49,317949,39478,2,150,2.4,40,2,60
718322,36,504715,73002,3,150,2.4,40,2,60
1090674,34,622667,97048,4,150,2.4,40,2,60
1461806,56,801767,134445,5,150,2.4,40,2,60
1832623,56,957598,165831,6,150,2.4,40,2,60
2202963,56,1084923,192632,7,150,2.4,40,2,60
2573316,56,1174373,216173,8,150,2.4,40,2,60
2943783,29,1280973,244106,9,150,2.4,40,2,60
3313913,56,1401448,275215,10,150,2.4,40,2,60
3683815,54,1520366,307822,11,150,2.4,40,2,60
4053249,47,1593247,330501,12,150,2.4,40,2,60
4422584,2,1699038,361847,13,150,2.4,40,2,60
4792186,56,1792734,390653,14,150,2.4,40,2,60
5161515,61,1859955,414180,15,150,2.4,40,2,60
5530743,56,1912828,435192,16,150,2.4,40,2,60
5900794,56,1970095,458374,17,150,2.4,40,2,60
6271241,28,2026387,481232,18,150,2.4,40,2,60
6641790,56,2067774,501298,19,150,2.4,40,2,60
7010755,56,2077182,510450,20,150,2.4,40,2,60
7379743,29,2086206,519474,21,150,2.4,40,2,60
7747887,40,2095465,528733,22,150,2.4,40,2,60
8115203,2,2105111,538379,23,150,2.4,40,2,60
8482358,56,2114714,547982,24,150,2.4,40,2,60
8849496,29,2124420,557688,25,150,2.4,40,2,60
9216077,56,2133764,567032,26,150,2.4,40,2,60
9582615,14,2142428,575696,27,150,2.4,40,2,60
9948762,56,2151516,584784,28,150,2.4,40,2,60
10314247,56,2161998,595266,29,150,2.4,40,2,60
10679107,56,2173669,606937,30,150,2.4,40,2,60
11044009,56,2185271,618539,31,150,2.4,40,2,60
11409039,56,2196697,629965,32,150,2.4,40,2,60
11773838,56,2208357,641625,33,150,2.4,40,2,60
12138574,56,2220094,653362,34,150,2.4,40,2,60
12503324,56,2231866,665134,35,150,2.4,40,2,60
12868021,56,2243666,676934,36,150,2.4,40,2,60
13232771,56,2255467,688735,37,150,2.4,40,2,60
13597233,47,2267529,700797,38,150,2.4,40,2,60
13961771,56,2279435,712703,39,150,2.4,40,2,60
14326217,16,2291586,724854,40,150,2.4,40,2,60
14690587,56,2303597,736865,41,150,2.4,40,2,60
15055130,56,2315507,748775,42,150,2.4,40,2,60
15419419,56,2327697,760965,43,150,2.4,40,2,60
15783750,56,2339795,773063,44,150,2.4,40,2,60
16148098,2,2352044,785312,45,150,2.4,40,2,60
16512378,56,2364225,797493,46,150,2.4,40,2,60
16876633,56,2376328,809596,47,150,2.4,40,2,60
17240922,56,2388548,821816,48,150,2.4,40,2,60
17605127,15,2400841,834109,49,150,2.4,40,2,60
17969208,56,2413170,846438,50,150,2.4,40,2,60
18333508,56,2425239,858507,51,150,2.4,40,2,60
18697748,2,2437372,870640,52,150,2.4,40,2,60
19061992,56,2449526,882794,53,150,2.4,40,2,60
19426108,19,2461915,895183,54,150,2.4,40,2,60
19790386,2,2473994,907262,55,150,2.4,40,2,60
20154684,12,2486059,919327,56,150,2.4,40,2,60
20518723,17,2498889,932157,57,150,2.4,40,2,60
20882760,56,2511674,944942,58,150,2.4,40,2,60
21246803,42,2524436,957704,59,150,2.4,40,2,60
21610218,56,2538825,972093,60,150,2.4,40,2,60
