QueueDropPackets,PacketsInQueue,PacketsDropPhyRx,PacketsDropPhyRxInterferences,Time(s),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,TotalSimulationTime(s)
0,0,0,0,0,150,5,160,3,60
0,0,99125,17404,1,150,5,160,3,60
1387534,35,477031,291755,2,150,5,160,3,60
3145007,52,747108,480538,3,150,5,160,3,60
4902306,37,935800,621005,4,150,5,160,3,60
6659626,48,1129257,772451,5,150,5,160,3,60
8416795,48,1324679,943809,6,150,5,160,3,60
10173772,33,1485051,1095829,7,150,5,160,3,60
11930093,32,1680065,1288163,8,150,5,160,3,60
13685978,46,1893159,1501032,9,150,5,160,3,60
15441789,33,2118523,1726396,10,150,5,160,3,60
17197291,43,2375683,1983556,11,150,5,160,3,60
18952650,51,2635731,2243604,12,150,5,160,3,60
20707578,38,2920907,2528780,13,150,5,160,3,60
22462320,31,3222944,2830817,14,150,5,160,3,60
24217058,39,3530098,3137971,15,150,5,160,3,60
25971587,31,3858054,3465927,16,150,5,160,3,60
27726192,35,4162952,3770825,17,150,5,160,3,60
29480421,33,4498462,4106335,18,150,5,160,3,60
31235276,34,4788512,4396385,19,150,5,160,3,60
32989858,34,5114633,4722506,20,150,5,160,3,60
34744559,56,5415968,5023841,21,150,5,160,3,60
36499056,34,5731369,5339242,22,150,5,160,3,60
38253538,32,6047304,5655177,23,150,5,160,3,60
40007729,56,6385580,5993453,24,150,5,160,3,60
41762058,40,6719306,6327179,25,150,5,160,3,60
43516699,32,7037919,6645792,26,150,5,160,3,60
45271314,34,7343291,6951164,27,150,5,160,3,60
47025955,2,7650507,7258380,28,150,5,160,3,60
48780331,46,7976313,7584186,29,150,5,160,3,60
50534955,54,8272185,7880058,30,150,5,160,3,60
52289423,53,8560547,8168420,31,150,5,160,3,60
54043816,46,8865193,8473066,32,150,5,160,3,60
55798425,32,9145789,8753662,33,150,5,160,3,60
57552979,53,9439520,9047393,34,150,5,160,3,60
59307398,44,9749200,9357073,35,150,5,160,3,60
61061891,47,10052549,9660422,36,150,5,160,3,60
62816644,56,10335025,9942898,37,150,5,160,3,60
64571063,36,10674561,10282434,38,150,5,160,3,60
66324680,32,11054887,10662760,39,150,5,160,3,60
68078660,32,11403626,11011499,40,150,5,160,3,60
69831115,56,11892398,11500271,41,150,5,160,3,60
71584018,41,12359977,11967850,42,150,5,160,3,60
73336505,56,12865393,12473266,43,150,5,160,3,60
75089434,39,13314000,12921873,44,150,5,160,3,60
76842075,36,13800049,13407922,45,150,5,160,3,60
78594293,34,14302283,13910156,46,150,5,160,3,60
80346783,36,14805097,14412970,47,150,5,160,3,60
82098988,56,15317166,14925039,48,150,5,160,3,60
83851421,56,15810492,15418365,49,150,5,160,3,60
85603636,36,16329769,15937642,50,150,5,160,3,60
87356459,2,16808441,16416314,51,150,5,160,3,60
89108506,56,17324225,16932098,52,150,5,160,3,60
90859620,56,17905557,17513430,53,150,5,160,3,60
92611083,56,18474197,18082070,54,150,5,160,3,60
94362355,39,19041635,18649508,55,150,5,160,3,60
96113442,56,19633412,19241285,56,150,5,160,3,60
97864528,31,20213043,19820916,57,150,5,160,3,60
99615631,56,20795098,20402971,58,150,5,160,3,60
101367068,43,21354275,20962148,59,150,5,160,3,60
103118354,35,21915642,21523515,60,150,5,160,3,60
