PacketsInQueue,Time(ms),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,TotalSimulationTime(s)
0,1,150,5,160,3,1.5
0,1.001,150,5,160,3,1.5
0,1.002,150,5,160,3,1.5
0,1.003,150,5,160,3,1.5
0,1.004,150,5,160,3,1.5
55,1.005,150,5,160,3,1.5
98,1.006,150,5,160,3,1.5
95,1.007,150,5,160,3,1.5
92,1.008,150,5,160,3,1.5
88,1.009,150,5,160,3,1.5
84,1.01,150,5,160,3,1.5
79,1.011,150,5,160,3,1.5
75,1.012,150,5,160,3,1.5
72,1.013,150,5,160,3,1.5
72,1.014,150,5,160,3,1.5
72,1.015,150,5,160,3,1.5
72,1.016,150,5,160,3,1.5
72,1.017,150,5,160,3,1.5
72,1.018,150,5,160,3,1.5
62,1.019,150,5,160,3,1.5
62,1.02,150,5,160,3,1.5
62,1.021,150,5,160,3,1.5
62,1.022,150,5,160,3,1.5
62,1.023,150,5,160,3,1.5
62,1.024,150,5,160,3,1.5
62,1.025,150,5,160,3,1.5
62,1.026,150,5,160,3,1.5
62,1.027,150,5,160,3,1.5
62,1.028,150,5,160,3,1.5
62,1.029,150,5,160,3,1.5
62,1.03,150,5,160,3,1.5
58,1.031,150,5,160,3,1.5
58,1.032,150,5,160,3,1.5
58,1.033,150,5,160,3,1.5
58,1.034,150,5,160,3,1.5
58,1.035,150,5,160,3,1.5
49,1.036,150,5,160,3,1.5
49,1.037,150,5,160,3,1.5
49,1.038,150,5,160,3,1.5
49,1.039,150,5,160,3,1.5
49,1.04,150,5,160,3,1.5
49,1.041,150,5,160,3,1.5
40,1.042,150,5,160,3,1.5
40,1.043,150,5,160,3,1.5
40,1.044,150,5,160,3,1.5
40,1.045,150,5,160,3,1.5
40,1.046,150,5,160,3,1.5
40,1.047,150,5,160,3,1.5
31,1.048,150,5,160,3,1.5
31,1.049,150,5,160,3,1.5
31,1.05,150,5,160,3,1.5
31,1.051,150,5,160,3,1.5
31,1.052,150,5,160,3,1.5
24,1.053,150,5,160,3,1.5
38,1.054,150,5,160,3,1.5
38,1.055,150,5,160,3,1.5
38,1.056,150,5,160,3,1.5
38,1.057,150,5,160,3,1.5
38,1.058,150,5,160,3,1.5
28,1.059,150,5,160,3,1.5
32,1.06,150,5,160,3,1.5
32,1.061,150,5,160,3,1.5
32,1.062,150,5,160,3,1.5
32,1.063,150,5,160,3,1.5
36,1.064,150,5,160,3,1.5
38,1.065,150,5,160,3,1.5
38,1.066,150,5,160,3,1.5
38,1.067,150,5,160,3,1.5
38,1.068,150,5,160,3,1.5
38,1.069,150,5,160,3,1.5
28,1.07,150,5,160,3,1.5
32,1.071,150,5,160,3,1.5
32,1.072,150,5,160,3,1.5
32,1.073,150,5,160,3,1.5
32,1.074,150,5,160,3,1.5
38,1.075,150,5,160,3,1.5
38,1.076,150,5,160,3,1.5
38,1.077,150,5,160,3,1.5
38,1.078,150,5,160,3,1.5
38,1.079,150,5,160,3,1.5
28,1.08,150,5,160,3,1.5
35,1.081,150,5,160,3,1.5
31,1.082,150,5,160,3,1.5
30,1.083,150,5,160,3,1.5
30,1.084,150,5,160,3,1.5
30,1.085,150,5,160,3,1.5
30,1.086,150,5,160,3,1.5
30,1.087,150,5,160,3,1.5
40,1.088,150,5,160,3,1.5
40,1.089,150,5,160,3,1.5
40,1.09,150,5,160,3,1.5
40,1.091,150,5,160,3,1.5
40,1.092,150,5,160,3,1.5
40,1.093,150,5,160,3,1.5
30,1.094,150,5,160,3,1.5
30,1.095,150,5,160,3,1.5
30,1.096,150,5,160,3,1.5
30,1.097,150,5,160,3,1.5
30,1.098,150,5,160,3,1.5
