MCS,Mean_Goodput(Mbps),Distance(m),SimulationTime(s),Seed
0,62.5915,0,20,10
0,62.5908,5,20,10
0,62.5889,10,20,10
0,62.5889,15,20,10
0,62.5889,20,20,10
0,62.5871,25,20,10
0,62.5871,30,20,10
0,62.5871,35,20,10
0,62.5871,40,20,10
0,62.5871,45,20,10
0,0,50,20,10
0,0,55,20,10
0,0,60,20,10
0,0,65,20,10
0,0,70,20,10
0,0,75,20,10
0,0,80,20,10
0,0,85,20,10
0,0,90,20,10
0,0,95,20,10
0,0,100,20,10
1,123.688,0,20,10
1,123.688,5,20,10
1,123.688,10,20,10
1,123.688,15,20,10
1,123.688,20,20,10
1,123.688,25,20,10
1,123.688,30,20,10
1,123.684,35,20,10
1,123.681,40,20,10
1,122.757,45,20,10
1,0,50,20,10
1,0,55,20,10
1,0,60,20,10
1,0,65,20,10
1,0,70,20,10
1,0,75,20,10
1,0,80,20,10
1,0,85,20,10
1,0,90,20,10
1,0,95,20,10
1,0,100,20,10
2,179.815,0,20,10
2,179.813,5,20,10
2,179.81,10,20,10
2,179.809,15,20,10
2,179.809,20,20,10
2,179.809,25,20,10
2,179.805,30,20,10
2,179.786,35,20,10
2,164.383,40,20,10
2,0.0161647,45,20,10
2,0,50,20,10
2,0,55,20,10
2,0,60,20,10
2,0,65,20,10
2,0,70,20,10
2,0,75,20,10
2,0,80,20,10
2,0,85,20,10
2,0,90,20,10
2,0,95,20,10
2,0,100,20,10
3,234.894,0,20,10
3,234.893,5,20,10
3,234.886,10,20,10
3,234.88,15,20,10
3,234.878,20,20,10
3,234.876,25,20,10
3,226.982,30,20,10
3,0.0161647,35,20,10
3,0.0161647,40,20,10
3,0.0161647,45,20,10
3,0,50,20,10
3,0,55,20,10
3,0,60,20,10
3,0,65,20,10
3,0,70,20,10
3,0,75,20,10
3,0,80,20,10
3,0,85,20,10
3,0,90,20,10
3,0,95,20,10
3,0,100,20,10
4,333.833,0,20,10
4,333.825,5,20,10
4,333.816,10,20,10
4,333.808,15,20,10
4,333.794,20,20,10
4,267.071,25,20,10
4,0.0161647,30,20,10
4,0.0161647,35,20,10
4,0.0161647,40,20,10
4,0.0161647,45,20,10
4,0,50,20,10
4,0,55,20,10
4,0,60,20,10
4,0,65,20,10
4,0,70,20,10
4,0,75,20,10
4,0,80,20,10
4,0,85,20,10
4,0,90,20,10
4,0,95,20,10
4,0,100,20,10
5,422.879,0,20,10
5,422.861,5,20,10
5,422.85,10,20,10
5,422.836,15,20,10
5,0.0161647,20,20,10
5,0.0161647,25,20,10
5,0.0161647,30,20,10
5,0.0161647,35,20,10
