MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),SimulationTime(s),Seed
0,ErpOfdmRate6Mbps,14.4029,0,20,5
0,ErpOfdmRate6Mbps,14.4029,5,20,5
0,ErpOfdmRate6Mbps,14.4029,10,20,5
0,ErpOfdmRate6Mbps,14.4029,15,20,5
0,ErpOfdmRate6Mbps,14.4029,20,20,5
0,ErpOfdmRate6Mbps,14.4029,25,20,5
0,ErpOfdmRate6Mbps,14.4029,30,20,5
0,ErpOfdmRate6Mbps,14.4029,35,20,5
0,ErpOfdmRate6Mbps,14.4029,40,20,5
0,ErpOfdmRate6Mbps,14.4029,45,20,5
0,ErpOfdmRate6Mbps,14.4029,50,20,5
0,ErpOfdmRate6Mbps,14.4029,55,20,5
0,ErpOfdmRate6Mbps,14.4029,60,20,5
0,ErpOfdmRate6Mbps,14.4029,65,20,5
0,ErpOfdmRate6Mbps,0.016949,70,20,5
0,ErpOfdmRate6Mbps,0.016949,75,20,5
0,ErpOfdmRate6Mbps,0.016949,80,20,5
0,ErpOfdmRate6Mbps,0,85,20,5
0,ErpOfdmRate6Mbps,0,90,20,5
0,ErpOfdmRate6Mbps,0,95,20,5
0,ErpOfdmRate6Mbps,0,100,20,5
1,ErpOfdmRate12Mbps,29.3388,0,20,5
1,ErpOfdmRate12Mbps,29.3388,5,20,5
1,ErpOfdmRate12Mbps,29.3388,10,20,5
1,ErpOfdmRate12Mbps,29.3388,15,20,5
1,ErpOfdmRate12Mbps,29.3388,20,20,5
1,ErpOfdmRate12Mbps,29.3388,25,20,5
1,ErpOfdmRate12Mbps,29.3388,30,20,5
1,ErpOfdmRate12Mbps,29.3388,35,20,5
1,ErpOfdmRate12Mbps,29.3388,40,20,5
1,ErpOfdmRate12Mbps,29.3388,45,20,5
1,ErpOfdmRate12Mbps,29.3388,50,20,5
1,ErpOfdmRate12Mbps,29.3388,55,20,5
1,ErpOfdmRate12Mbps,29.3388,60,20,5
1,ErpOfdmRate12Mbps,29.3388,65,20,5
1,ErpOfdmRate12Mbps,0.016949,70,20,5
1,ErpOfdmRate12Mbps,0.016949,75,20,5
1,ErpOfdmRate12Mbps,0.016949,80,20,5
1,ErpOfdmRate12Mbps,0,85,20,5
1,ErpOfdmRate12Mbps,0,90,20,5
1,ErpOfdmRate12Mbps,0,95,20,5
1,ErpOfdmRate12Mbps,0,100,20,5
2,ErpOfdmRate18Mbps,43.9982,0,20,5
2,ErpOfdmRate18Mbps,43.9982,5,20,5
2,ErpOfdmRate18Mbps,43.9982,10,20,5
2,ErpOfdmRate18Mbps,43.9982,15,20,5
2,ErpOfdmRate18Mbps,43.9982,20,20,5
2,ErpOfdmRate18Mbps,43.9982,25,20,5
2,ErpOfdmRate18Mbps,43.9982,30,20,5
2,ErpOfdmRate18Mbps,43.9982,35,20,5
2,ErpOfdmRate18Mbps,43.9982,40,20,5
2,ErpOfdmRate18Mbps,43.9982,45,20,5
2,ErpOfdmRate18Mbps,43.9982,50,20,5
2,ErpOfdmRate18Mbps,43.9982,55,20,5
2,ErpOfdmRate18Mbps,43.9982,60,20,5
2,ErpOfdmRate18Mbps,43.9982,65,20,5
2,ErpOfdmRate18Mbps,0.016949,70,20,5
2,ErpOfdmRate18Mbps,0.016949,75,20,5
2,ErpOfdmRate18Mbps,0.016949,80,20,5
2,ErpOfdmRate18Mbps,0,85,20,5
2,ErpOfdmRate18Mbps,0,90,20,5
2,ErpOfdmRate18Mbps,0,95,20,5
2,ErpOfdmRate18Mbps,0,100,20,5
3,ErpOfdmRate24Mbps,59.1987,0,20,5
3,ErpOfdmRate24Mbps,59.1987,5,20,5
3,ErpOfdmRate24Mbps,59.1987,10,20,5
3,ErpOfdmRate24Mbps,59.1987,15,20,5
3,ErpOfdmRate24Mbps,59.1987,20,20,5
3,ErpOfdmRate24Mbps,59.1987,25,20,5
3,ErpOfdmRate24Mbps,59.1987,30,20,5
3,ErpOfdmRate24Mbps,59.1987,35,20,5
3,ErpOfdmRate24Mbps,59.1987,40,20,5
3,ErpOfdmRate24Mbps,59.1987,45,20,5
3,ErpOfdmRate24Mbps,59.1987,50,20,5
3,ErpOfdmRate24Mbps,59.1987,55,20,5
3,ErpOfdmRate24Mbps,59.1987,60,20,5
3,ErpOfdmRate24Mbps,59.1987,65,20,5
3,ErpOfdmRate24Mbps,0.016949,70,20,5
3,ErpOfdmRate24Mbps,0.016949,75,20,5
3,ErpOfdmRate24Mbps,0.016949,80,20,5
3,ErpOfdmRate24Mbps,0,85,20,5
3,ErpOfdmRate24Mbps,0,90,20,5
3,ErpOfdmRate24Mbps,0,95,20,5
3,ErpOfdmRate24Mbps,0,100,20,5
4,ErpOfdmRate36Mbps,88.4255,0,20,5
4,ErpOfdmRate36Mbps,88.4255,5,20,5
4,ErpOfdmRate36Mbps,88.4255,10,20,5
4,ErpOfdmRate36Mbps,88.4255,15,20,5
4,ErpOfdmRate36Mbps,88.4255,20,20,5
4,ErpOfdmRate36Mbps,88.4255,25,20,5
4,ErpOfdmRate36Mbps,88.4255,30,20,5
4,ErpOfdmRate36Mbps,88.4255,35,20,5
4,ErpOfdmRate36Mbps,88.4255,40,20,5
4,ErpOfdmRate36Mbps,88.4255,45,20,5
