Mean_Goodput(Mbps),Distance(m),FrequencyBand(GHz),ChannelWidth(MHz),SimulationTime(s),Seed
179.266,0,2.4,40,30,8
179.265,5,2.4,40,30,8
179.263,10,2.4,40,30,8
159.675,15,2.4,40,30,8
91.7656,20,2.4,40,30,8
91.6319,25,2.4,40,30,8
91.349,30,2.4,40,30,8
91.3425,35,2.4,40,30,8
91.3418,40,2.4,40,30,8
89.9942,45,2.4,40,30,8
89.9927,50,2.4,40,30,8
89.9798,55,2.4,40,30,8
89.9791,60,2.4,40,30,8
89.8913,65,2.4,40,30,8
46.1983,70,2.4,40,30,8
45.9443,75,2.4,40,30,8
45.9443,80,2.4,40,30,8
44.3029,85,2.4,40,30,8
0,90,2.4,40,30,8
0,95,2.4,40,30,8
0,100,2.4,40,30,8
182.405,0,5,40,30,8
182.402,5,5,40,30,8
112.996,10,5,40,30,8
93.0961,15,5,40,30,8
92.7359,20,5,40,30,8
92.7291,25,5,40,30,8
91.2125,30,5,40,30,8
91.2104,35,5,40,30,8
90.8699,40,5,40,30,8
46.6363,45,5,40,30,8
44.9022,50,5,40,30,8
0,55,5,40,30,8
0,60,5,40,30,8
0,65,5,40,30,8
0,70,5,40,30,8
0,75,5,40,30,8
0,80,5,40,30,8
0,85,5,40,30,8
0,90,5,40,30,8
0,95,5,40,30,8
0,100,5,40,30,8
182.405,0,6,40,30,8
182.402,5,6,40,30,8
108.134,10,6,40,30,8
93.0957,15,6,40,30,8
92.7313,20,6,40,30,8
91.2282,25,6,40,30,8
91.2111,30,6,40,30,8
91.1489,35,6,40,30,8
46.6386,40,6,40,30,8
46.5857,45,6,40,30,8
0,50,6,40,30,8
0,55,6,40,30,8
0,60,6,40,30,8
0,65,6,40,30,8
0,70,6,40,30,8
0,75,6,40,30,8
0,80,6,40,30,8
0,85,6,40,30,8
0,90,6,40,30,8
0,95,6,40,30,8
0,100,6,40,30,8
