Mean_Goodput(Mbps),Distance(m),FrequencyBand(GHz),ChannelWidth(MHz),SimulationTime(s),Seed
176.159,0,2.4,40,30,8
176.159,5,2.4,40,30,8
176.159,10,2.4,40,30,8
157.273,15,2.4,40,30,8
90.8569,20,2.4,40,30,8
90.722,25,2.4,40,30,8
90.4857,30,2.4,40,30,8
90.4802,35,2.4,40,30,8
90.4802,40,2.4,40,30,8
89.2412,45,2.4,40,30,8
89.2288,50,2.4,40,30,8
89.2276,55,2.4,40,30,8
89.2273,60,2.4,40,30,8
89.2114,65,2.4,40,30,8
44.7367,70,2.4,40,30,8
44.7295,75,2.4,40,30,8
44.7293,80,2.4,40,30,8
0,85,2.4,40,30,8
0,90,2.4,40,30,8
0,95,2.4,40,30,8
0,100,2.4,40,30,8
475.506,0,5,160,30,8
471.191,5,5,160,30,8
312.777,10,5,160,30,8
302.275,15,5,160,30,8
284.019,20,5,160,30,8
283.76,25,5,160,30,8
169.553,30,5,160,30,8
90.6963,35,5,160,30,8
90.6507,40,5,160,30,8
45.5178,45,5,160,30,8
42.9372,50,5,160,30,8
0,55,5,160,30,8
0,60,5,160,30,8
0,65,5,160,30,8
0,70,5,160,30,8
0,75,5,160,30,8
0,80,5,160,30,8
0,85,5,160,30,8
0,90,5,160,30,8
0,95,5,160,30,8
0,100,5,160,30,8
475.506,0,6,160,30,8
434.87,5,6,160,30,8
303.353,10,6,160,30,8
285.764,15,6,160,30,8
283.918,20,6,160,30,8
169.587,25,6,160,30,8
90.6963,30,6,160,30,8
90.6808,35,6,160,30,8
45.5178,40,6,160,30,8
45.5142,45,6,160,30,8
0,50,6,160,30,8
0,55,6,160,30,8
0,60,6,160,30,8
0,65,6,160,30,8
0,70,6,160,30,8
0,75,6,160,30,8
0,80,6,160,30,8
0,85,6,160,30,8
0,90,6,160,30,8
0,95,6,160,30,8
0,100,6,160,30,8
