MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),SimulationTime(s),Seed
0,ErpOfdmRate6Mbps,14.7789,0,20,5
0,ErpOfdmRate6Mbps,14.7789,5,20,5
0,ErpOfdmRate6Mbps,14.7789,10,20,5
0,ErpOfdmRate6Mbps,14.7789,15,20,5
0,ErpOfdmRate6Mbps,14.7789,20,20,5
0,ErpOfdmRate6Mbps,14.7789,25,20,5
0,ErpOfdmRate6Mbps,14.7789,30,20,5
0,ErpOfdmRate6Mbps,14.7789,35,20,5
0,ErpOfdmRate6Mbps,14.7789,40,20,5
0,ErpOfdmRate6Mbps,14.7787,45,20,5
0,ErpOfdmRate6Mbps,14.7784,50,20,5
0,ErpOfdmRate6Mbps,14.7777,55,20,5
0,ErpOfdmRate6Mbps,14.7777,60,20,5
0,ErpOfdmRate6Mbps,14.7777,65,20,5
0,ErpOfdmRate6Mbps,14.7777,70,20,5
0,ErpOfdmRate6Mbps,14.7777,75,20,5
0,ErpOfdmRate6Mbps,14.7776,80,20,5
0,ErpOfdmRate6Mbps,14.7776,85,20,5
0,ErpOfdmRate6Mbps,0,90,20,5
0,ErpOfdmRate6Mbps,0,95,20,5
0,ErpOfdmRate6Mbps,0,100,20,5
1,ErpOfdmRate12Mbps,29.759,0,20,5
1,ErpOfdmRate12Mbps,29.759,5,20,5
1,ErpOfdmRate12Mbps,29.759,10,20,5
1,ErpOfdmRate12Mbps,29.7586,15,20,5
1,ErpOfdmRate12Mbps,29.7586,20,20,5
1,ErpOfdmRate12Mbps,29.7586,25,20,5
1,ErpOfdmRate12Mbps,29.758,30,20,5
1,ErpOfdmRate12Mbps,29.7574,35,20,5
1,ErpOfdmRate12Mbps,29.757,40,20,5
1,ErpOfdmRate12Mbps,29.7564,45,20,5
1,ErpOfdmRate12Mbps,29.7564,50,20,5
1,ErpOfdmRate12Mbps,29.7564,55,20,5
1,ErpOfdmRate12Mbps,29.756,60,20,5
1,ErpOfdmRate12Mbps,29.756,65,20,5
1,ErpOfdmRate12Mbps,29.7554,70,20,5
1,ErpOfdmRate12Mbps,29.7543,75,20,5
1,ErpOfdmRate12Mbps,29.7543,80,20,5
1,ErpOfdmRate12Mbps,29.7543,85,20,5
1,ErpOfdmRate12Mbps,0,90,20,5
1,ErpOfdmRate12Mbps,0,95,20,5
1,ErpOfdmRate12Mbps,0,100,20,5
2,ErpOfdmRate18Mbps,44.6322,0,20,5
2,ErpOfdmRate18Mbps,44.6322,5,20,5
2,ErpOfdmRate18Mbps,44.6322,10,20,5
2,ErpOfdmRate18Mbps,44.6322,15,20,5
2,ErpOfdmRate18Mbps,44.6316,20,20,5
2,ErpOfdmRate18Mbps,44.6316,25,20,5
2,ErpOfdmRate18Mbps,44.6316,30,20,5
2,ErpOfdmRate18Mbps,44.6298,35,20,5
2,ErpOfdmRate18Mbps,44.6298,40,20,5
2,ErpOfdmRate18Mbps,44.6293,45,20,5
2,ErpOfdmRate18Mbps,44.6282,50,20,5
2,ErpOfdmRate18Mbps,44.6282,55,20,5
2,ErpOfdmRate18Mbps,44.6282,60,20,5
2,ErpOfdmRate18Mbps,44.6277,65,20,5
2,ErpOfdmRate18Mbps,44.6277,70,20,5
2,ErpOfdmRate18Mbps,44.6268,75,20,5
2,ErpOfdmRate18Mbps,44.6257,80,20,5
2,ErpOfdmRate18Mbps,44.6257,85,20,5
2,ErpOfdmRate18Mbps,0,90,20,5
2,ErpOfdmRate18Mbps,0,95,20,5
2,ErpOfdmRate18Mbps,0,100,20,5
3,ErpOfdmRate24Mbps,59.713,0,20,5
3,ErpOfdmRate24Mbps,59.713,5,20,5
3,ErpOfdmRate24Mbps,59.713,10,20,5
3,ErpOfdmRate24Mbps,59.713,15,20,5
3,ErpOfdmRate24Mbps,59.7135,20,20,5
3,ErpOfdmRate24Mbps,59.7093,25,20,5
3,ErpOfdmRate24Mbps,59.7093,30,20,5
3,ErpOfdmRate24Mbps,59.7081,35,20,5
3,ErpOfdmRate24Mbps,59.7081,40,20,5
3,ErpOfdmRate24Mbps,59.7081,45,20,5
3,ErpOfdmRate24Mbps,59.7081,50,20,5
3,ErpOfdmRate24Mbps,59.7081,55,20,5
3,ErpOfdmRate24Mbps,59.7081,60,20,5
3,ErpOfdmRate24Mbps,59.7081,65,20,5
3,ErpOfdmRate24Mbps,59.7081,70,20,5
3,ErpOfdmRate24Mbps,59.7083,75,20,5
3,ErpOfdmRate24Mbps,59.7087,80,20,5
3,ErpOfdmRate24Mbps,59.6946,85,20,5
3,ErpOfdmRate24Mbps,0,90,20,5
3,ErpOfdmRate24Mbps,0,95,20,5
3,ErpOfdmRate24Mbps,0,100,20,5
4,ErpOfdmRate36Mbps,89.2316,0,20,5
4,ErpOfdmRate36Mbps,89.2316,5,20,5
4,ErpOfdmRate36Mbps,89.2316,10,20,5
4,ErpOfdmRate36Mbps,89.2316,15,20,5
4,ErpOfdmRate36Mbps,89.2316,20,20,5
