MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),SimulationTime(s),Seed
0,OfdmRate6Mbps,62.547,0,20,2
0,OfdmRate6Mbps,62.547,5,20,2
0,OfdmRate6Mbps,62.547,10,20,2
0,OfdmRate6Mbps,62.547,15,20,2
0,OfdmRate6Mbps,62.546,20,20,2
0,OfdmRate6Mbps,62.5453,25,20,2
0,OfdmRate6Mbps,62.5453,30,20,2
0,OfdmRate6Mbps,62.5453,35,20,2
0,OfdmRate6Mbps,62.5439,40,20,2
0,OfdmRate6Mbps,62.5436,45,20,2
0,OfdmRate6Mbps,62.5436,50,20,2
0,OfdmRate6Mbps,0,55,20,2
0,OfdmRate6Mbps,0,60,20,2
0,OfdmRate6Mbps,0,65,20,2
0,OfdmRate6Mbps,0,70,20,2
0,OfdmRate6Mbps,0,75,20,2
0,OfdmRate6Mbps,0,80,20,2
0,OfdmRate6Mbps,0,85,20,2
0,OfdmRate6Mbps,0,90,20,2
0,OfdmRate6Mbps,0,95,20,2
0,OfdmRate6Mbps,0,100,20,2
1,OfdmRate12Mbps,123.594,0,20,2
1,OfdmRate12Mbps,123.594,5,20,2
1,OfdmRate12Mbps,123.594,10,20,2
1,OfdmRate12Mbps,123.591,15,20,2
1,OfdmRate12Mbps,123.591,20,20,2
1,OfdmRate12Mbps,123.591,25,20,2
1,OfdmRate12Mbps,123.591,30,20,2
1,OfdmRate12Mbps,123.591,35,20,2
1,OfdmRate12Mbps,123.592,40,20,2
1,OfdmRate12Mbps,123.591,45,20,2
1,OfdmRate12Mbps,122.455,50,20,2
1,OfdmRate12Mbps,0,55,20,2
1,OfdmRate12Mbps,0,60,20,2
1,OfdmRate12Mbps,0,65,20,2
1,OfdmRate12Mbps,0,70,20,2
1,OfdmRate12Mbps,0,75,20,2
1,OfdmRate12Mbps,0,80,20,2
1,OfdmRate12Mbps,0,85,20,2
1,OfdmRate12Mbps,0,90,20,2
1,OfdmRate12Mbps,0,95,20,2
1,OfdmRate12Mbps,0,100,20,2
2,OfdmRate18Mbps,179.684,0,20,2
2,OfdmRate18Mbps,179.681,5,20,2
2,OfdmRate18Mbps,179.681,10,20,2
2,OfdmRate18Mbps,179.68,15,20,2
2,OfdmRate18Mbps,179.68,20,20,2
2,OfdmRate18Mbps,179.68,25,20,2
2,OfdmRate18Mbps,179.677,30,20,2
2,OfdmRate18Mbps,179.677,35,20,2
2,OfdmRate18Mbps,179.332,40,20,2
2,OfdmRate18Mbps,145.137,45,20,2
2,OfdmRate18Mbps,0.0161647,50,20,2
2,OfdmRate18Mbps,0,55,20,2
2,OfdmRate18Mbps,0,60,20,2
2,OfdmRate18Mbps,0,65,20,2
2,OfdmRate18Mbps,0,70,20,2
2,OfdmRate18Mbps,0,75,20,2
2,OfdmRate18Mbps,0,80,20,2
2,OfdmRate18Mbps,0,85,20,2
2,OfdmRate18Mbps,0,90,20,2
2,OfdmRate18Mbps,0,95,20,2
2,OfdmRate18Mbps,0,100,20,2
3,OfdmRate24Mbps,234.726,0,20,2
3,OfdmRate24Mbps,234.724,5,20,2
3,OfdmRate24Mbps,234.718,10,20,2
3,OfdmRate24Mbps,234.711,15,20,2
3,OfdmRate24Mbps,234.71,20,20,2
3,OfdmRate24Mbps,234.707,25,20,2
3,OfdmRate24Mbps,234.686,30,20,2
3,OfdmRate24Mbps,206.703,35,20,2
3,OfdmRate24Mbps,0.0161647,40,20,2
3,OfdmRate24Mbps,0.0161647,45,20,2
3,OfdmRate24Mbps,0.0161647,50,20,2
3,OfdmRate24Mbps,0,55,20,2
3,OfdmRate24Mbps,0,60,20,2
3,OfdmRate24Mbps,0,65,20,2
3,OfdmRate24Mbps,0,70,20,2
3,OfdmRate24Mbps,0,75,20,2
3,OfdmRate24Mbps,0,80,20,2
3,OfdmRate24Mbps,0,85,20,2
3,OfdmRate24Mbps,0,90,20,2
3,OfdmRate24Mbps,0,95,20,2
3,OfdmRate24Mbps,0,100,20,2
4,OfdmRate36Mbps,333.585,0,20,2
4,OfdmRate36Mbps,333.577,5,20,2
4,OfdmRate36Mbps,333.572,10,20,2
4,OfdmRate36Mbps,333.565,15,20,2
4,OfdmRate36Mbps,333.561,20,20,2
4,OfdmRate36Mbps,330.936,25,20,2
4,OfdmRate36Mbps,0.0161647,30,20,2
4,OfdmRate36Mbps,0.0161647,35,20,2
4,OfdmRate36Mbps,0.0161647,40,20,2
4,OfdmRate36Mbps,0.0161647,45,20,2
4,OfdmRate36Mbps,0.0161647,50,20,2
4,OfdmRate36Mbps,0,55,20,2
4,OfdmRate36Mbps,0,60,20,2
4,OfdmRate36Mbps,0,65,20,2
4,OfdmRate36Mbps,0,70,20,2
4,OfdmRate36Mbps,0,75,20,2
4,OfdmRate36Mbps,0,80,20,2
4,OfdmRate36Mbps,0,85,20,2
4,OfdmRate36Mbps,0,90,20,2
4,OfdmRate36Mbps,0,95,20,2
4,OfdmRate36Mbps,0,100,20,2
5,OfdmRate48Mbps,422.572,0,20,2
5,OfdmRate48Mbps,422.564,5,20,2
5,OfdmRate48Mbps,422.543,10,20,2
