MCS,Mean_Goodput(Mbps),Distance(m),SimulationTime(s),Seed
0,62.547,0,20,7
0,62.547,5,20,7
0,62.547,10,20,7
0,62.547,15,20,7
0,62.546,20,20,7
0,62.5453,25,20,7
0,62.5453,30,20,7
0,62.5453,35,20,7
0,62.5439,40,20,7
0,62.5436,45,20,7
0,0,50,20,7
0,0,55,20,7
0,0,60,20,7
0,0,65,20,7
0,0,70,20,7
0,0,75,20,7
0,0,80,20,7
0,0,85,20,7
0,0,90,20,7
0,0,95,20,7
0,0,100,20,7
1,123.594,0,20,7
1,123.594,5,20,7
1,123.594,10,20,7
1,123.591,15,20,7
1,123.591,20,20,7
1,123.591,25,20,7
1,123.591,30,20,7
1,123.591,35,20,7
1,123.592,40,20,7
1,122.586,45,20,7
1,0,50,20,7
1,0,55,20,7
1,0,60,20,7
1,0,65,20,7
1,0,70,20,7
1,0,75,20,7
1,0,80,20,7
1,0,85,20,7
1,0,90,20,7
1,0,95,20,7
1,0,100,20,7
2,179.684,0,20,7
2,179.681,5,20,7
2,179.681,10,20,7
2,179.68,15,20,7
2,179.68,20,20,7
2,179.68,25,20,7
2,179.677,30,20,7
2,179.656,35,20,7
2,163.992,40,20,7
2,0.0161647,45,20,7
2,0,50,20,7
2,0,55,20,7
2,0,60,20,7
2,0,65,20,7
2,0,70,20,7
2,0,75,20,7
2,0,80,20,7
2,0,85,20,7
2,0,90,20,7
2,0,95,20,7
2,0,100,20,7
3,234.726,0,20,7
3,234.724,5,20,7
3,234.718,10,20,7
3,234.711,15,20,7
3,234.71,20,20,7
3,234.707,25,20,7
3,226.708,30,20,7
3,0.0161647,35,20,7
3,0.0161647,40,20,7
3,0.0161647,45,20,7
3,0,50,20,7
3,0,55,20,7
3,0,60,20,7
3,0,65,20,7
3,0,70,20,7
3,0,75,20,7
3,0,80,20,7
3,0,85,20,7
3,0,90,20,7
3,0,95,20,7
3,0,100,20,7
4,333.585,0,20,7
4,333.577,5,20,7
4,333.572,10,20,7
4,333.565,15,20,7
4,333.561,20,20,7
4,271.559,25,20,7
4,0.0161647,30,20,7
4,0.0161647,35,20,7
4,0.0161647,40,20,7
4,0.0161647,45,20,7
4,0,50,20,7
4,0,55,20,7
4,0,60,20,7
4,0,65,20,7
4,0,70,20,7
4,0,75,20,7
4,0,80,20,7
4,0,85,20,7
4,0,90,20,7
4,0,95,20,7
4,0,100,20,7
5,422.572,0,20,7
5,422.564,5,20,7
5,422.543,10,20,7
5,422.53,15,20,7
5,0.0161647,20,20,7
5,0.0161647,25,20,7
5,0.0161647,30,20,7
5,0.0161647,35,20,7
5,0.0161647,40,20,7
5,0.0161647,45,20,7
5,0,50,20,7
5,0,55,20,7
5,0,60,20,7
5,0,65,20,7
5,0,70,20,7
5,0,75,20,7
5,0,80,20,7
5,0,85,20,7
5,0,90,20,7
5,0,95,20,7
5,0,100,20,7
6,467.981,0,20,7
6,467.966,5,20,7
6,467.948,10,20,7
6,457.181,15,20,7
6,0.0161647,20,20,7
6,0.0161647,25,20,7
6,0.0161647,30,20,7
6,0.0161647,35,20,7
6,0.0161647,40,20,7
6,0.0161647,45,20,7
6,0,50,20,7
6,0,55,20,7
6,0,60,20,7
6,0,65,20,7
6,0,70,20,7
6,0,75,20,7
6,0,80,20,7
6,0,85,20,7
6,0,90,20,7
6,0,95,20,7
6,0,100,20,7
7,508.995,0,20,7
7,508.982,5,20,7
7,508.955,10,20,7
7,415.548,15,20,7
7,0.0161647,20,20,7
7,0.0161647,25,20,7
7,0.0161647,30,20,7
7,0.0161647,35,20,7
7,0.0161647,40,20,7
7,0.0161647,45,20,7
7,0,50,20,7
7,0,55,20,7
7,0,60,20,7
7,0,65,20,7
7,0,70,20,7
7,0,75,20,7
7,0,80,20,7
7,0,85,20,7
7,0,90,20,7
7,0,95,20,7
7,0,100,20,7
8,576.34,0,20,7
8,576.309,5,20,7
8,563.497,10,20,7
8,0.0161647,15,20,7
8,0.0161647,20,20,7
8,0.0161647,25,20,7
8,0.0161647,30,20,7
8,0.0161647,35,20,7
8,0.0161647,40,20,7
8,0.0161647,45,20,7
8,0,50,20,7
8,0,55,20,7
8,0,60,20,7
8,0,65,20,7
8,0,70,20,7
8,0,75,20,7
8,0,80,20,7
8,0,85,20,7
8,0,90,20,7
8,0,95,20,7
8,0,100,20,7
9,628.296,0,20,7
9,628.256,5,20,7
9,354.487,10,20,7
9,0.0161647,15,20,7
9,0.0161647,20,20,7
9,0.0161647,25,20,7
9,0.0161647,30,20,7
9,0.0161647,35,20,7
9,0.0161647,40,20,7
9,0.0161647,45,20,7
9,0,50,20,7
9,0,55,20,7
9,0,60,20,7
9,0,65,20,7
9,0,70,20,7
9,0,75,20,7
9,0,80,20,7
9,0,85,20,7
9,0,90,20,7
9,0,95,20,7
9,0,100,20,7
10,677.11,0,20,7
10,663.996,5,20,7
10,0.0161647,10,20,7
10,0.0161647,15,20,7
10,0.0161647,20,20,7
10,0.0161647,25,20,7
10,0.0161647,30,20,7
10,0.0161647,35,20,7
10,0.0161647,40,20,7
10,0.0161647,45,20,7
10,0,50,20,7
10,0,55,20,7
10,0,60,20,7
10,0,65,20,7
10,0,70,20,7
10,0,75,20,7
10,0,80,20,7
10,0,85,20,7
10,0,90,20,7
10,0,95,20,7
10,0,100,20,7
11,734.13,0,20,7
11,0.0161647,5,20,7
11,0.0161647,10,20,7
11,0.0161647,15,20,7
11,0.0161647,20,20,7
11,0.0161647,25,20,7
11,0.0161647,30,20,7
11,0.0161647,35,20,7
11,0.0161647,40,20,7
11,0.0161647,45,20,7
11,0,50,20,7
11,0,55,20,7
11,0,60,20,7
11,0,65,20,7
11,0,70,20,7
11,0,75,20,7
11,0,80,20,7
11,0,85,20,7
11,0,90,20,7
11,0,95,20,7
11,0,100,20,7
