MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),SimulationTime(s),Seed
0,ErpOfdmRate6Mbps,14.4003,0,20,8
0,ErpOfdmRate6Mbps,14.4003,5,20,8
0,ErpOfdmRate6Mbps,14.4003,10,20,8
0,ErpOfdmRate6Mbps,14.4003,15,20,8
0,ErpOfdmRate6Mbps,14.4003,20,20,8
0,ErpOfdmRate6Mbps,14.4003,25,20,8
0,ErpOfdmRate6Mbps,14.4003,30,20,8
0,ErpOfdmRate6Mbps,14.4003,35,20,8
0,ErpOfdmRate6Mbps,14.4003,40,20,8
0,ErpOfdmRate6Mbps,14.4003,45,20,8
0,ErpOfdmRate6Mbps,14.4003,50,20,8
0,ErpOfdmRate6Mbps,14.4003,55,20,8
0,ErpOfdmRate6Mbps,14.4003,60,20,8
0,ErpOfdmRate6Mbps,14.4003,65,20,8
0,ErpOfdmRate6Mbps,0.016949,70,20,8
0,ErpOfdmRate6Mbps,0.016949,75,20,8
0,ErpOfdmRate6Mbps,0.016949,80,20,8
0,ErpOfdmRate6Mbps,0,85,20,8
0,ErpOfdmRate6Mbps,0,90,20,8
0,ErpOfdmRate6Mbps,0,95,20,8
0,ErpOfdmRate6Mbps,0,100,20,8
1,ErpOfdmRate12Mbps,29.3331,0,20,8
1,ErpOfdmRate12Mbps,29.3331,5,20,8
1,ErpOfdmRate12Mbps,29.3331,10,20,8
1,ErpOfdmRate12Mbps,29.3331,15,20,8
1,ErpOfdmRate12Mbps,29.3331,20,20,8
1,ErpOfdmRate12Mbps,29.3331,25,20,8
1,ErpOfdmRate12Mbps,29.3331,30,20,8
1,ErpOfdmRate12Mbps,29.3331,35,20,8
1,ErpOfdmRate12Mbps,29.3331,40,20,8
1,ErpOfdmRate12Mbps,29.3331,45,20,8
1,ErpOfdmRate12Mbps,29.3331,50,20,8
1,ErpOfdmRate12Mbps,29.3331,55,20,8
1,ErpOfdmRate12Mbps,29.3331,60,20,8
1,ErpOfdmRate12Mbps,29.3331,65,20,8
1,ErpOfdmRate12Mbps,0.016949,70,20,8
1,ErpOfdmRate12Mbps,0.016949,75,20,8
1,ErpOfdmRate12Mbps,0.016949,80,20,8
1,ErpOfdmRate12Mbps,0,85,20,8
1,ErpOfdmRate12Mbps,0,90,20,8
1,ErpOfdmRate12Mbps,0,95,20,8
1,ErpOfdmRate12Mbps,0,100,20,8
2,ErpOfdmRate18Mbps,43.9908,0,20,8
2,ErpOfdmRate18Mbps,43.9908,5,20,8
2,ErpOfdmRate18Mbps,43.9908,10,20,8
2,ErpOfdmRate18Mbps,43.9908,15,20,8
2,ErpOfdmRate18Mbps,43.9908,20,20,8
2,ErpOfdmRate18Mbps,43.9908,25,20,8
2,ErpOfdmRate18Mbps,43.9908,30,20,8
2,ErpOfdmRate18Mbps,43.9908,35,20,8
2,ErpOfdmRate18Mbps,43.9908,40,20,8
2,ErpOfdmRate18Mbps,43.9908,45,20,8
2,ErpOfdmRate18Mbps,43.9908,50,20,8
2,ErpOfdmRate18Mbps,43.9908,55,20,8
2,ErpOfdmRate18Mbps,43.9908,60,20,8
2,ErpOfdmRate18Mbps,43.9908,65,20,8
2,ErpOfdmRate18Mbps,0.016949,70,20,8
2,ErpOfdmRate18Mbps,0.016949,75,20,8
2,ErpOfdmRate18Mbps,0.016949,80,20,8
2,ErpOfdmRate18Mbps,0,85,20,8
2,ErpOfdmRate18Mbps,0,90,20,8
2,ErpOfdmRate18Mbps,0,95,20,8
2,ErpOfdmRate18Mbps,0,100,20,8
3,ErpOfdmRate24Mbps,59.1937,0,20,8
3,ErpOfdmRate24Mbps,59.1937,5,20,8
3,ErpOfdmRate24Mbps,59.1937,10,20,8
3,ErpOfdmRate24Mbps,59.1937,15,20,8
3,ErpOfdmRate24Mbps,59.1937,20,20,8
3,ErpOfdmRate24Mbps,59.1937,25,20,8
3,ErpOfdmRate24Mbps,59.1937,30,20,8
3,ErpOfdmRate24Mbps,59.1937,35,20,8
3,ErpOfdmRate24Mbps,59.1937,40,20,8
3,ErpOfdmRate24Mbps,59.1937,45,20,8
3,ErpOfdmRate24Mbps,59.1937,50,20,8
3,ErpOfdmRate24Mbps,59.1937,55,20,8
3,ErpOfdmRate24Mbps,59.1937,60,20,8
3,ErpOfdmRate24Mbps,59.1937,65,20,8
3,ErpOfdmRate24Mbps,0.016949,70,20,8
3,ErpOfdmRate24Mbps,0.016949,75,20,8
3,ErpOfdmRate24Mbps,0.016949,80,20,8
3,ErpOfdmRate24Mbps,0,85,20,8
3,ErpOfdmRate24Mbps,0,90,20,8
3,ErpOfdmRate24Mbps,0,95,20,8
3,ErpOfdmRate24Mbps,0,100,20,8
4,ErpOfdmRate36Mbps,88.418,0,20,8
4,ErpOfdmRate36Mbps,88.418,5,20,8
4,ErpOfdmRate36Mbps,88.418,10,20,8
4,ErpOfdmRate36Mbps,88.418,15,20,8
4,ErpOfdmRate36Mbps,88.418,20,20,8
4,ErpOfdmRate36Mbps,88.418,25,20,8
4,ErpOfdmRate36Mbps,88.418,30,20,8
4,ErpOfdmRate36Mbps,88.418,35,20,8
4,ErpOfdmRate36Mbps,88.418,40,20,8
4,ErpOfdmRate36Mbps,88.418,45,20,8
4,ErpOfdmRate36Mbps,88.418,50,20,8
4,ErpOfdmRate36Mbps,88.418,55,20,8
4,ErpOfdmRate36Mbps,88.3817,60,20,8
4,ErpOfdmRate36Mbps,88.176,65,20,8
4,ErpOfdmRate36Mbps,0.016949,70,20,8
4,ErpOfdmRate36Mbps,0.016949,75,20,8
4,ErpOfdmRate36Mbps,0.016949,80,20,8
4,ErpOfdmRate36Mbps,0,85,20,8
4,ErpOfdmRate36Mbps,0,90,20,8
4,ErpOfdmRate36Mbps,0,95,20,8
4,ErpOfdmRate36Mbps,0,100,20,8
5,ErpOfdmRate48Mbps,115.881,0,20,8
5,ErpOfdmRate48Mbps,115.881,5,20,8
5,ErpOfdmRate48Mbps,115.881,10,20,8
5,ErpOfdmRate48Mbps,115.881,15,20,8
5,ErpOfdmRate48Mbps,115.881,20,20,8
5,ErpOfdmRate48Mbps,115.881,25,20,8
5,ErpOfdmRate48Mbps,115.881,30,20,8
5,ErpOfdmRate48Mbps,115.881,35,20,8
5,ErpOfdmRate48Mbps,115.881,40,20,8
5,ErpOfdmRate48Mbps,115.658,45,20,8
5,ErpOfdmRate48Mbps,110.753,50,20,8
5,ErpOfdmRate48Mbps,44.8834,55,20,8
5,ErpOfdmRate48Mbps,0.016949,60,20,8
5,ErpOfdmRate48Mbps,0.016949,65,20,8
5,ErpOfdmRate48Mbps,0.016949,70,20,8
5,ErpOfdmRate48Mbps,0.016949,75,20,8
5,ErpOfdmRate48Mbps,0.016949,80,20,8
5,ErpOfdmRate48Mbps,0,85,20,8
5,ErpOfdmRate48Mbps,0,90,20,8
5,ErpOfdmRate48Mbps,0,95,20,8
5,ErpOfdmRate48Mbps,0,100,20,8
