MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),SimulationTime(s),Seed
0,OfdmRate6Mbps,61.0181,0,20,7
0,OfdmRate6Mbps,61.0181,5,20,7
0,OfdmRate6Mbps,61.0181,10,20,7
0,OfdmRate6Mbps,61.0181,15,20,7
0,OfdmRate6Mbps,61.0181,20,20,7
0,OfdmRate6Mbps,61.0181,25,20,7
0,OfdmRate6Mbps,0.0183815,30,20,7
0,OfdmRate6Mbps,0.0183815,35,20,7
0,OfdmRate6Mbps,0.0183815,40,20,7
0,OfdmRate6Mbps,0.0183815,45,20,7
0,OfdmRate6Mbps,0.0183815,50,20,7
0,OfdmRate6Mbps,0,55,20,7
0,OfdmRate6Mbps,0,60,20,7
0,OfdmRate6Mbps,0,65,20,7
0,OfdmRate6Mbps,0,70,20,7
0,OfdmRate6Mbps,0,75,20,7
0,OfdmRate6Mbps,0,80,20,7
0,OfdmRate6Mbps,0,85,20,7
0,OfdmRate6Mbps,0,90,20,7
0,OfdmRate6Mbps,0,95,20,7
0,OfdmRate6Mbps,0,100,20,7
1,OfdmRate12Mbps,121.282,0,20,7
1,OfdmRate12Mbps,121.282,5,20,7
1,OfdmRate12Mbps,121.282,10,20,7
1,OfdmRate12Mbps,121.282,15,20,7
1,OfdmRate12Mbps,121.282,20,20,7
1,OfdmRate12Mbps,121.282,25,20,7
1,OfdmRate12Mbps,0.0183815,30,20,7
1,OfdmRate12Mbps,0.0183815,35,20,7
1,OfdmRate12Mbps,0.0183815,40,20,7
1,OfdmRate12Mbps,0.0183815,45,20,7
1,OfdmRate12Mbps,0.0183815,50,20,7
1,OfdmRate12Mbps,0,55,20,7
1,OfdmRate12Mbps,0,60,20,7
1,OfdmRate12Mbps,0,65,20,7
1,OfdmRate12Mbps,0,70,20,7
1,OfdmRate12Mbps,0,75,20,7
1,OfdmRate12Mbps,0,80,20,7
1,OfdmRate12Mbps,0,85,20,7
1,OfdmRate12Mbps,0,90,20,7
1,OfdmRate12Mbps,0,95,20,7
1,OfdmRate12Mbps,0,100,20,7
2,OfdmRate18Mbps,175.11,0,20,7
2,OfdmRate18Mbps,175.11,5,20,7
2,OfdmRate18Mbps,175.11,10,20,7
2,OfdmRate18Mbps,175.11,15,20,7
2,OfdmRate18Mbps,175.11,20,20,7
2,OfdmRate18Mbps,175.11,25,20,7
2,OfdmRate18Mbps,0.0183815,30,20,7
2,OfdmRate18Mbps,0.0183815,35,20,7
2,OfdmRate18Mbps,0.0183815,40,20,7
2,OfdmRate18Mbps,0.0183815,45,20,7
2,OfdmRate18Mbps,0.0183815,50,20,7
2,OfdmRate18Mbps,0,55,20,7
2,OfdmRate18Mbps,0,60,20,7
2,OfdmRate18Mbps,0,65,20,7
2,OfdmRate18Mbps,0,70,20,7
2,OfdmRate18Mbps,0,75,20,7
2,OfdmRate18Mbps,0,80,20,7
2,OfdmRate18Mbps,0,85,20,7
2,OfdmRate18Mbps,0,90,20,7
2,OfdmRate18Mbps,0,95,20,7
2,OfdmRate18Mbps,0,100,20,7
3,OfdmRate24Mbps,230.536,0,20,7
3,OfdmRate24Mbps,230.536,5,20,7
3,OfdmRate24Mbps,230.536,10,20,7
3,OfdmRate24Mbps,230.536,15,20,7
3,OfdmRate24Mbps,230.536,20,20,7
3,OfdmRate24Mbps,230.536,25,20,7
3,OfdmRate24Mbps,0.0183815,30,20,7
3,OfdmRate24Mbps,0.0183815,35,20,7
3,OfdmRate24Mbps,0.0183815,40,20,7
3,OfdmRate24Mbps,0.0183815,45,20,7
3,OfdmRate24Mbps,0.0183815,50,20,7
3,OfdmRate24Mbps,0,55,20,7
3,OfdmRate24Mbps,0,60,20,7
3,OfdmRate24Mbps,0,65,20,7
3,OfdmRate24Mbps,0,70,20,7
3,OfdmRate24Mbps,0,75,20,7
3,OfdmRate24Mbps,0,80,20,7
3,OfdmRate24Mbps,0,85,20,7
3,OfdmRate24Mbps,0,90,20,7
3,OfdmRate24Mbps,0,95,20,7
3,OfdmRate24Mbps,0,100,20,7
4,OfdmRate36Mbps,325.237,0,20,7
4,OfdmRate36Mbps,325.237,5,20,7
4,OfdmRate36Mbps,325.237,10,20,7
4,OfdmRate36Mbps,325.237,15,20,7
4,OfdmRate36Mbps,325.237,20,20,7
4,OfdmRate36Mbps,305.127,25,20,7
4,OfdmRate36Mbps,0.0183815,30,20,7
4,OfdmRate36Mbps,0.0183815,35,20,7
4,OfdmRate36Mbps,0.0183815,40,20,7
4,OfdmRate36Mbps,0.0183815,45,20,7
4,OfdmRate36Mbps,0.0183815,50,20,7
4,OfdmRate36Mbps,0,55,20,7
4,OfdmRate36Mbps,0,60,20,7
4,OfdmRate36Mbps,0,65,20,7
4,OfdmRate36Mbps,0,70,20,7
4,OfdmRate36Mbps,0,75,20,7
4,OfdmRate36Mbps,0,80,20,7
4,OfdmRate36Mbps,0,85,20,7
4,OfdmRate36Mbps,0,90,20,7
4,OfdmRate36Mbps,0,95,20,7
4,OfdmRate36Mbps,0,100,20,7
5,OfdmRate48Mbps,409.302,0,20,7
5,OfdmRate48Mbps,409.302,5,20,7
5,OfdmRate48Mbps,409.302,10,20,7
5,OfdmRate48Mbps,409.216,15,20,7
5,OfdmRate48Mbps,0.0183815,20,20,7
5,OfdmRate48Mbps,0.0183815,25,20,7
5,OfdmRate48Mbps,0.0183815,30,20,7
5,OfdmRate48Mbps,0.0183815,35,20,7
5,OfdmRate48Mbps,0.0183815,40,20,7
5,OfdmRate48Mbps,0.0183815,45,20,7
5,OfdmRate48Mbps,0.0183815,50,20,7
5,OfdmRate48Mbps,0,55,20,7
5,OfdmRate48Mbps,0,60,20,7
5,OfdmRate48Mbps,0,65,20,7
5,OfdmRate48Mbps,0,70,20,7
5,OfdmRate48Mbps,0,75,20,7
5,OfdmRate48Mbps,0,80,20,7
5,OfdmRate48Mbps,0,85,20,7
5,OfdmRate48Mbps,0,90,20,7
5,OfdmRate48Mbps,0,95,20,7
5,OfdmRate48Mbps,0,100,20,7
6,OfdmRate54Mbps,451.758,0,20,7
6,OfdmRate54Mbps,451.758,5,20,7
6,OfdmRate54Mbps,451.758,10,20,7
6,OfdmRate54Mbps,451.556,15,20,7
6,OfdmRate54Mbps,0.0183815,20,20,7
6,OfdmRate54Mbps,0.0183815,25,20,7
6,OfdmRate54Mbps,0.0183815,30,20,7
6,OfdmRate54Mbps,0.0183815,35,20,7
6,OfdmRate54Mbps,0.0183815,40,20,7
6,OfdmRate54Mbps,0.0183815,45,20,7
6,OfdmRate54Mbps,0.0183815,50,20,7
6,OfdmRate54Mbps,0,55,20,7
6,OfdmRate54Mbps,0,60,20,7
6,OfdmRate54Mbps,0,65,20,7
6,OfdmRate54Mbps,0,70,20,7
6,OfdmRate54Mbps,0,75,20,7
6,OfdmRate54Mbps,0,80,20,7
6,OfdmRate54Mbps,0,85,20,7
6,OfdmRate54Mbps,0,90,20,7
6,OfdmRate54Mbps,0,95,20,7
6,OfdmRate54Mbps,0,100,20,7
7,OfdmRate54Mbps,489.878,0,20,7
7,OfdmRate54Mbps,489.878,5,20,7
7,OfdmRate54Mbps,489.878,10,20,7
7,OfdmRate54Mbps,489.806,15,20,7
7,OfdmRate54Mbps,0.0183815,20,20,7
7,OfdmRate54Mbps,0.0183815,25,20,7
7,OfdmRate54Mbps,0.0183815,30,20,7
7,OfdmRate54Mbps,0.0183815,35,20,7
7,OfdmRate54Mbps,0.0183815,40,20,7
7,OfdmRate54Mbps,0.0183815,45,20,7
7,OfdmRate54Mbps,0.0183815,50,20,7
7,OfdmRate54Mbps,0,55,20,7
7,OfdmRate54Mbps,0,60,20,7
7,OfdmRate54Mbps,0,65,20,7
7,OfdmRate54Mbps,0,70,20,7
7,OfdmRate54Mbps,0,75,20,7
7,OfdmRate54Mbps,0,80,20,7
7,OfdmRate54Mbps,0,85,20,7
7,OfdmRate54Mbps,0,90,20,7
7,OfdmRate54Mbps,0,95,20,7
7,OfdmRate54Mbps,0,100,20,7
8,OfdmRate54Mbps,551.973,0,20,7
8,OfdmRate54Mbps,551.973,5,20,7
8,OfdmRate54Mbps,551.973,10,20,7
8,OfdmRate54Mbps,0.0183815,15,20,7
8,OfdmRate54Mbps,0.0183815,20,20,7
8,OfdmRate54Mbps,0.0183815,25,20,7
8,OfdmRate54Mbps,0.0183815,30,20,7
8,OfdmRate54Mbps,0.0183815,35,20,7
8,OfdmRate54Mbps,0.0183815,40,20,7
8,OfdmRate54Mbps,0.0183815,45,20,7
8,OfdmRate54Mbps,0.0183815,50,20,7
8,OfdmRate54Mbps,0,55,20,7
8,OfdmRate54Mbps,0,60,20,7
8,OfdmRate54Mbps,0,65,20,7
8,OfdmRate54Mbps,0,70,20,7
8,OfdmRate54Mbps,0,75,20,7
8,OfdmRate54Mbps,0,80,20,7
8,OfdmRate54Mbps,0,85,20,7
8,OfdmRate54Mbps,0,90,20,7
8,OfdmRate54Mbps,0,95,20,7
8,OfdmRate54Mbps,0,100,20,7
9,OfdmRate54Mbps,599.459,0,20,7
9,OfdmRate54Mbps,599.459,5,20,7
9,OfdmRate54Mbps,599.459,10,20,7
9,OfdmRate54Mbps,0.0183815,15,20,7
9,OfdmRate54Mbps,0.0183815,20,20,7
9,OfdmRate54Mbps,0.0183815,25,20,7
9,OfdmRate54Mbps,0.0183815,30,20,7
9,OfdmRate54Mbps,0.0183815,35,20,7
9,OfdmRate54Mbps,0.0183815,40,20,7
9,OfdmRate54Mbps,0.0183815,45,20,7
9,OfdmRate54Mbps,0.0183815,50,20,7
9,OfdmRate54Mbps,0,55,20,7
9,OfdmRate54Mbps,0,60,20,7
