MCS,Mean_Goodput(Mbps),Distance(m),SimulationTime(s),Seed
0,61.0558,0,20,8
0,61.0558,5,20,8
0,61.0558,10,20,8
0,61.0558,15,20,8
0,61.0558,20,20,8
0,0.0183815,25,20,8
0,0.0183815,30,20,8
0,0.0183815,35,20,8
0,0.0183815,40,20,8
0,0.0183815,45,20,8
0,0,50,20,8
0,0,55,20,8
0,0,60,20,8
0,0,65,20,8
0,0,70,20,8
0,0,75,20,8
0,0,80,20,8
0,0,85,20,8
0,0,90,20,8
0,0,95,20,8
0,0,100,20,8
1,121.342,0,20,8
1,121.342,5,20,8
1,121.342,10,20,8
1,121.342,15,20,8
1,121.342,20,20,8
1,0.0183815,25,20,8
1,0.0183815,30,20,8
1,0.0183815,35,20,8
1,0.0183815,40,20,8
1,0.0183815,45,20,8
1,0,50,20,8
1,0,55,20,8
1,0,60,20,8
1,0,65,20,8
1,0,70,20,8
1,0,75,20,8
1,0,80,20,8
1,0,85,20,8
1,0,90,20,8
1,0,95,20,8
1,0,100,20,8
2,175.206,0,20,8
2,175.206,5,20,8
2,175.206,10,20,8
2,175.206,15,20,8
2,175.206,20,20,8
2,0.0183815,25,20,8
2,0.0183815,30,20,8
2,0.0183815,35,20,8
2,0.0183815,40,20,8
2,0.0183815,45,20,8
2,0,50,20,8
2,0,55,20,8
2,0,60,20,8
2,0,65,20,8
2,0,70,20,8
2,0,75,20,8
2,0,80,20,8
2,0,85,20,8
2,0,90,20,8
2,0,95,20,8
2,0,100,20,8
3,230.663,0,20,8
3,230.663,5,20,8
3,230.663,10,20,8
3,230.663,15,20,8
3,230.663,20,20,8
3,0.0183815,25,20,8
3,0.0183815,30,20,8
3,0.0183815,35,20,8
3,0.0183815,40,20,8
3,0.0183815,45,20,8
3,0,50,20,8
3,0,55,20,8
3,0,60,20,8
3,0,65,20,8
3,0,70,20,8
3,0,75,20,8
3,0,80,20,8
3,0,85,20,8
3,0,90,20,8
3,0,95,20,8
3,0,100,20,8
4,325.409,0,20,8
4,325.409,5,20,8
4,325.409,10,20,8
4,325.409,15,20,8
4,324.848,20,20,8
4,0.0183815,25,20,8
4,0.0183815,30,20,8
