MCS,CtlrRate,Mean_Throughput(Mbps),Distance(m),SimulationTime(s)
0,OfdmRate6Mbps,61.0409,0,20
0,OfdmRate6Mbps,61.0409,5,20
0,OfdmRate6Mbps,61.0409,10,20
0,OfdmRate6Mbps,61.0409,15,20
0,OfdmRate6Mbps,61.0409,20,20
0,OfdmRate6Mbps,61.0409,25,20
0,OfdmRate6Mbps,0.0183815,30,20
0,OfdmRate6Mbps,0.0183815,35,20
0,OfdmRate6Mbps,0.0183815,40,20
0,OfdmRate6Mbps,0.0183815,45,20
0,OfdmRate6Mbps,0.0183815,50,20
0,OfdmRate6Mbps,0,55,20
0,OfdmRate6Mbps,0,60,20
0,OfdmRate6Mbps,0,65,20
0,OfdmRate6Mbps,0,70,20
0,OfdmRate6Mbps,0,75,20
0,OfdmRate6Mbps,0,80,20
0,OfdmRate6Mbps,0,85,20
0,OfdmRate6Mbps,0,90,20
0,OfdmRate6Mbps,0,95,20
0,OfdmRate6Mbps,0,100,20
1,OfdmRate12Mbps,121.326,0,20
1,OfdmRate12Mbps,121.326,5,20
1,OfdmRate12Mbps,121.326,10,20
1,OfdmRate12Mbps,121.326,15,20
1,OfdmRate12Mbps,121.326,20,20
1,OfdmRate12Mbps,121.326,25,20
1,OfdmRate12Mbps,0.0183815,30,20
1,OfdmRate12Mbps,0.0183815,35,20
1,OfdmRate12Mbps,0.0183815,40,20
1,OfdmRate12Mbps,0.0183815,45,20
1,OfdmRate12Mbps,0.0183815,50,20
1,OfdmRate12Mbps,0,55,20
1,OfdmRate12Mbps,0,60,20
1,OfdmRate12Mbps,0,65,20
1,OfdmRate12Mbps,0,70,20
1,OfdmRate12Mbps,0,75,20
1,OfdmRate12Mbps,0,80,20
1,OfdmRate12Mbps,0,85,20
1,OfdmRate12Mbps,0,90,20
1,OfdmRate12Mbps,0,95,20
1,OfdmRate12Mbps,0,100,20
2,OfdmRate18Mbps,175.177,0,20
2,OfdmRate18Mbps,175.177,5,20
2,OfdmRate18Mbps,175.177,10,20
2,OfdmRate18Mbps,175.177,15,20
2,OfdmRate18Mbps,175.177,20,20
2,OfdmRate18Mbps,175.177,25,20
2,OfdmRate18Mbps,0.0183815,30,20
