Mean_Goodput(Mbps),Distance(m),FrequencyBand(GHz),ChannelWidth(MHz),SimulationTime(s),Seed
179.202,0,2.4,40,30,9
179.199,5,2.4,40,30,9
179.198,10,2.4,40,30,9
159.459,15,2.4,40,30,9
91.739,20,2.4,40,30,9
91.606,25,2.4,40,30,9
91.3221,30,2.4,40,30,9
91.3156,35,2.4,40,30,9
91.3156,40,2.4,40,30,9
89.9648,45,2.4,40,30,9
89.9637,50,2.4,40,30,9
89.9506,55,2.4,40,30,9
89.9492,60,2.4,40,30,9
89.8737,65,2.4,40,30,9
46.1852,70,2.4,40,30,9
45.933,75,2.4,40,30,9
45.9325,80,2.4,40,30,9
44.2699,85,2.4,40,30,9
0,90,2.4,40,30,9
0,95,2.4,40,30,9
0,100,2.4,40,30,9
499.272,0,5,160,30,9
493.778,5,5,160,30,9
323.705,10,5,160,30,9
311.632,15,5,160,30,9
291.21,20,5,160,30,9
288.911,25,5,160,30,9
171.949,30,5,160,30,9
91.2825,35,5,160,30,9
86.246,40,5,160,30,9
51.1688,45,5,160,30,9
51.0422,50,5,160,30,9
0,55,5,160,30,9
0,60,5,160,30,9
0,65,5,160,30,9
0,70,5,160,30,9
0,75,5,160,30,9
0,80,5,160,30,9
0,85,5,160,30,9
0,90,5,160,30,9
0,95,5,160,30,9
0,100,5,160,30,9
499.272,0,6,160,30,9
454.075,5,6,160,30,9
313.008,10,6,160,30,9
293.445,15,6,160,30,9
291.106,20,6,160,30,9
172.144,25,6,160,30,9
91.4421,30,6,160,30,9
86.5705,35,6,160,30,9
51.1688,40,6,160,30,9
51.0547,45,6,160,30,9
0,50,6,160,30,9
0,55,6,160,30,9
0,60,6,160,30,9
0,65,6,160,30,9
0,70,6,160,30,9
0,75,6,160,30,9
0,80,6,160,30,9
0,85,6,160,30,9
0,90,6,160,30,9
0,95,6,160,30,9
0,100,6,160,30,9
