Mean_Goodput(Mbps),Distance(m),FrequencyBand(GHz),ChannelWidth(MHz),SimulationTime(s),Seed
179.258,0,2.4,40,30,2
179.253,5,2.4,40,30,2
179.249,10,2.4,40,30,2
159.605,15,2.4,40,30,2
91.7538,20,2.4,40,30,2
91.6284,25,2.4,40,30,2
91.3452,30,2.4,40,30,2
91.3386,35,2.4,40,30,2
91.3381,40,2.4,40,30,2
89.991,45,2.4,40,30,2
89.9907,50,2.4,40,30,2
89.9769,55,2.4,40,30,2
89.9756,60,2.4,40,30,2
89.898,65,2.4,40,30,2
46.1947,70,2.4,40,30,2
45.9396,75,2.4,40,30,2
45.9396,80,2.4,40,30,2
44.3005,85,2.4,40,30,2
0,90,2.4,40,30,2
0,95,2.4,40,30,2
0,100,2.4,40,30,2
182.39,0,5,40,30,2
182.387,5,5,40,30,2
112.988,10,5,40,30,2
93.0919,15,5,40,30,2
92.7322,20,5,40,30,2
92.7266,25,5,40,30,2
91.2105,30,5,40,30,2
91.2085,35,5,40,30,2
86.2151,40,5,40,30,2
46.6328,45,5,40,30,2
44.9009,50,5,40,30,2
0,55,5,40,30,2
0,60,5,40,30,2
0,65,5,40,30,2
0,70,5,40,30,2
0,75,5,40,30,2
0,80,5,40,30,2
0,85,5,40,30,2
0,90,5,40,30,2
0,95,5,40,30,2
0,100,5,40,30,2
182.39,0,6,40,30,2
182.387,5,6,40,30,2
108.194,10,6,40,30,2
93.0913,15,6,40,30,2
92.7272,20,6,40,30,2
91.2235,25,6,40,30,2
91.209,30,6,40,30,2
91.1443,35,6,40,30,2
46.6328,40,6,40,30,2
46.5816,45,6,40,30,2
0,50,6,40,30,2
0,55,6,40,30,2
0,60,6,40,30,2
0,65,6,40,30,2
0,70,6,40,30,2
0,75,6,40,30,2
0,80,6,40,30,2
0,85,6,40,30,2
0,90,6,40,30,2
0,95,6,40,30,2
0,100,6,40,30,2
