Mean_Goodput(Mbps),Distance(m),FrequencyBand(GHz),ChannelWidth(MHz),SimulationTime(s),Seed
176.141,0,2.4,40,30,9
176.141,5,2.4,40,30,9
176.141,10,2.4,40,30,9
157.248,15,2.4,40,30,9
90.839,20,2.4,40,30,9
90.6908,25,2.4,40,30,9
90.4545,30,2.4,40,30,9
90.4485,35,2.4,40,30,9
90.4485,40,2.4,40,30,9
89.2121,45,2.4,40,30,9
89.1986,50,2.4,40,30,9
89.1974,55,2.4,40,30,9
89.1971,60,2.4,40,30,9
89.1813,65,2.4,40,30,9
44.7265,70,2.4,40,30,9
44.719,75,2.4,40,30,9
44.7188,80,2.4,40,30,9
0,85,2.4,40,30,9
0,90,2.4,40,30,9
0,95,2.4,40,30,9
0,100,2.4,40,30,9
475.369,0,5,160,30,9
471.059,5,5,160,30,9
312.699,10,5,160,30,9
302.18,15,5,160,30,9
283.934,20,5,160,30,9
283.666,25,5,160,30,9
169.505,30,5,160,30,9
90.6739,35,5,160,30,9
90.6287,40,5,160,30,9
45.5039,45,5,160,30,9
42.9228,50,5,160,30,9
0,55,5,160,30,9
0,60,5,160,30,9
0,65,5,160,30,9
0,70,5,160,30,9
0,75,5,160,30,9
0,80,5,160,30,9
0,85,5,160,30,9
0,90,5,160,30,9
0,95,5,160,30,9
0,100,5,160,30,9
475.369,0,6,160,30,9
434.744,5,6,160,30,9
303.255,10,6,160,30,9
285.678,15,6,160,30,9
283.831,20,6,160,30,9
169.542,25,6,160,30,9
90.6739,30,6,160,30,9
90.6578,35,6,160,30,9
45.5039,40,6,160,30,9
45.5,45,6,160,30,9
0,50,6,160,30,9
0,55,6,160,30,9
0,60,6,160,30,9
0,65,6,160,30,9
0,70,6,160,30,9
0,75,6,160,30,9
0,80,6,160,30,9
0,85,6,160,30,9
0,90,6,160,30,9
0,95,6,160,30,9
0,100,6,160,30,9
