Mean_Goodput(Mbps),Distance(m),FrequencyBand(GHz),ChannelWidth(MHz),SimulationTime(s),Seed
176.159,0,2.4,40,30,8
176.159,5,2.4,40,30,8
176.159,10,2.4,40,30,8
157.273,15,2.4,40,30,8
90.8569,20,2.4,40,30,8
90.722,25,2.4,40,30,8
90.4857,30,2.4,40,30,8
90.4802,35,2.4,40,30,8
90.4802,40,2.4,40,30,8
89.2412,45,2.4,40,30,8
89.2288,50,2.4,40,30,8
89.2276,55,2.4,40,30,8
89.2273,60,2.4,40,30,8
89.2114,65,2.4,40,30,8
44.7367,70,2.4,40,30,8
44.7295,75,2.4,40,30,8
44.7293,80,2.4,40,30,8
0,85,2.4,40,30,8
0,90,2.4,40,30,8
0,95,2.4,40,30,8
0,100,2.4,40,30,8
179.324,0,5,40,30,8
179.324,5,5,40,30,8
111.832,10,5,40,30,8
92.3732,15,5,40,30,8
92.0617,20,5,40,30,8
92.0572,25,5,40,30,8
90.6386,30,5,40,30,8
90.6361,35,5,40,30,8
90.603,40,5,40,30,8
45.4353,45,5,40,30,8
38.6909,50,5,40,30,8
0,55,5,40,30,8
0,60,5,40,30,8
0,65,5,40,30,8
0,70,5,40,30,8
0,75,5,40,30,8
0,80,5,40,30,8
0,85,5,40,30,8
0,90,5,40,30,8
0,95,5,40,30,8
0,100,5,40,30,8
179.324,0,6,40,30,8
179.324,5,6,40,30,8
107.166,10,6,40,30,8
92.3732,15,6,40,30,8
92.0572,20,6,40,30,8
90.6514,25,6,40,30,8
90.6372,30,6,40,30,8
90.6187,35,6,40,30,8
45.4353,40,6,40,30,8
45.4177,45,6,40,30,8
0,50,6,40,30,8
0,55,6,40,30,8
0,60,6,40,30,8
0,65,6,40,30,8
0,70,6,40,30,8
0,75,6,40,30,8
0,80,6,40,30,8
0,85,6,40,30,8
0,90,6,40,30,8
0,95,6,40,30,8
0,100,6,40,30,8
