Mean_Goodput(Mbps),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s)
179.3,0,2.4,40,30
179.297,5,2.4,40,30
179.296,10,2.4,40,30
159.708,15,2.4,40,30
91.781,20,2.4,40,30
91.6545,25,2.4,40,30
91.369,30,2.4,40,30
91.3635,35,2.4,40,30
91.3616,40,2.4,40,30
90.0098,45,2.4,40,30
90.009,50,2.4,40,30
89.9932,55,2.4,40,30
89.992,60,2.4,40,30
89.9164,65,2.4,40,30
46.2048,70,2.4,40,30
45.9529,75,2.4,40,30
45.9528,80,2.4,40,30
45.8116,85,2.4,40,30
0,90,2.4,40,30
0,95,2.4,40,30
0,100,2.4,40,30
499.535,0,5,160,30
494.035,5,5,160,30
323.878,10,5,160,30
311.79,15,5,160,30
291.356,20,5,160,30
277.352,25,5,160,30
172.026,30,5,160,30
91.321,35,5,160,30
90.9791,40,5,160,30
51.1991,45,5,160,30
51.0809,50,5,160,30
0,55,5,160,30
0,60,5,160,30
0,65,5,160,30
0,70,5,160,30
0,75,5,160,30
0,80,5,160,30
0,85,5,160,30
0,90,5,160,30
0,95,5,160,30
0,100,5,160,30
499.535,0,6,160,30
454.243,5,6,160,30
313.105,10,6,160,30
293.591,15,6,160,30
291.248,20,6,160,30
172.219,25,6,160,30
91.485,30,6,160,30
86.6018,35,6,160,30
51.1991,40,6,160,30
50.9137,45,6,160,30
0,50,6,160,30
0,55,6,160,30
0,60,6,160,30
0,65,6,160,30
0,70,6,160,30
0,75,6,160,30
0,80,6,160,30
0,85,6,160,30
0,90,6,160,30
0,95,6,160,30
0,100,6,160,30
