Mean_Goodput(Mbps),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s)
176.188,0,2.4,40,30
176.188,5,2.4,40,30
176.188,10,2.4,40,30
157.295,15,2.4,40,30
90.8791,20,2.4,40,30
90.7331,25,2.4,40,30
90.4968,30,2.4,40,30
90.4904,35,2.4,40,30
90.4904,40,2.4,40,30
89.2511,45,2.4,40,30
89.2377,50,2.4,40,30
89.237,55,2.4,40,30
89.2357,60,2.4,40,30
89.2207,65,2.4,40,30
44.746,70,2.4,40,30
44.7391,75,2.4,40,30
44.7389,80,2.4,40,30
0,85,2.4,40,30
0,90,2.4,40,30
0,95,2.4,40,30
0,100,2.4,40,30
179.354,0,5,40,30
179.354,5,5,40,30
111.845,10,5,40,30
92.3862,15,5,40,30
92.0748,20,5,40,30
92.0693,25,5,40,30
90.6512,30,5,40,30
90.6498,35,5,40,30
90.6144,40,5,40,30
45.4395,45,5,40,30
38.6955,50,5,40,30
0,55,5,40,30
0,60,5,40,30
0,65,5,40,30
0,70,5,40,30
0,75,5,40,30
0,80,5,40,30
0,85,5,40,30
0,90,5,40,30
0,95,5,40,30
0,100,5,40,30
179.354,0,6,40,30
179.354,5,6,40,30
107.178,10,6,40,30
92.3862,15,6,40,30
92.0693,20,6,40,30
90.6629,25,6,40,30
90.651,30,6,40,30
90.6313,35,6,40,30
45.4395,40,6,40,30
45.4221,45,6,40,30
0,50,6,40,30
0,55,6,40,30
0,60,6,40,30
0,65,6,40,30
0,70,6,40,30
0,75,6,40,30
0,80,6,40,30
0,85,6,40,30
0,90,6,40,30
0,95,6,40,30
0,100,6,40,30
