Mean_Goodput(Mbps),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s)
176.188,0,2.4,40,30
176.188,5,2.4,40,30
176.188,10,2.4,40,30
157.295,15,2.4,40,30
90.8791,20,2.4,40,30
90.7331,25,2.4,40,30
90.4968,30,2.4,40,30
90.4904,35,2.4,40,30
90.4904,40,2.4,40,30
89.2511,45,2.4,40,30
89.2377,50,2.4,40,30
89.237,55,2.4,40,30
89.2357,60,2.4,40,30
89.2207,65,2.4,40,30
44.746,70,2.4,40,30
44.7391,75,2.4,40,30
44.7389,80,2.4,40,30
0,85,2.4,40,30
0,90,2.4,40,30
0,95,2.4,40,30
0,100,2.4,40,30
475.518,0,5,160,30
471.204,5,5,160,30
312.831,10,5,160,30
302.331,15,5,160,30
284.071,20,5,160,30
283.806,25,5,160,30
169.579,30,5,160,30
90.7104,35,5,160,30
90.6649,40,5,160,30
45.5246,45,5,160,30
42.9434,50,5,160,30
0,55,5,160,30
0,60,5,160,30
0,65,5,160,30
0,70,5,160,30
0,75,5,160,30
0,80,5,160,30
0,85,5,160,30
0,90,5,40,30
0,95,5,40,30
0,100,5,40,30
475.518,0,6,160,30
435.022,5,6,160,30
303.417,10,6,160,30
285.817,15,6,160,30
283.968,20,6,160,30
169.618,25,6,160,30
90.7104,30,6,160,30
90.6941,35,6,160,30
45.5246,40,6,160,30
45.5205,45,6,160,30
0,50,6,160,30
0,55,6,160,30
0,60,6,160,30
0,65,6,160,30
0,70,6,160,30
0,75,6,160,30
0,80,6,160,30
0,85,6,160,30
0,90,6,40,30
0,95,6,40,30
0,100,6,40,30
