MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),SimulationTime(s)
0,OfdmRate6Mbps,7.40421,3,20,30
1,OfdmRate12Mbps,15.1639,3,20,30
2,OfdmRate18Mbps,22.667,3,20,30
3,OfdmRate24Mbps,30.5922,3,20,30
4,OfdmRate36Mbps,45.8806,3,20,30
5,OfdmRate48Mbps,61.1676,3,20,30
6,OfdmRate54Mbps,68.8221,3,20,30
7,OfdmRate54Mbps,76.4551,3,20,30
8,OfdmRate54Mbps,91.3667,3,20,30
9,OfdmRate54Mbps,100.996,3,20,30
10,OfdmRate54Mbps,112.888,3,20,30
11,OfdmRate54Mbps,124.371,3,20,30
12,OfdmRate54Mbps,133.755,3,20,30
13,OfdmRate54Mbps,147.686,3,20,30
0,OfdmRate6Mbps,14.8828,3,40,30
1,OfdmRate12Mbps,30.3119,3,40,30
2,OfdmRate18Mbps,45.4603,3,40,30
3,OfdmRate24Mbps,61.1676,3,40,30
4,OfdmRate36Mbps,91.3667,3,40,30
5,OfdmRate48Mbps,119.753,3,40,30
6,OfdmRate54Mbps,133.755,3,40,30
7,OfdmRate54Mbps,147.686,3,40,30
8,OfdmRate54Mbps,174.584,3,40,30
9,OfdmRate54Mbps,191.563,3,40,30
10,OfdmRate54Mbps,213.471,3,40,30
11,OfdmRate54Mbps,233.119,3,40,30
12,OfdmRate54Mbps,249.521,3,40,30
13,OfdmRate54Mbps,274.649,3,40,30
0,OfdmRate6Mbps,31.0817,3,80,30
1,OfdmRate12Mbps,63.2917,3,80,30
2,OfdmRate18Mbps,94.5783,3,80,30
3,OfdmRate24Mbps,125.248,3,80,30
4,OfdmRate36Mbps,181.742,3,80,30
5,OfdmRate48Mbps,234.665,3,80,30
6,OfdmRate54Mbps,260.527,3,80,30
7,OfdmRate54Mbps,285.708,3,80,30
8,OfdmRate54Mbps,331.06,3,80,30
9,OfdmRate54Mbps,361.423,3,80,30
10,OfdmRate54Mbps,397.924,3,80,30
11,OfdmRate54Mbps,431.843,3,80,30
12,OfdmRate54Mbps,459.838,3,80,30
13,OfdmRate54Mbps,498.64,3,80,30
0,OfdmRate6Mbps,62.1151,3,160,30
1,OfdmRate12Mbps,123.457,3,160,30
2,OfdmRate18Mbps,178.251,3,160,30
3,OfdmRate24Mbps,234.665,3,160,30
4,OfdmRate36Mbps,331.06,3,160,30
5,OfdmRate48Mbps,416.626,3,160,30
6,OfdmRate54Mbps,459.838,3,160,30
7,OfdmRate54Mbps,498.64,3,160,30
8,OfdmRate54Mbps,561.851,3,160,30
9,OfdmRate54Mbps,610.186,3,160,30
10,OfdmRate54Mbps,655.29,3,160,30
11,OfdmRate54Mbps,707.598,3,160,30
12,OfdmRate54Mbps,737.016,3,160,30
13,OfdmRate54Mbps,786.043,3,160,30
