MCS,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),SimulationTime(s)
0,6.46268,5,20,30
1,13.0084,5,20,30
2,19.5298,5,20,30
3,26.1603,5,20,30
4,39.1853,5,20,30
5,52.2877,5,20,30
6,58.7704,5,20,30
7,65.4239,5,20,30
8,78.4847,5,20,30
9,87.106,5,20,30
10,97.5301,5,20,30
11,107.626,5,20,30
0,12.912,5,40,30
1,26.0652,5,40,30
2,39.0467,5,40,30
3,52.2877,5,40,30
4,78.4847,5,40,30
5,103.565,5,40,30
6,115.901,5,40,30
7,128.227,5,40,30
8,152.168,5,40,30
9,167.372,5,40,30
10,187.107,5,40,30
11,204.907,5,40,30
0,27.0682,5,80,30
1,54.4527,5,80,30
2,81.7152,5,80,30
3,108.397,5,80,30
4,158.569,5,80,30
5,206.307,5,80,30
6,229.909,5,80,30
7,253.067,5,80,30
8,295.176,5,80,30
9,323.7,5,80,30
10,358.315,5,80,30
11,390.834,5,80,30
0,54.0681,5,160,30
1,107.91,5,160,30
2,157.532,5,160,30
3,206.307,5,160,30
4,295.176,5,160,30
5,376.2,5,160,30
6,417.911,5,160,30
7,455.816,5,160,30
8,518.521,5,160,30
9,567.3,5,160,30
10,613.028,5,160,30
11,551.586,5,160,30
