MCS,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),SimulationTime(s)
0,6.3026,5,20,30
1,12.8422,5,20,30
2,19.2915,5,20,30
3,25.9832,5,20,30
4,38.9236,5,20,30
5,51.9359,5,20,30
6,58.3753,5,20,30
7,64.9883,5,20,30
8,77.9622,5,20,30
9,86.5134,5,20,30
10,96.7962,5,20,30
11,106.737,5,20,30
12,114.867,5,20,30
13,126.966,5,20,30
0,12.5895,5,40,30
1,25.7409,5,40,30
2,38.5641,5,40,30
3,51.9359,5,40,30
4,77.9622,5,40,30
5,102.732,5,40,30
6,114.867,5,40,30
7,126.966,5,40,30
8,150.411,5,40,30
9,165.254,5,40,30
10,184.468,5,40,30
11,201.758,5,40,30
12,216.231,5,40,30
13,238.472,5,40,30
0,26.3904,5,80,30
1,53.7439,5,80,30
2,80.7174,5,80,30
3,107.495,5,80,30
4,156.665,5,80,30
5,203.116,5,80,30
6,225.955,5,80,30
7,248.289,5,80,30
8,288.714,5,80,30
9,315.958,5,80,30
10,348.872,5,80,30
11,379.631,5,80,30
12,0.0183009,5,80,30
13,0.0183009,5,80,30
0,52.7373,5,160,30
1,106.17,5,160,30
2,154.058,5,160,30
3,203.116,5,160,30
4,288.714,5,160,30
5,365.809,5,160,30
6,405.138,5,160,30
7,440.684,5,160,30
8,499.05,5,160,30
9,544.094,5,160,30
10,586.436,5,160,30
11,0.0183009,5,160,30
12,0.0183009,5,160,30
13,0.0183009,5,160,30
