MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),SimulationTime(s)
0,OfdmRate6Mbps,6.46268,5,20,30
1,OfdmRate12Mbps,13.0084,5,20,30
2,OfdmRate18Mbps,19.5298,5,20,30
3,OfdmRate24Mbps,26.1603,5,20,30
4,OfdmRate36Mbps,39.1853,5,20,30
5,OfdmRate48Mbps,52.2877,5,20,30
6,OfdmRate54Mbps,58.7704,5,20,30
7,OfdmRate54Mbps,65.4239,5,20,30
8,OfdmRate54Mbps,78.4847,5,20,30
9,OfdmRate54Mbps,87.106,5,20,30
10,OfdmRate54Mbps,97.5301,5,20,30
11,OfdmRate54Mbps,107.626,5,20,30
0,OfdmRate6Mbps,12.912,5,40,30
1,OfdmRate12Mbps,26.0652,5,40,30
2,OfdmRate18Mbps,39.0467,5,40,30
3,OfdmRate24Mbps,52.2877,5,40,30
4,OfdmRate36Mbps,78.4847,5,40,30
5,OfdmRate48Mbps,103.565,5,40,30
6,OfdmRate54Mbps,115.901,5,40,30
7,OfdmRate54Mbps,128.227,5,40,30
8,OfdmRate54Mbps,152.168,5,40,30
9,OfdmRate54Mbps,167.372,5,40,30
10,OfdmRate54Mbps,187.107,5,40,30
11,OfdmRate54Mbps,204.907,5,40,30
