MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),GI(ns),SimulationTime(s),Seed
0,ErpOfdmRate6Mbps,7.49095,3,20,800,30,3
1,ErpOfdmRate12Mbps,15.1438,3,20,800,30,3
2,ErpOfdmRate18Mbps,22.6439,3,20,800,30,3
3,ErpOfdmRate24Mbps,30.3828,3,20,800,30,3
4,ErpOfdmRate36Mbps,45.5686,3,20,800,30,3
5,ErpOfdmRate48Mbps,60.7549,3,20,800,30,3
6,ErpOfdmRate54Mbps,68.3541,3,20,800,30,3
7,ErpOfdmRate54Mbps,75.9414,3,20,800,30,3
8,ErpOfdmRate54Mbps,90.7877,3,20,800,30,3
9,ErpOfdmRate54Mbps,100.43,3,20,800,30,3
10,ErpOfdmRate54Mbps,112.354,3,20,800,30,3
11,ErpOfdmRate54Mbps,123.89,3,20,800,30,3
0,ErpOfdmRate6Mbps,15.0363,3,40,800,30,3
1,ErpOfdmRate12Mbps,30.2743,3,40,800,30,3
2,ErpOfdmRate18Mbps,45.4036,3,40,800,30,3
3,ErpOfdmRate24Mbps,60.7549,3,40,800,30,3
4,ErpOfdmRate36Mbps,90.7877,3,40,800,30,3
5,ErpOfdmRate48Mbps,119.25,3,40,800,30,3
6,ErpOfdmRate54Mbps,133.333,3,40,800,30,3
7,ErpOfdmRate54Mbps,147.377,3,40,800,30,3
8,ErpOfdmRate54Mbps,174.57,3,40,800,30,3
9,ErpOfdmRate54Mbps,191.796,3,40,800,30,3
10,ErpOfdmRate54Mbps,214.083,3,40,800,30,3
11,ErpOfdmRate54Mbps,234.137,3,40,800,30,3
0,ErpOfdmRate6Mbps,6.37479,3,20,3200,30,3
1,ErpOfdmRate12Mbps,12.8333,3,20,3200,30,3
2,ErpOfdmRate18Mbps,19.2664,3,20,3200,30,3
3,ErpOfdmRate24Mbps,25.8078,3,20,3200,30,3
4,ErpOfdmRate36Mbps,38.6583,3,20,3200,30,3
5,ErpOfdmRate48Mbps,51.5829,3,20,3200,30,3
6,ErpOfdmRate54Mbps,57.9833,3,20,3200,30,3
7,ErpOfdmRate54Mbps,64.5428,3,20,3200,30,3
8,ErpOfdmRate54Mbps,77.4316,3,20,3200,30,3
9,ErpOfdmRate54Mbps,85.9362,3,20,3200,30,3
10,ErpOfdmRate54Mbps,96.2217,3,20,3200,30,3
11,ErpOfdmRate54Mbps,106.183,3,20,3200,30,3
0,ErpOfdmRate6Mbps,12.737,3,40,3200,30,3
1,ErpOfdmRate12Mbps,25.7149,3,40,3200,30,3
2,ErpOfdmRate18Mbps,38.5207,3,40,3200,30,3
3,ErpOfdmRate24Mbps,51.5829,3,40,3200,30,3
4,ErpOfdmRate36Mbps,77.4316,3,40,3200,30,3
5,ErpOfdmRate48Mbps,102.172,3,40,3200,30,3
6,ErpOfdmRate54Mbps,114.344,3,40,3200,30,3
7,ErpOfdmRate54Mbps,126.503,3,40,3200,30,3
8,ErpOfdmRate54Mbps,150.124,3,40,3200,30,3
9,ErpOfdmRate54Mbps,165.127,3,40,3200,30,3
10,ErpOfdmRate54Mbps,184.597,3,40,3200,30,3
11,ErpOfdmRate54Mbps,202.16,3,40,3200,30,3
