MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),GI(ns),SimulationTime(s),Seed
0,OfdmRate6Mbps,7.59396,3,20,800,30,1
1,OfdmRate12Mbps,15.3503,3,20,800,30,1
2,OfdmRate18Mbps,22.9506,3,20,800,30,1
3,OfdmRate24Mbps,30.7986,3,20,800,30,1
4,OfdmRate36Mbps,46.1875,3,20,800,30,1
5,OfdmRate48Mbps,61.5837,3,20,800,30,1
6,OfdmRate54Mbps,69.2842,3,20,800,30,1
7,OfdmRate54Mbps,76.9763,3,20,800,30,1
8,OfdmRate54Mbps,92.0224,3,20,800,30,1
9,OfdmRate54Mbps,101.797,3,20,800,30,1
10,OfdmRate54Mbps,113.887,3,20,800,30,1
11,OfdmRate54Mbps,125.581,3,20,800,30,1
0,OfdmRate6Mbps,15.2421,3,40,800,30,1
1,OfdmRate12Mbps,30.688,3,40,800,30,1
2,OfdmRate18Mbps,46.0243,3,40,800,30,1
3,OfdmRate24Mbps,61.5837,3,40,800,30,1
4,OfdmRate36Mbps,92.0224,3,40,800,30,1
5,OfdmRate48Mbps,120.873,3,40,800,30,1
6,OfdmRate54Mbps,135.151,3,40,800,30,1
7,OfdmRate54Mbps,149.376,3,40,800,30,1
8,OfdmRate54Mbps,176.952,3,40,800,30,1
9,OfdmRate54Mbps,194.406,3,40,800,30,1
10,OfdmRate54Mbps,217.002,3,40,800,30,1
11,OfdmRate54Mbps,237.33,3,40,800,30,1
0,OfdmRate6Mbps,31.8694,3,80,800,30,1
1,OfdmRate12Mbps,64.1164,3,80,800,30,1
2,OfdmRate18Mbps,95.8886,3,80,800,30,1
3,OfdmRate24Mbps,126.473,3,80,800,30,1
4,OfdmRate36Mbps,184.305,3,80,800,30,1
5,OfdmRate48Mbps,238.927,3,80,800,30,1
6,OfdmRate54Mbps,265.777,3,80,800,30,1
7,OfdmRate54Mbps,292.035,3,80,800,30,1
8,OfdmRate54Mbps,339.555,3,80,800,30,1
9,OfdmRate54Mbps,371.565,3,80,800,30,1
10,OfdmRate54Mbps,410.238,3,80,800,30,1
11,OfdmRate54Mbps,446.377,3,80,800,30,1
0,OfdmRate6Mbps,63.6659,3,160,800,30,1
1,OfdmRate12Mbps,125.818,3,160,800,30,1
2,OfdmRate18Mbps,182.911,3,160,800,30,1
3,OfdmRate24Mbps,238.927,3,160,800,30,1
4,OfdmRate36Mbps,339.555,3,160,800,30,1
5,OfdmRate48Mbps,430.135,3,160,800,30,1
6,OfdmRate54Mbps,476.339,3,160,800,30,1
7,OfdmRate54Mbps,518.082,3,160,800,30,1
8,OfdmRate54Mbps,586.627,3,160,800,30,1
9,OfdmRate54Mbps,639.519,3,160,800,30,1
10,OfdmRate54Mbps,689.222,3,160,800,30,1
11,OfdmRate54Mbps,747.288,3,160,800,30,1
0,OfdmRate6Mbps,6.4628,3,20,3200,30,1
1,OfdmRate12Mbps,13.0084,3,20,3200,30,1
2,OfdmRate18Mbps,19.53,3,20,3200,30,1
3,OfdmRate24Mbps,26.1603,3,20,3200,30,1
4,OfdmRate36Mbps,39.1858,3,20,3200,30,1
5,OfdmRate48Mbps,52.2877,3,20,3200,30,1
6,OfdmRate54Mbps,58.7704,3,20,3200,30,1
7,OfdmRate54Mbps,65.4251,3,20,3200,30,1
8,OfdmRate54Mbps,78.4857,3,20,3200,30,1
9,OfdmRate54Mbps,87.1072,3,20,3200,30,1
10,OfdmRate54Mbps,97.5301,3,20,3200,30,1
11,OfdmRate54Mbps,107.626,3,20,3200,30,1
0,OfdmRate6Mbps,12.912,3,40,3200,30,1
1,OfdmRate12Mbps,26.0652,3,40,3200,30,1
2,OfdmRate18Mbps,39.0467,3,40,3200,30,1
3,OfdmRate24Mbps,52.2877,3,40,3200,30,1
4,OfdmRate36Mbps,78.4857,3,40,3200,30,1
5,OfdmRate48Mbps,103.567,3,40,3200,30,1
6,OfdmRate54Mbps,115.901,3,40,3200,30,1
7,OfdmRate54Mbps,128.227,3,40,3200,30,1
8,OfdmRate54Mbps,152.17,3,40,3200,30,1
9,OfdmRate54Mbps,167.377,3,40,3200,30,1
10,OfdmRate54Mbps,187.109,3,40,3200,30,1
11,OfdmRate54Mbps,204.909,3,40,3200,30,1
0,OfdmRate6Mbps,27.0682,3,80,3200,30,1
1,OfdmRate12Mbps,54.4527,3,80,3200,30,1
2,OfdmRate18Mbps,81.7152,3,80,3200,30,1
3,OfdmRate24Mbps,108.399,3,80,3200,30,1
4,OfdmRate36Mbps,158.571,3,80,3200,30,1
5,OfdmRate48Mbps,206.31,3,80,3200,30,1
6,OfdmRate54Mbps,229.91,3,80,3200,30,1
7,OfdmRate54Mbps,253.067,3,80,3200,30,1
8,OfdmRate54Mbps,295.181,3,80,3200,30,1
9,OfdmRate54Mbps,323.701,3,80,3200,30,1
10,OfdmRate54Mbps,358.323,3,80,3200,30,1
11,OfdmRate54Mbps,390.836,3,80,3200,30,1
0,OfdmRate6Mbps,54.0681,3,160,3200,30,1
1,OfdmRate12Mbps,107.91,3,160,3200,30,1
2,OfdmRate18Mbps,157.534,3,160,3200,30,1
3,OfdmRate24Mbps,206.31,3,160,3200,30,1
4,OfdmRate36Mbps,295.181,3,160,3200,30,1
5,OfdmRate48Mbps,376.205,3,160,3200,30,1
6,OfdmRate54Mbps,417.918,3,160,3200,30,1
7,OfdmRate54Mbps,455.82,3,160,3200,30,1
8,OfdmRate54Mbps,518.533,3,160,3200,30,1
9,OfdmRate54Mbps,567.308,3,160,3200,30,1
10,OfdmRate54Mbps,613.488,3,160,3200,30,1
11,OfdmRate54Mbps,667.844,3,160,3200,30,1
