MCS,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),SimulationTime(s)
0,6.4628,3,20,30
1,13.0084,3,20,30
2,19.53,3,20,30
3,26.1603,3,20,30
4,39.1858,3,20,30
5,52.2877,3,20,30
6,58.7704,3,20,30
7,65.4251,3,20,30
8,78.4857,3,20,30
9,87.1072,3,20,30
10,97.5301,3,20,30
11,107.626,3,20,30
0,12.912,3,40,30
1,26.0652,3,40,30
2,39.0467,3,40,30
3,52.2877,3,40,30
4,78.4857,3,40,30
5,103.567,3,40,30
6,115.901,3,40,30
7,128.227,3,40,30
8,152.17,3,40,30
9,167.377,3,40,30
10,187.109,3,40,30
11,204.909,3,40,30
0,27.0682,3,80,30
1,54.4527,3,80,30
2,81.7152,3,80,30
3,108.399,3,80,30
4,158.571,3,80,30
5,206.31,3,80,30
6,229.91,3,80,30
7,253.067,3,80,30
8,295.181,3,80,30
9,323.701,3,80,30
10,358.323,3,80,30
11,390.836,3,80,30
0,54.0681,3,160,30
1,107.91,3,160,30
2,157.534,3,160,30
3,206.31,3,160,30
4,295.181,3,160,30
5,376.205,3,160,30
6,417.918,3,160,30
7,455.82,3,160,30
8,518.533,3,160,30
9,567.308,3,160,30
10,613.488,3,160,30
11,667.844,3,160,30
