MCS,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),GI(ns),SimulationTime(s),Seed
0,7.59653,3,20,800,30,10
1,15.3552,3,20,800,30,10
2,22.9582,3,20,800,30,10
3,30.8066,3,20,800,30,10
4,46.2018,3,20,800,30,10
5,61.5962,3,20,800,30,10
6,69.302,3,20,800,30,10
7,76.9944,3,20,800,30,10
8,92.0465,3,20,800,30,10
9,101.826,3,20,800,30,10
10,113.919,3,20,800,30,10
11,125.616,3,20,800,30,10
0,15.2466,3,40,800,30,10
1,30.6963,3,40,800,30,10
2,46.038,3,40,800,30,10
3,61.5962,3,40,800,30,10
4,92.0465,3,40,800,30,10
5,120.909,3,40,800,30,10
6,135.189,3,40,800,30,10
7,149.42,3,40,800,30,10
8,177,3,40,800,30,10
9,194.462,3,40,800,30,10
10,217.063,3,40,800,30,10
11,237.397,3,40,800,30,10
0,31.8776,3,80,800,30,10
1,64.1376,3,80,800,30,10
2,95.9168,3,80,800,30,10
3,126.511,3,80,800,30,10
4,184.363,3,80,800,30,10
5,238.996,3,80,800,30,10
6,265.85,3,80,800,30,10
7,292.114,3,80,800,30,10
8,339.654,3,80,800,30,10
9,371.672,3,80,800,30,10
10,410.355,3,80,800,30,10
11,446.503,3,80,800,30,10
0,63.6863,3,160,800,30,10
1,125.852,3,160,800,30,10
2,182.957,3,160,800,30,10
3,238.996,3,160,800,30,10
4,339.654,3,160,800,30,10
5,430.257,3,160,800,30,10
6,476.479,3,160,800,30,10
7,518.231,3,160,800,30,10
8,586.8,3,160,800,30,10
9,639.701,3,160,800,30,10
10,689.421,3,160,800,30,10
11,747.506,3,160,800,30,10
0,6.46449,3,20,3200,30,10
1,13.0116,3,20,3200,30,10
2,19.5355,3,20,3200,30,10
3,26.1677,3,20,3200,30,10
4,39.1977,3,20,3200,30,10
5,52.3024,3,20,3200,30,10
6,58.7875,3,20,3200,30,10
7,65.4417,3,20,3200,30,10
8,78.5095,3,20,3200,30,10
9,87.1251,3,20,3200,30,10
10,97.5562,3,20,3200,30,10
11,107.658,3,20,3200,30,10
0,12.9153,3,40,3200,30,10
1,26.0732,3,40,3200,30,10
2,39.0578,3,40,3200,30,10
3,52.3024,3,40,3200,30,10
4,78.5095,3,40,3200,30,10
5,103.59,3,40,3200,30,10
6,115.934,3,40,3200,30,10
7,128.26,3,40,3200,30,10
8,152.215,3,40,3200,30,10
9,167.421,3,40,3200,30,10
10,187.16,3,40,3200,30,10
11,204.969,3,40,3200,30,10
0,27.076,3,80,3200,30,10
1,54.4692,3,80,3200,30,10
2,81.7426,3,80,3200,30,10
3,108.425,3,80,3200,30,10
4,158.614,3,80,3200,30,10
5,206.371,3,80,3200,30,10
6,229.977,3,80,3200,30,10
7,253.139,3,80,3200,30,10
8,295.26,3,80,3200,30,10
9,323.787,3,80,3200,30,10
10,358.42,3,80,3200,30,10
11,390.942,3,80,3200,30,10
0,54.0787,3,160,3200,30,10
1,107.94,3,160,3200,30,10
2,157.579,3,160,3200,30,10
3,206.371,3,160,3200,30,10
4,295.26,3,160,3200,30,10
5,376.31,3,160,3200,30,10
6,418.036,3,160,3200,30,10
7,455.953,3,160,3200,30,10
8,518.679,3,160,3200,30,10
9,567.474,3,160,3200,30,10
10,613.656,3,160,3200,30,10
11,668.031,3,160,3200,30,10
