MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),SimulationTime(s)
0,ErpOfdmRate6Mbps,6.20399,3,20,30
1,ErpOfdmRate12Mbps,12.6428,3,20,30
2,ErpOfdmRate18Mbps,18.9922,3,20,30
3,ErpOfdmRate24Mbps,25.5815,3,20,30
4,ErpOfdmRate36Mbps,38.3223,3,20,30
5,ErpOfdmRate48Mbps,51.1371,3,20,30
6,ErpOfdmRate54Mbps,57.4785,3,20,30
7,ErpOfdmRate54Mbps,63.984,3,20,30
8,ErpOfdmRate54Mbps,76.7604,3,20,30
9,ErpOfdmRate54Mbps,85.1825,3,20,30
10,ErpOfdmRate54Mbps,95.3028,3,20,30
11,ErpOfdmRate54Mbps,105.084,3,20,30
12,ErpOfdmRate54Mbps,113.101,3,20,30
13,ErpOfdmRate54Mbps,125.005,3,20,30
0,ErpOfdmRate6Mbps,12.3942,3,40,30
1,ErpOfdmRate12Mbps,25.3427,3,40,30
2,ErpOfdmRate18Mbps,37.9689,3,40,30
3,ErpOfdmRate24Mbps,51.1371,3,40,30
4,ErpOfdmRate36Mbps,76.7604,3,40,30
5,ErpOfdmRate48Mbps,101.151,3,40,30
6,ErpOfdmRate54Mbps,113.101,3,40,30
7,ErpOfdmRate54Mbps,125.005,3,40,30
8,ErpOfdmRate54Mbps,148.092,3,40,30
9,ErpOfdmRate54Mbps,162.702,3,40,30
10,ErpOfdmRate54Mbps,181.621,3,40,30
11,ErpOfdmRate54Mbps,198.641,3,40,30
12,ErpOfdmRate54Mbps,212.893,3,40,30
13,ErpOfdmRate54Mbps,234.785,3,40,30
