MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),GI(ns),SimulationTime(s),Seed
0,ErpOfdmRate6Mbps,7.29111,3,20,800,30,5
1,ErpOfdmRate12Mbps,14.9334,3,20,800,30,5
2,ErpOfdmRate18Mbps,22.3235,3,20,800,30,5
3,ErpOfdmRate24Mbps,30.127,3,20,800,30,5
4,ErpOfdmRate36Mbps,45.1814,3,20,800,30,5
5,ErpOfdmRate48Mbps,60.2388,3,20,800,30,5
6,ErpOfdmRate54Mbps,67.782,3,20,800,30,5
7,ErpOfdmRate54Mbps,75.294,3,20,800,30,5
8,ErpOfdmRate54Mbps,89.9791,3,20,800,30,5
9,ErpOfdmRate54Mbps,99.4662,3,20,800,30,5
10,ErpOfdmRate54Mbps,111.18,3,20,800,30,5
11,ErpOfdmRate54Mbps,122.488,3,20,800,30,5
12,ErpOfdmRate54Mbps,131.731,3,20,800,30,5
13,ErpOfdmRate54Mbps,145.447,3,20,800,30,5
0,ErpOfdmRate6Mbps,14.6555,3,40,800,30,5
1,ErpOfdmRate12Mbps,29.8534,3,40,800,30,5
2,ErpOfdmRate18Mbps,44.7711,3,40,800,30,5
3,ErpOfdmRate24Mbps,60.2388,3,40,800,30,5
4,ErpOfdmRate36Mbps,89.9791,3,40,800,30,5
5,ErpOfdmRate48Mbps,117.941,3,40,800,30,5
6,ErpOfdmRate54Mbps,131.731,3,40,800,30,5
7,ErpOfdmRate54Mbps,145.447,3,40,800,30,5
8,ErpOfdmRate54Mbps,171.939,3,40,800,30,5
9,ErpOfdmRate54Mbps,188.661,3,40,800,30,5
10,ErpOfdmRate54Mbps,210.241,3,40,800,30,5
11,ErpOfdmRate54Mbps,229.59,3,40,800,30,5
12,ErpOfdmRate54Mbps,245.741,3,40,800,30,5
13,ErpOfdmRate54Mbps,270.48,3,40,800,30,5
0,ErpOfdmRate6Mbps,6.20595,3,20,3200,30,5
1,ErpOfdmRate12Mbps,12.647,3,20,3200,30,5
2,ErpOfdmRate18Mbps,18.9976,3,20,3200,30,5
3,ErpOfdmRate24Mbps,25.5882,3,20,3200,30,5
4,ErpOfdmRate36Mbps,38.3308,3,20,3200,30,5
5,ErpOfdmRate48Mbps,51.1476,3,20,3200,30,5
6,ErpOfdmRate54Mbps,57.4887,3,20,3200,30,5
7,ErpOfdmRate54Mbps,64.0031,3,20,3200,30,5
8,ErpOfdmRate54Mbps,76.7826,3,20,3200,30,5
9,ErpOfdmRate54Mbps,85.2061,3,20,3200,30,5
10,ErpOfdmRate54Mbps,95.3268,3,20,3200,30,5
11,ErpOfdmRate54Mbps,105.115,3,20,3200,30,5
12,ErpOfdmRate54Mbps,113.13,3,20,3200,30,5
13,ErpOfdmRate54Mbps,125.044,3,20,3200,30,5
0,ErpOfdmRate6Mbps,12.3978,3,40,3200,30,5
1,ErpOfdmRate12Mbps,25.35,3,40,3200,30,5
2,ErpOfdmRate18Mbps,37.9807,3,40,3200,30,5
3,ErpOfdmRate24Mbps,51.1476,3,40,3200,30,5
4,ErpOfdmRate36Mbps,76.7826,3,40,3200,30,5
5,ErpOfdmRate48Mbps,101.179,3,40,3200,30,5
6,ErpOfdmRate54Mbps,113.13,3,40,3200,30,5
7,ErpOfdmRate54Mbps,125.044,3,40,3200,30,5
8,ErpOfdmRate54Mbps,148.131,3,40,3200,30,5
9,ErpOfdmRate54Mbps,162.751,3,40,3200,30,5
10,ErpOfdmRate54Mbps,181.675,3,40,3200,30,5
11,ErpOfdmRate54Mbps,198.699,3,40,3200,30,5
12,ErpOfdmRate54Mbps,212.955,3,40,3200,30,5
13,ErpOfdmRate54Mbps,234.854,3,40,3200,30,5
